"occ_id","lemma_class","stanza","pada","token_index","surface","zurich_lemma","grassmann_lemma","grassmann_gloss","morphology","arnold_stratum_code","arnold_stratum","why_this_lemma","sense","griffith_1890_stanza","geldner_1951_stanza","source_id","retrieval_date"
"DK-OCC-011","INCISING","04.050.03","c","2","khātā́ḥ","√khanⁱ-","√ khanⁱ-","graben","case=NOM|gender=M|number=PL|non-finite=PTCP-ta","N","Normal","'graben', to dig","NOT ASSIGNED","Br̥ihaspati, from thy remotest distance have they sat down who love the law eternal. For thee were dug wells springing from the mountain, which murmuring round about pour streams of sweetness.","Br̥haspati! Aus weitester Ferne (gekommen) haben sie für dich eine Opfersitzung gehalten, den rechten Brauch hegend. Für dich träufen die gegrabenen Brunnen, die mit Steinen gemolken werden, den Überschwang der Süßigkeit nach allen Seiten.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-012","INCISING","08.066.04","a","1","níkhātam","√khanⁱ-","√ khanⁱ-","graben","case=ACC|gender=N|number=SG|non-finite=PTCP-ta|local particle=LP","A","Archaic","'graben', to dig","NOT ASSIGNED","Who for the worshipper scatters forth ample wealth, even though buried, piled in heaps: May Indra, Lord of Bay Steeds, fair-helmed Thunderer, act at his pleasure, as he lists.","Der für den Spender auch einen vergrabenen, von vielen angehäuften Schatz ausgräbt, der Keulenträger mit schönen Lippen, der Falbenfahrer Indra möge tun, wie er in seinem Sinn will. ","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-013","INCISING","10.097.20","b","4","khánāmi","√khanⁱ-","√ khanⁱ-","graben","number=SG|person=1|mood=IND|tense=PRS|voice=ACT","P","Popular","'graben', to dig","NOT ASSIGNED","Unharmed be he who digs you up, unharmed the man for whom I dig: And let no malady attack biped or quadruped of ours.","Nicht soll der Schaden leiden, der euch gräbt, noch der, für den ich euch grabe. Unsere Zweifüßler und Vierfüßler sollen alle gesund sein.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-014","INCISING","10.145.01","a","2","khanāmi","√khanⁱ-","√ khanⁱ-","graben","number=SG|person=1|mood=IND|tense=PRS|voice=ACT","P","Popular","'graben', to dig","NOT ASSIGNED","FROM out the earth I dig this plant, a herb of most effectual power, Wherewith one quells the rival wife and gains the husband for oneself.","Ich grabe dies Kraut, das kräftigste Gewächs, durch das man die Nebenbuhlerin verdrängt, durch das man den Gatten ganz gewinnt.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-015","INCISING","01.191.01","d","3","alipsata","√lip-","√ lip-","alipsata: 'sind angeschmiert'","number=PL|person=3|mood=IND|tense=AOR|voice=MED","P","Popular","'alipsata: sind angeschmiert' - the root behind the later lipi- 'script'","NOT ASSIGNED","VENOMOUS, slightly venomous, or venomous aquatic worm,– Both creatures, stinging, unobserved, with poison have infected me.","Der Kaṅkata, nicht der (eigentliche) Kaṅkata und der echte Kaṅkata, diese beiden meine ich, die Pluṣi heißen — die unsichtbaren (Gifttiere) sind angeschmiert.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-016","INCISING","01.191.03","d","4","alipsata","√lip-","√ lip-","alipsata: 'sind angeschmiert'","number=PL|person=3|mood=IND|tense=AOR|voice=MED","P","Popular","'alipsata: sind angeschmiert' - the root behind the later lipi- 'script'","NOT ASSIGNED","Ṣaragrass, Darbha, Kuṣara, and Sairya, Munja, Vîraṇa, Where all these creatures dwell unseen, with poison have infected me.","Die Rohrpflanzen, die Kuśara's, die Darbhagräser und die Sairya's, die Unsichtbaren, die dem Munja- und dem Vīriṇagras gleichen (?), alle zusammen sind angeschmiert.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-017","INCISING","01.191.04","d","3","alipsata","√lip-","√ lip-","alipsata: 'sind angeschmiert'","number=PL|person=3|mood=IND|tense=AOR|voice=MED","P","Popular","'alipsata: sind angeschmiert' - the root behind the later lipi- 'script'","NOT ASSIGNED","The cows had settled in their stalls, the beasts of prey had sought their lairs, Extinguished were the lights of men, when things unseen infected me.","Die Kühe haben sich im Stall niedergelegt, das Wild ist zur Ruhe gegangen, zur Ruhe auch die Lichter der Menschen, die Unsichtbaren sind angeschmiert.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-018","INCISING","01.068.10","b","1","pipéśa","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=SG|person=3|mood=IND|tense=PRF|voice=ACT","N","Normal","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","He, rich in food, unbars his wealth like doors: he, the House-Friend, bath decked heaven's vault with stars.","Er schloß die Reichtümer, die Tore (dazu) auf, der Viehreiche. Er hat das Himmelsgewölbe mit Sternen verziert, der Hausgebieter.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-019","INCISING","01.110.08","a","5","apiṃśata","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=PL|person=2|mood=IND|tense=IPRF|voice=ACT","C","Cretic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Out of a skin, O R̥ibhus, once ye formed a cow, and brought the mother close unto her calf again. Sons of Sudhanvan, Heroes, with surpassing skill ye made your aged Parents youthful as before.","Aus dem Fell formtet ihr R̥bhu's eine Kuh und lieBet die Mutter wieder mit dem Kalb zusammen. Ihr Söhne des Sudhanvan, durch eure Kunstfertigkeit machtet ihr Herren die greisen Eltern jung.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-020","INCISING","01.161.09","d","4","apiṃśata","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=PL|person=2|mood=IND|tense=IPRF|voice=ACT","P","Popular","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Most excellent are waters, thus said one of you; most excellent is Agni, thus another said. Another praised to many a one the lightning cloud. Then did ye shape the cups, speaking the words of truth.","""Das Wasser ist das Wichtigste"", so sprach der eine. ""Das Feuer ist das Wichtigste"", so sprach der andere. Der eine gab der Gewitterzeit (?) vor vielen den Vorzug. Wahre Reden führend schnitztet ihr die Becher.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-021","INCISING","01.161.10","b","3","piṃśati","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=SG|person=3|mood=IND|tense=PRS|voice=ACT","P","Popular","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","One downward to the water drives the crippled cow, another trims the flesh brought on the carving-board. One carries off the refuse at the set of sun. How did the Parents aid their children in their task!","Einer treibt die lahme Kuh zum Wasser hinab; einer zerlegt das Fleisch, das im Korb gebracht wird. Bis Sonnenuntergang trug einer den Dung fort. Haben wohl die beiden Eltern ihren Söhnen dabei geholfen?","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-022","INCISING","02.033.09","b","3","pipiśe","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=SG|person=3|mood=IND|tense=PRF|voice=MED","N","Normal","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","With firm limbs, multiform, the strong, the tawny adorns himself with bright gold decorations: The strength of Godhead ne'er departs from Rudra, him who is Sovran of this world, the mighty.","Mit festen Gliedern, vielfarbig hat sich der Rotbraune, Gewaltige mit leuchtendem Goldschmuck geschmückt. Von dem Herrscher dieser großen Welt, von Rudra trennt sich fürwahr nie die Asurawürde.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-023","INCISING","03.060.02","a","4","ápiṃśata","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=PL|person=2|mood=IND|tense=IPRF|voice=ACT","C","Cretic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","The mighty powers wherewith. ye formed the chalices, the thought by which ye drew the cow from out the hide, The intellect wherewith ye wrought the two Bay Steeds,– through these, O R̥ibhus, ye attained divinity.","Durch die Künste, mit denen ihr die Becher formtet, durch den Erfindungsgeist, mit dem ihr aus dem Felle die Kuh heraustriebet, durch das Nachdenken, mit dem ihr die beiden Falben gebildet habt, durch (all) dies habt ihr R̥bhu's göttlichen Rang erlangt.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-024","INCISING","04.033.04","b","5","ápiṃśan","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=PL|person=3|mood=IND|tense=IPRF|voice=ACT","N","Normal","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","As for a year the R̥ibhus kept the Milch-cow, throughout a year fashioned and formed her body, And through a year's space still sustained her brightness, through these their labours they were made immortal.","Als die R̥bhu's ein Jahr lang die Kuh gehütet hatten, als sie ein Jahr lang das Fleisch zerlegt, als sie ihr ein Jahr lang Futter(?) gebracht hatten, erlangten sie durch diese Dienste die Unsterblichkeit.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-025","INCISING","05.056.01","b","1","piṣṭám","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","case=ACC|gender=M|number=SG|non-finite=PTCP-ta","A","Archaic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","AGNI, that valorous company adorned with ornaments of gold, The people of the Maruts, I call down to-day even from the luminous realm of heaven.","Agni! (Bring) die kraftbewußte Schar, die mit Goldmünzen, mit Zieraten geputzte her! Ich rufe heute die Clane der Marut sogar vom Lichtraum des Himmels herab.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-026","INCISING","05.057.06","d","6","pipiśe","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=SG|person=3|mood=IND|tense=PRF|voice=MED","C","Cretic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Borne on both shoulders, O ye Maruts, are your spears: within your arms is laid your energy and","Auf euren Schultern sind die Speere, ihr Marut, Macht, Stärke, Kraft ist in eure Arme gelegt, Mut in eure Häupter, Waffen auf eure Wagen, die ganze Schönheit ist auf eure Leiber aufgetragen.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-027","INCISING","05.060.04","b","4","pipiśre","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=PL|person=3|mood=IND|tense=PRF|voice=MED","C","Cretic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","They, like young suitors, sons of wealthy houses, have with their golden natures decked their bodies. Strong on their cars, the lordly Ones, for glory, have set their splendours on their forms for ever.","Wie Freier aus reichem Hause haben sie mit Goldsachen, mit ihren Eigenheiten die Leiber verziert. Zur Schönheit haben die Schönsten, die Starken auf den Wagen ihre Herrlichkeiten allesamt an den Leibern angelegt.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-028","INCISING","06.049.03","b","3","pipiśé","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=SG|person=3|mood=IND|tense=PRF|voice=MED","A","Archaic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Unlike in form are the Red God's two Daughters: one is the Sun's, and stars bedeck the other. Apart, the Sanctifiers, in succession, come to the famed hymn, praised in holy verses.","Von verschiedenem Aussehen sind die beiden Töchter des Rötlichen: die eine ist mit Sternen geschmückt, die andere (mit den Strahlen) des Sonnengottes, die getrennt wandeln, sich gegenseitig einholend, die Reinen kommen besungen zu dem gehörten Gebet.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-029","INCISING","07.018.02","c","1","piśá +!","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=SG|person=2|mood=IMP|tense=AOR|voice=ACT","C","Cretic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","For like a King among his wives thou dwellest: with glories, as a Sage, surround and help us. Make us, thy servants, strong for wealth, and honour our songs wirth kine and steeds and decoration.","Denn wie ein König mit seinen Frauen lebst du allewege behaglich — sei mit jedem (neuen) Tag gnädig, du der Seher, der die Wissenden übertrifft. Zeichne die Lobreden mit Rindern, Rossen aus, du Freigebiger; sporne uns, deine Anhänger, zu Reichtum an!","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-030","INCISING","07.057.03","c","4","piśānā́ḥ","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","case=NOM|gender=M|number=PL|tense=AOR|voice=MED|non-finite=PTCP","S","Strophic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","No others gleam so brightly as these Maruts with their own forms, their golden gauds, their weapons. With all adornments, decking earth and heaven, they heighten, for bright show, their common splendour.","Nicht glänzen andere Marut so sehr wie diese in Goldschmuck, Waffen, am Leibe. Allgeschmückt, Himmel und Erde schmückend, legen sie sich die gleiche Farbe auf, um zu prangen.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-031","INCISING","07.103.06","d","3","pipiśuḥ","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=PL|person=3|mood=IND|tense=PRF|voice=ACT","P","Popular","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Onc is Cow-bellow and Goat-bleat the other, one Frog is Green and one of them is Spotty. They bear one common name, and yet they vary, and, talking, modulate the voice diversely.","Der eine blökt wie eine Kuh, der andere meckert wie ein Bock. Der eine unter ihnen ist gefleckt, der andere grün. Sie führen den gleichen Namen und sind doch verschiedenfarbig. In vielen Weisen haben sie redend ihre Stimme moduliert. ","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-032","INCISING","08.019.22","c","2","piṃśáte","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=SG|person=3|mood=IND|tense=PRS|voice=MED","A","Archaic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Thou unto sharp-toothed Agni, Young and Radiant God, proclaimest with thy song the feast- Agni, who for our sweet strains moulds heroic strength when sacred oil is offered him,","Dem scharfzahnigen, jungen, herrschenden Agni singst du einen (Ohren)schmaus, der die Meisterschaft mit freigebigen Geschenken auszeichnet, Agni, dem Schmalz geopfert wird. ","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-033","INCISING","09.068.04","c","3","pipiśe","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=SG|person=3|mood=IND|tense=PRF|voice=MED","N","Normal","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Wandering through, the Parents, strengthening the floods, the Sage makes his place swell with his own native might. The stalk is mixed with grain: he comes led by the men together with the sisters, and preserves the Head.","Seine beiden Mütter durchlaufend, die Gewässer anspornend macht der Weise aus eigenem Antrieb seine Stätte überquellen. Der Stengel wird mit Gerste(nkörnern) gefärbt, von den Herren gezügelt. Während er den Schwestern beiwohnt, schützt er sein Haupt. ","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-034","INCISING","10.053.07","b","5","piṃśata","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=PL|person=2|mood=IMP|tense=PRS|voice=ACT","P","Popular","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Lovers of Soma, bind the chariot traces fast: set ye the reins in order and embellish them. Bring hitherward the car with seats where eight may sit, whereon the Gods have brought the treasure that we love.","""Bindet die Achsenbänder fest, ihr Somawürdigen, machet die Zügel fertig und knüpfet sie an! Fahret den achtsitzigen Götterwagen her, auf dem die Götter Liebes zuführten!""","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-035","INCISING","10.068.11","b","4","apiṃśan","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=PL|person=3|mood=IND|tense=IPRF|voice=ACT","C","Cretic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Like a dark steed adorned with pearl, the Fathers have decorated heaven With constellations. They set the light in day, in night the darkness. Br̥ihaspati cleft the rock and found the cattle.","Die Väter schmückten den Himmel mit den Gestirnen aus wie einen Rappen mit Perlen. Die Finsternis verlegten sie auf die Nacht, auf den Tag das Licht. Br̥haspati spaltete den Fels, er hat die Kühe gefunden.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-036","INCISING","10.110.09","b","2","ápiṃśat","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=SG|person=3|mood=IND|tense=IPRF|voice=ACT","C","Cretic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Hotar more skilled in sacrifice, bring hither with speed to-day God Tvashṭar, thou who knowest. Even him who formed these two, the Earth and Heaven the Parents, with their forms, and every creature.","Der diese beiden Erzeugerinnen, Himmel und Erde, alle Wesen mit ihren Formen geziert hat, diesen Gott Tvaṣṭr̥ verehre heute, o Hotr̥, als der besser Opfernde, kundig, dazu aufgefordert! ","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-037","INCISING","10.127.07","a","3","pépiśat","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","case=NOM|gender=N|number=SG|tense=PRS|voice=ACT|non-finite=PTCP|secondary conjugation=INT","C","Cretic","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","Clearly hath she come nigh to me who decks the dark with richest hues: O Morning, cancel it like debts.","An mich ist die färbende schwarze deutliche Finsternis gekommen. Uṣas treib gleichsam die Schuld ein!","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-038","INCISING","10.184.01","b","3","piṃśatu","√piś-","√ piś- 1","aushauen, zurechtschneiden, bilden, formen, schmücken","number=SG|person=3|mood=IMP|tense=PRS|voice=ACT","P","Popular","'aushauen, zurechtschneiden, bilden, formen, schmücken'","NOT ASSIGNED","MAY Vishṇu form and mould the womb, may Tvashṭar duly shape the forms, Prajâpati infuse the stream, and Dhatar lay the germ for thee.","Viṣṇu soll den Mutterschoß bereiten, Tvaṣṭr̥ soll die Formen bilden, Prajāpati soll (den Samen) eingießen, der Schöpfer soll dir eine Leibesfrucht machen!","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-039","INCISING","06.053.07","a","2","rikha","√rikh-","√ rikh-","ritzen","number=SG|person=2|mood=IMP|tense=PRS|voice=ACT","C","Cretic","the only root in the corpus Grassmann glosses 'ritzen', to scratch or incise","NOT ASSIGNED","Tear up and read in pieces, Sage, the hearts of avaricious churls, And make them subject to our will.","Ritze, kratze(?) die Herzen der Knauser auf, du Seher, und mach sie uns gefügig!","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-040","INCISING","06.053.08","d","2","rikha","√rikh-","√ rikh-","ritzen","number=SG|person=2|mood=IMP|tense=PRS|voice=ACT","C","Cretic","the only root in the corpus Grassmann glosses 'ritzen', to scratch or incise","NOT ASSIGNED","Thou, glowing Pûshan, carriest an awl that urges men to prayer; Therewith do thou tear up and rend to shreds the heart of every one.","Du, Pūṣan, führst den Stachel, der die feierliche Rede anstachelt, o ......; mit dem ritze, kratze das Herz eines jeden auf!","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-041","INCISING","01.020.02","b","1","tatakṣúḥ","√takṣ-","√ takṣ-","zimmern, behauen, hämmern, härten; schaffen, verfertigen (vom Wagen, von Geschöpfen, Liedern, Gebeten), bewirken, machen, zubereiten","number=PL|person=3|mood=IND|tense=PRF|voice=ACT","N","Normal","'zimmern, behauen, hämmern' - the ordinary verb of fashioning","NOT ASSIGNED","They who for Indra, with their mind, formed horses harnessed by a word, Attained by works to sacrifice.","Die für Indra das aufs Wort sich schirrende Falbenpaar mit Verstand zimmerten, sie haben durch ihre Meisterwerke das (Recht auf) Opfer erlangt.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
"DK-OCC-042","INCISING","01.020.03","a","1","tákṣan","√takṣ-","√ takṣ-","zimmern, behauen, hämmern, härten; schaffen, verfertigen (vom Wagen, von Geschöpfen, Liedern, Gebeten), bewirken, machen, zubereiten","number=PL|person=3|mood=INJ|tense=AOR|voice=ACT","N","Normal","'zimmern, behauen, hämmern' - the ordinary verb of fashioning","NOT ASSIGNED","They for the two Nâsatyas wrought a light car moving every way: They formed a nectar-yielding cow.","Sie zimmerten den Nāsatya's den umherfahrenden, leichtlaufenden Wagen, sie bildeten die Kuh des Sabardughā.","SRC-072; SRC-073; SRC-106; SRC-107","2026-09-09"
