"passage_id","stanza","type","type_before_override","type_means","poetic_subkind","basis","override","inferred_geography","archaeological_fortification","unsupported_identification","why_three_types_unassigned","family_surfaces","addressee","arnold_stratum","status","source_id","locator","retrieval_date","supports_page"
"PUR-P-011","01.063.07","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","A","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.063.07; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-012","01.102.07","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","DIVINE-EPITHET","R1: every family token is a derivative epithet (puraṃdará- 'fort-breaker' and kin). No fort is present as an object; the fort word is a component of a divine title.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","puraṃdara","Indra","C","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.102.07; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-013","01.103.03","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","C","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.103.03; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-014","01.103.08","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","C","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.103.08; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-015","01.109.08","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","DIVINE-EPITHET","R1: every family token is a derivative epithet (puraṃdará- 'fort-breaker' and kin). No fort is present as an object; the fort word is a component of a divine title.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraṃdarā","Indra and Agni","C","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.109.08; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-016","01.112.14","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","DIVINE-EPITHET","R1: every family token is a derivative epithet (puraṃdará- 'fort-breaker' and kin). No fort is present as an object; the fort word is a component of a divine title.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","pūrbhídye","Asvins","C","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.112.14; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-017","01.130.07","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","s","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.130.07; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-018","01.130.10","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","DIVINE-EPITHET","R4b: genitive plural purā́m depending on an agent noun of breaking — the analytic form of the puraṃdará- epithet, which R1 cannot see because the token is a simplex púr-. púrāṁ dartaḥ — 'O splitter of forts', vocative.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púrām","Indra","s","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.130.10; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-019","01.131.04","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","s","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.131.04; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-020","01.149.03","CANNOT-CLASSIFY","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","Rule output TEXTUAL-STRONGHOLD overridden to CANNOT-CLASSIFY. 'púraṁ nā́rmiṇīm'. If nā́rmiṇī- is a proper name (Geldner: 'die Burg Nārmiṇī') this is the only named fort in the corpus and a textual stronghold. If it is an adjective (Griffith: 'the joyous castle') it is a formulaic epithet. Grassmann's gloss declines to choose. The classification turns entirely on a disputed word class.","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púram","Agni","a","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.149.03; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-021","01.166.08","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","PROTECTIVE-FORMULA","R4: śatábhujibhis … pūrbhī́ rakṣatā maruto — Maruts guard with hundredfold forts.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","pūrbhíḥ","the Maruts","s","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.166.08; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-022","01.173.10","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","SIMILE","R1: every family token is a derivative epithet (puraṃdará- 'fort-breaker' and kin). No fort is present as an object; the fort word is a component of a divine title.","Rule output POETIC-FORMULA/DIVINE-EPITHET overridden to POETIC-FORMULA/SIMILE. pū́rpati- 'lord of a púr' inside a simile: petitioners approach Indra as men approach a fort-lord. The office is the vehicle of the simile, not a fact asserted about a fort. Griffith's single 'city' in 103 passages falls here — see 06-BRIEFS/pur-translation-standard.md §8.","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","pū́rpatim","Indra","A","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.173.10; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-023","01.174.02","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","A","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.174.02; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-024","01.174.08","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","SIMILE","R2: bhinát púro ná bhído ádevīr — the godless are crushed LIKE forts.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","A","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.174.08; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-025","01.189.02","POETIC-FORMULA","POETIC-FORMULA","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","METAPHOR","R3: pū́ś ca pr̥thvī́ bahulā́ na urvī́ bhávā — Agni asked to BE a broad, ample, wide púr.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","pū́ḥ","Agni","s","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 01.189.02; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-P-026","02.014.06","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD","TEXTUAL-STRONGHOLD means the TEXT presents a fort as an object in its own narrative world. It is NOT a claim that any fort existed, was fortified, or can be located: that would be the archaeological type, which is not assigned here. A passage can be a textual stronghold and still state a formulaic count — the counts are a separate register for that reason.","","R5: a púr- in ACC stands as an object in the narrative — held, broken, entered, or belonging to a named holder.","","NOT ASSIGNED","NOT ASSIGNED","NOT ASSIGNED","These three of §4J's five types are not properties of the passage. Each is a verdict on an argument someone else must make first — a placement, a site match, an identification. This unit has no geographic source (the pinned corpus carries none, PUR4J-018) and no archaeological source, so none is assigned to any passage. Assigning one anyway is precisely how a textual stronghold becomes an archaeological one.","púraḥ","Indra","N","PROVISIONAL","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","RV 02.014.06; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
