occ_id,river_name,reference,stanza,pada,token_index,surface,lemma,morphology,book,arnold_stratum_code,source_id,retrieval_date,note
HYD-021,Gomatī,NOT-RIVER,01.086.03,c,3,gómati,gómant-,case=LOC|gender=M|number=SG,1,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-022,Gomatī,NOT-RIVER,01.092.14,a,4,gomati,gómant-,case=VOC|gender=F|number=SG,1,a,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-023,Gomatī,NOT-RIVER,01.092.16,b,1,gómat,gómant-,case=ACC|gender=N|number=SG,1,a,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-024,Gomatī,NOT-RIVER,01.113.18,a,2,gómatīḥ,gómant-,case=NOM|gender=F|number=PL,1,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-025,Gomatī,NOT-RIVER,01.123.12,a,2,gómatīḥ,gómant-,case=NOM|gender=F|number=PL,1,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-026,Gomatī,NOT-RIVER,01.190.08,c,6,gómat,gómant-,case=ACC|gender=N|number=SG,1,s,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-027,Gomatī,NOT-RIVER,02.028.02,c,3,gómatīnām,gómant-,case=GEN|gender=F|number=PL,2,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-028,Gomatī,NOT-RIVER,02.041.07,a,1,gómat,gómant-,case=ACC|gender=N|number=SG,2,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-029,Gomatī,NOT-RIVER,03.016.01,c,4,gómataḥ,gómant-,case=GEN|gender=M|number=SG,3,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-030,Gomatī,NOT-RIVER,04.021.04,c,4,gómatīṣu,gómant-,case=LOC|gender=F|number=PL,4,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-031,Gomatī,NOT-RIVER,04.031.13,b,4,gómataḥ,gómant-,case=ACC|gender=M|number=PL,4,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-032,Gomatī,NOT-RIVER,04.032.06,b,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,4,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-033,Gomatī,NOT-RIVER,04.032.07,b,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,4,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-034,Gomatī,NOT-RIVER,05.023.02,d,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,5,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-035,Gomatī,NOT-RIVER,05.034.05,d,4,gómati,gómant-,case=LOC|gender=M|number=SG,5,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-036,Gomatī,NOT-RIVER,05.057.07,a,1,gómat,gómant-,case=ACC|gender=N|number=SG,5,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-037,Gomatī,NOT-RIVER,05.061.19,b,2,gómatīḥ,gómant-,case=ACC|gender=F|number=PL,5,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-038,Gomatī,NOT-RIVER,05.079.08,a,3,gómatīḥ,gómant-,case=ACC|gender=F|number=PL,5,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-039,Gomatī,NOT-RIVER,06.010.03,d,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,6,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-040,Gomatī,NOT-RIVER,06.045.23,b,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,6,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-041,Gomatī,NOT-RIVER,06.062.11,c,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,6,c,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-042,Gomatī,NOT-RIVER,06.073.03,b,3,gómataḥ,gómant-,case=ACC|gender=M|number=PL,6,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-043,Gomatī,NOT-RIVER,07.023.06,c,6,gómat,gómant-,case=ACC|gender=N|number=SG,7,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-044,Gomatī,NOT-RIVER,07.027.01,d,2,gómati,gómant-,case=LOC|gender=M|number=SG,7,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-045,Gomatī,NOT-RIVER,07.027.05,c,1,gómat,gómant-,case=ACC|gender=N|number=SG,7,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-046,Gomatī,NOT-RIVER,07.032.10,d,3,gómati,gómant-,case=LOC|gender=M|number=SG,7,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-047,Gomatī,NOT-RIVER,07.041.07,a,2,gómatīḥ,gómant-,case=NOM|gender=F|number=PL,7,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-048,Gomatī,NOT-RIVER,07.072.01,a,2,gómatā,gómant-,case=INS|gender=M|number=SG,7,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-049,Gomatī,NOT-RIVER,07.075.08,a,3,gómat,gómant-,case=ACC|gender=N|number=SG,7,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-050,Gomatī,NOT-RIVER,07.077.05,d,1,gómat,gómant-,case=ACC|gender=N|number=SG,7,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-051,Gomatī,NOT-RIVER,07.080.03,a,2,gómatīḥ,gómant-,case=NOM|gender=F|number=PL,7,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-052,Gomatī,NOT-RIVER,07.081.06,b,3,gómataḥ,gómant-,case=ACC|gender=M|number=PL,7,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-053,Gomatī,NOT-RIVER,07.094.09,a,1,gómat,gómant-,case=ACC|gender=N|number=SG,7,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-054,Gomatī,NOT-RIVER,08.003.01,b,4,gómataḥ,gómant-,case=GEN|gender=M|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-055,Gomatī,NOT-RIVER,08.005.09,a,3,gómatīḥ,gómant-,case=ACC|gender=F|number=PL,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-056,Gomatī,NOT-RIVER,08.006.23,b,4,gómatīm,gómant-,case=ACC|gender=F|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-057,Gomatī,NOT-RIVER,08.013.14,b,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-058,Gomatī,NOT-RIVER,08.021.08,d,3,gómati,gómant-,case=LOC|gender=M|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-059,Gomatī,NOT-RIVER,08.021.11,c,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-060,Gomatī,NOT-RIVER,08.022.17,c,1,gómat,gómant-,case=ACC|gender=N|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-061,Gomatī,NOT-RIVER,08.023.29,b,3,gómatīḥ,gómant-,case=ACC|gender=F|number=PL,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-062,Gomatī,RIVER,08.024.30,d,1,gomatī́m,gomatī́-,case=ACC|gender=F|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-063,Gomatī,NOT-RIVER,08.025.20,b,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-064,Gomatī,NOT-RIVER,08.032.09,a,3,gómataḥ,gómant-,case=ACC|gender=M|number=PL,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-065,Gomatī,NOT-RIVER,08.045.10,c,4,gómataḥ,gómant-,case=GEN|gender=M|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-066,Gomatī,NOT-RIVER,08.045.28,b,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-067,Gomatī,NOT-RIVER,08.046.05,a,2,gómat,gómant-,case=ACC|gender=N|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-068,Gomatī,NOT-RIVER,08.046.09,d,2,gómati,gómant-,case=LOC|gender=M|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-069,Gomatī,NOT-RIVER,08.049.09,b,3,gómataḥ,gómant-,case=GEN|gender=N|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-070,Gomatī,NOT-RIVER,08.049.10,d,2,gómat,gómant-,case=ACC|gender=N|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-071,Gomatī,NOT-RIVER,08.051.05,d,2,gómati,gómant-,case=LOC|gender=M|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-072,Gomatī,NOT-RIVER,08.070.06,c,4,gómati,gómant-,case=LOC|gender=M|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-073,Gomatī,NOT-RIVER,08.082.06,b,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-074,Gomatī,NOT-RIVER,08.092.30,c,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-075,Gomatī,NOT-RIVER,08.093.03,b,2,gómat,gómant-,case=ACC|gender=N|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-076,Gomatī,NOT-RIVER,08.094.06,b,3,gómataḥ,gómant-,case=GEN|gender=M|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-077,Gomatī,NOT-RIVER,08.095.04,c,2,gómataḥ,gómant-,case=GEN|gender=M|number=SG,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-078,Gomatī,NOT-RIVER,09.041.04,b,1,gómat,gómant-,case=ACC|gender=N|number=SG,9,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-079,Gomatī,NOT-RIVER,09.042.06,a,1,gómat,gómant-,case=ACC|gender=N|number=SG,9,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-080,Gomatī,NOT-RIVER,09.054.04,b,3,gómataḥ,gómant-,case=ACC|gender=M|number=PL,9,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-081,Gomatī,NOT-RIVER,09.061.03,b,1,gómat,gómant-,case=ACC|gender=N|number=SG,9,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-082,Gomatī,NOT-RIVER,09.062.24,a,3,gómatīḥ,gómant-,case=ACC|gender=F|number=PL,9,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-083,Gomatī,NOT-RIVER,09.067.05,c,4,gómataḥ,gómant-,case=ACC|gender=M|number=PL,9,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-084,Gomatī,NOT-RIVER,09.069.08,b,2,gómat,gómant-,case=ACC|gender=N|number=SG,9,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-085,Gomatī,NOT-RIVER,09.077.03,b,4,gómate,gómant-,case=DAT|gender=M|number=SG,9,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-086,Gomatī,NOT-RIVER,09.105.04,a,1,gómat,gómant-,case=ACC|gender=N|number=SG,9,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-087,Gomatī,NOT-RIVER,10.025.11,b,3,gómataḥ,gómant-,case=ACC|gender=M|number=PL,10,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-088,Gomatī,NOT-RIVER,10.036.13,c,4,gómat,gómant-,case=ACC|gender=N|number=SG,10,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-089,Gomatī,NOT-RIVER,10.042.07,c,4,gómat,gómant-,case=ACC|gender=N|number=SG,10,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-090,Gomatī,RIVER,10.075.06,c,4,gomatī́m,gomatī́-,case=ACC|gender=F|number=SG,10,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,also the adjective gómant-
HYD-091,Hariyūpīyā,RIVER,06.027.05,c,3,hariyūpī́yāyām,hariyūpī́yā-,case=LOC|gender=F|number=SG,6,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,
HYD-092,Krumu,RIVER,05.053.09,a,6,krúmuḥ,krúmu-,case=NOM|gender=F|number=SG,5,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Kurram
HYD-093,Krumu,RIVER,10.075.06,c,5,krúmum,krúmu-,case=ACC|gender=F|number=SG,10,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Kurram
HYD-094,Kubhā,DERIVATIVE,05.052.12,a,2,kubhanyávaḥ,kubhanyú-,case=NOM|gender=M|number=PL,5,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Kabul river
HYD-095,Kubhā,RIVER,05.053.09,a,5,kúbhā,kúbhā-,case=NOM|gender=F|number=SG,5,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Kabul river
HYD-096,Kubhā,RIVER,10.075.06,c,3,kúbhayā,kúbhā-,case=INS|gender=F|number=SG,10,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Kabul river
HYD-097,Kuṣavā,RIVER,04.018.08,b,4,kuṣávā,kuṣávā-,case=NOM|gender=F|number=SG,4,P,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,
HYD-098,Marudvṛdhā,RIVER,03.013.06,c,4,marúdvr̥dhaḥ,marúdvr̥dha-,case=NOM|gender=M|number=SG,3,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,
HYD-099,Marudvṛdhā,RIVER,10.075.05,c,2,marudvr̥dhe,marúdvr̥dha-,case=VOC|gender=F|number=SG,10,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,
HYD-100,Mehatnū,RIVER,10.075.06,d,1,mehatnvā́,mehatnū́-,case=INS|gender=F|number=SG,10,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,
HYD-101,Paruṣṇī,RIVER,04.022.02,c,2,páruṣṇīm,paruṣá-,case=ACC|gender=F|number=SG,4,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under paruṣá- 'knotty'. All seven surface forms are páruṣṇī-, feminine, and are typed RIVER."
HYD-102,Paruṣṇī,RIVER,05.052.09,a,4,páruṣṇyām,paruṣá-,case=LOC|gender=F|number=SG,5,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under paruṣá- 'knotty'. All seven surface forms are páruṣṇī-, feminine, and are typed RIVER."
HYD-103,Paruṣṇī,RIVER,07.018.08,b,4,páruṣṇīm,paruṣá-,case=ACC|gender=F|number=SG,7,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under paruṣá- 'knotty'. All seven surface forms are páruṣṇī-, feminine, and are typed RIVER."
HYD-104,Paruṣṇī,RIVER,07.018.09,a,5,páruṣṇīm,paruṣá-,case=ACC|gender=F|number=SG,7,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under paruṣá- 'knotty'. All seven surface forms are páruṣṇī-, feminine, and are typed RIVER."
HYD-105,Paruṣṇī,RIVER,08.074.15,b,1,páruṣṇi,paruṣá-,case=VOC|gender=F|number=SG,8,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under paruṣá- 'knotty'. All seven surface forms are páruṣṇī-, feminine, and are typed RIVER."
HYD-106,Paruṣṇī,RIVER,08.093.13,c,1,páruṣṇīṣu,paruṣá-,case=LOC|gender=F|number=PL,8,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under paruṣá- 'knotty'. All seven surface forms are páruṣṇī-, feminine, and are typed RIVER."
HYD-107,Paruṣṇī,RIVER,10.075.05,b,4,páruṣṇi,paruṣá-,case=VOC|gender=F|number=SG,10,n,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,"Lemmatised under paruṣá- 'knotty'. All seven surface forms are páruṣṇī-, feminine, and are typed RIVER."
HYD-108,Rasā,NOT-RIVER,01.034.09,c,4,rā́sabhasya,rā́sabha-,case=GEN|gender=M|number=SG,1,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-109,Rasā,NOT-RIVER,01.037.05,c,2,rásasya,rása-,case=GEN|gender=M|number=SG,1,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-110,Rasā,NOT-RIVER,01.046.06,c,3,rāsāthām,√rā- 1,number=DU|person=2|mood=IMP|tense=AOR|voice=MED,1,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-111,Rasā,NOT-RIVER,01.071.05,a,5,rásam,rása-,case=ACC|gender=M|number=SG,1,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-112,Rasā,NOT-RIVER,01.096.08,d,2,rāsate,√rā- 1,number=SG|person=3|mood=SBJV|tense=AOR|voice=MED,1,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-113,Rasā,NOT-RIVER,01.105.02,d,2,rásam,rása-,case=ACC|gender=M|number=SG,1,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-114,Rasā,RIVER,01.112.12,a,2,rasā́m,rasā́-,case=ACC|gender=F|number=SG,1,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-115,Rasā,NOT-RIVER,01.116.02,c,2,rā́sabhaḥ,rā́sabha-,case=NOM|gender=M|number=SG,1,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-116,Rasā,NOT-RIVER,01.162.08,b,3,raśanā́,raśanā́-,case=NOM|gender=F|number=SG,1,P,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-117,Rasā,NOT-RIVER,01.162.21,d,5,rā́sabhasya,rā́sabha-,case=GEN|gender=M|number=SG,1,P,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-118,Rasā,NOT-RIVER,01.163.02,c,3,raśanā́m,raśanā́-,case=ACC|gender=F|number=SG,1,P,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-119,Rasā,NOT-RIVER,01.163.05,c,4,raśanā́ḥ,raśanā́-,case=ACC|gender=F|number=PL,1,P,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-120,Rasā,NOT-RIVER,01.187.04,a,4,rásāḥ,rása-,case=NOM|gender=M|number=PL,1,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-121,Rasā,NOT-RIVER,01.187.05,c,3,rásānām,rása-,case=GEN|gender=M|number=PL,1,A,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-122,Rasā,NOT-RIVER,02.028.05,a,4,raśanā́m,raśanā́-,case=ACC|gender=F|number=SG,2,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-123,Rasā,NOT-RIVER,03.048.01,d,1,rásāśiraḥ,rásāśir-,case=GEN|gender=N|number=SG,3,N,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-124,Rasā,NOT-RIVER,03.053.05,d,3,rā́sabhasya,rā́sabha-,case=GEN|gender=M|number=SG,3,C,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
HYD-125,Rasā,NOT-RIVER,04.001.09,b,4,raśanáyā,raśanā́-,case=INS|gender=F|number=SG,4,S,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,mythical stream; also rása- 'sap'
