"candidate_id","candidate_class","p_number","designation","object_type","geological_source","analytical_provenance","workshop","manufacturing_tradition","exporter","intermediary","textual_provenance_label","findspot","findspot_precision","excavation_no","stratigraphic_level","museum_attribution","modern_custody","custody_as_of","acquisition_history","image_held_by_cdli","image_licence_status","cdli_material_attribution","cdli_period","primary_publication","status","source_id","locator","retrieval_date","notes"
"MC-R-0011","LAPIS-ATTRIBUTED","P222745","RIME 1.14.13.01, ex. 01","tablet","","","","","","","","Uruk (mod. Warka)","FINDSPOT NAMED","","","BM 091013 (was BM 012155)","British Museum, London, UK","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","ED IIIb (ca. 2500-2340 BC)","RIME 1.14.13.01, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=222745, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0012","LAPIS-ATTRIBUTED","P222825","RIME 1.12.02.01, ex. 01","other (see object remarks)","","","","","","","","Umma (mod. Tell Jokha) ?","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","JMS s.n. 04","private: de Serres, J. Mariaud, Paris, France","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","ED IIIa (ca. 2600-2500 BC) ?","RIME 1.12.02.01, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=222825, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0013","LAPIS-ATTRIBUTED","P222826","RIME 1.12.04.01, ex. 01","tablet","","","","","","","","Umma (mod. Tell Jokha) ?","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","OIM A22246","Oriental Institute, University of Chicago, Chicago, Illinois, USA","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","ED IIIb (ca. 2500-2340 BC)","RIME 1.12.04.01, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=222826, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0014","LAPIS-ATTRIBUTED","P222835","RIME 1.13.05.01, ex. 01","other (see object remarks)","","","","","","","","Mari (mod. Tell Hariri)","FINDSPOT NAMED","","","NMSDeZ — ?","National Museum of Syria, Der-ez-Zor, Syria ?","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","ED IIIb (ca. 2500-2340 BC)","RIME 1.13.05.01, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=222835, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0015","SAME-MINERAL-FAMILY (agate/chalcedony)","P225481","RIME 4.05.14.x2001, ex. 01","cylinder","","","","","","","","Šaduppum (mod. Tell Harmal)","FINDSPOT NAMED","","","IM 051080","National Museum of Iraq, Baghdad, Iraq","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Early Old Babylonian (ca. 2000-1900 BC)","RIME 4.05.14.x2001, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=225481, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0016","LAPIS-ATTRIBUTED","P225850","RIME 1.15.add012.01, ex. 01","other (see object remarks)","","","","","","","","Mari (mod. Tell Hariri)","FINDSPOT NAMED","","","AO 17551","Louvre Museum, Paris, France","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","bone: shell; stone: gypsum; stone: lapis lazuli","ED IIIb (ca. 2500-2340 BC)","RIME 1.15.add012.01, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=225850, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0017","SAME-MINERAL-FAMILY (agate/chalcedony)","P226209","RIME 3/2.01.06.1018, ex. 01","other (see object remarks)","","","","","","","","Ur (mod. Tell Muqayyar)","FINDSPOT NAMED","U 07709","","IM 003567","National Museum of Iraq, Baghdad, Iraq","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: chalcedony ?","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.06.1018, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226209, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0018","SAME-MINERAL-FAMILY (agate/chalcedony)","P226283","RIME 3/2.01.04.29, ex. 01","other (see object remarks)","","","","","","","","Uruk (mod. Warka)","FINDSPOT NAMED","W 16172","","IM 026833","National Museum of Iraq, Baghdad, Iraq","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.04.29, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226283, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0019","SAME-MINERAL-FAMILY (agate/chalcedony)","P226467","RIME 3/2.01.04.28, ex. 01","other (see object remarks)","","","","","","","","Uruk (mod. Warka)","FINDSPOT NAMED","W 16183","","VA 12908","Vorderasiatisches Museum, Berlin, Germany","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.04.28, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226467, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0020","LAPIS-ATTRIBUTED","P226513","CDLI Seals 006347 (physical)","seal (not impression)","","","","","","","","","NO FINDSPOT RECORDED","5N-T0236 ?","","OIM A30568","Oriental Institute, University of Chicago, Chicago, Illinois, USA","2022-08-21","check","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","Ur III (ca. 2100-2000 BC)","CDLI Seals 006347 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226513, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0021","SAME-MINERAL-FAMILY (agate/chalcedony)","P226596","RIME 3/2.01.02.072, ex. 01","other (see object remarks)","","","","","","","","uncertain (mod. uncertain)","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","BLMJ 1340","Bible Lands Museum, Jerusalem","2022-08-21","purchased in Teheran, was formerly in the collection of R. Schmidt in Solothum, Switzerland.","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.02.072, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226596, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0022","LAPIS-ATTRIBUTED","P226634","CDLI Seals 006359 (physical)","seal (not impression)","","","","","","","","uncertain (mod. uncertain)","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","BM 089851","British Museum, London, UK","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","Ur III (ca. 2100-2000 BC)","CDLI Seals 006359 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226634, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0023","SAME-MINERAL-FAMILY (agate/chalcedony)","P226892","RIME 3/2.01.03.2009, ex. 01","other (see object remarks)","","","","","","","","","NO FINDSPOT RECORDED","","","NBC 02530","Nies Babylonian Collection, Yale Babylonian Collection, New Haven, Connecticut, USA","2022-08-21","","YES (600ppi 20160630)","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.03.2009, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226892, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0024","CARNELIAN-ATTRIBUTED","P226911","RIME 3/2.01.02.059, ex. 01","other (see object remarks)","","","","","","","","uncertain (mod. uncertain)","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","MMA 41.160.334","Metropolitan Museum of Art, New York, New York, USA","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: carnelian","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.02.059, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226911, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0025","SAME-MINERAL-FAMILY (agate/chalcedony)","P226948","RIME 3/2.01.05.05, ex. 01","other (see object remarks)","","","","","","","","uncertain (mod. uncertain)","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","AO 27622 (AO 04621 ?)","Louvre Museum, Paris, France","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.05.05, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226948, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0026","CARNELIAN-ATTRIBUTED","P226949","RIME 3/2.01.02.058, ex. 01","other (see object remarks)","","","","","","","","Susa (mod. Shush)","FINDSPOT NAMED","","","Sb 06627","Louvre Museum, Paris, France","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: carnelian","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.02.058, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226949, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0027","SAME-MINERAL-FAMILY (agate/chalcedony)","P226975","CDLI Seals 006346 (physical)","seal (not impression)","","","","","","","","Nippur (mod. Nuffar)","FINDSPOT NAMED","","","AO 22312","Louvre Museum, Paris, France","2022-08-21","","YES (600ppi 20160630)","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Ur III (ca. 2100-2000 BC)","CDLI Seals 006346 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226975, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0028","LOOK-ALIKE-CONTROL","P226976","CDLI Seals 006358 (physical)","seal (not impression)","","","","","","","","uncertain (mod. uncertain)","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","AO 22316","Louvre Museum, Paris, France","2022-08-21","RIME: formerly housed in the de Clercq Collection no. 121","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: jasper","Ur III (ca. 2100-2000 BC)","CDLI Seals 006358 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226976, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0029","LOOK-ALIKE-CONTROL","P226983","CDLI Seals 006355 (physical)","seal (not impression)","","","","","","","","uncertain (mod. uncertain)","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","AOD 25","Louvre Museum, Paris, France","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: jasper","Ur III (ca. 2100-2000 BC)","CDLI Seals 006355 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=226983, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0030","SAME-MINERAL-FAMILY (agate/chalcedony)","P227053","RIME 3/2.01.02.066, ex. 01","other (see object remarks)","","","","","","","","","NO FINDSPOT RECORDED","","","CBS 08598","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","2022-08-21","","YES (600ppi 20160913)","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.02.066, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=227053, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0031","CARNELIAN-ATTRIBUTED","P227445","RIME 3/2.01.02.060, ex. 01","other (see object remarks)","","","","","","","","uncertain (mod. uncertain)","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","Q a 37","private: Southesk collection","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: carnelian","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.02.060, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=227445, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0032","SAME-MINERAL-FAMILY (agate/chalcedony)","P227487","RIME 3/2.01.05.2004, ex. 01","other (see object remarks)","","","","","","","","Girsu (mod. Tello) ?","FINDSPOT UNCERTAIN (CDLI's own qualifier)","","","unknown","unlocated","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Ur III (ca. 2100-2000 BC)","RIME 3/2.01.05.2004, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=227487, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0033","SAME-MINERAL-FAMILY (agate/chalcedony)","P234432","RIME 3/1.01.07.053, ex. 01","cone","","","","","","","","Girsu (mod. Tello)","FINDSPOT NAMED","","","AO 22500","Louvre Museum, Paris, France","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: agate","Lagash II (ca. 2200-2100 BC)","RIME 3/1.01.07.053, ex. 01","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=234432, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0034","LAPIS-ATTRIBUTED","P247682","CDLI Seals 001440 (physical)","seal (not impression)","","","","","","","","Ur (mod. Tell Muqayyar)","FINDSPOT NAMED","U 11825","","CBS 17720 (= UM 30-12-001 ?)","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","2022-08-21","Ur VII Expedition","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","ED IIIb (ca. 2500-2340 BC)","CDLI Seals 001440 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=247682, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
"MC-R-0035","LAPIS-ATTRIBUTED","P247683","CDLI Seals 001441 (physical)","seal (not impression)","","","","","","","","Ur (mod. Tell Muqayyar)","FINDSPOT NAMED","U 10939","","BM 121544","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA ?","2022-08-21","","NO FLAG","NOT ACCESSIBLE (SRC-099; no LICENSE file in the retrieved repository; D-055)","stone: lapis lazuli","ED IIIb (ca. 2500-2340 BC)","CDLI Seals 001441 (physical)","PROVISIONAL","SRC-102","cdli_cat.csv row id_text=247683, columns material, provenience, collection, museum_no, acquisition_history, photo_up","2026-09-08","Material is CDLI's cataloguing, not an analysis; no column in the source can cite one. Status is PROVISIONAL and not VERIFIED because a single catalogue is one source: what is VERIFIED is that CDLI records this, and that is what the locator points at."
