"join_id","claim_id","register","register_class","source_id","evidence_role","locator","independence_group","notes"
"CS-0015","DEDR-L-003","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-060","CONTRIBUTING","04-AUDITS/dedr-lineage-check.py, output 04-AUDITS/dedr-lineage-check.csv; same 18-language mapping and same method as 04-AUDITS/domain-e-dedr-digitisation-check.py","IG-SRC-060",""
"CS-0016","DEDR-L-003","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-061","CONTRIBUTING","04-AUDITS/dedr-lineage-check.py, output 04-AUDITS/dedr-lineage-check.csv; same 18-language mapping and same method as 04-AUDITS/domain-e-dedr-digitisation-check.py","IG-SRC-056",""
"CS-0017","DEDR-L-003","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-087","CONTRIBUTING","04-AUDITS/dedr-lineage-check.py, output 04-AUDITS/dedr-lineage-check.csv; same 18-language mapping and same method as 04-AUDITS/domain-e-dedr-digitisation-check.py","IG-SRC-087",""
"CS-0018","DEDR-L-004","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-060","CONTRIBUTING","04-AUDITS/dedr-lineage-check.py; the site figures are as recorded in 04-AUDITS/domain-e-dedr-digitisation-check.csv, last row","IG-SRC-060",""
"CS-0019","DEDR-L-004","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-061","CONTRIBUTING","04-AUDITS/dedr-lineage-check.py; the site figures are as recorded in 04-AUDITS/domain-e-dedr-digitisation-check.csv, last row","IG-SRC-056",""
"CS-0020","DEDR-L-004","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-087","CONTRIBUTING","04-AUDITS/dedr-lineage-check.py; the site figures are as recorded in 04-AUDITS/domain-e-dedr-digitisation-check.csv, last row","IG-SRC-087",""
"CS-0021","DEDR-L-005","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-086","SOLE","02-SOURCES/access-ledger.csv SRC-088, access_status UNTESTED, probe_utc and probe_call both empty; 02-SOURCES/dependency.csv DEP-026. Evidenced by the repository self-audit SRC-086, which is what was actually retrieved.","IG-SRC-086",""
"CS-0022","DEDR-L-007","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-060","CONTRIBUTING","04-AUDITS/dedr-lineage-check.csv, row Brahui: 1 dedr.csv-only, 5 dedr_new.csv-only, 268 shared of 274; IC-E-002 for the 8.2%","IG-SRC-060",""
"CS-0023","DEDR-L-007","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-061","CONTRIBUTING","04-AUDITS/dedr-lineage-check.csv, row Brahui: 1 dedr.csv-only, 5 dedr_new.csv-only, 268 shared of 274; IC-E-002 for the 8.2%","IG-SRC-056",""
"CS-0024","DEDR-L-007","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-087","CONTRIBUTING","04-AUDITS/dedr-lineage-check.csv, row Brahui: 1 dedr.csv-only, 5 dedr_new.csv-only, 268 shared of 274; IC-E-002 for the 8.2%","IG-SRC-087",""
"CS-0025","DEDR-L-008","03-REGISTERS/dedr-digitisation-lineage.csv","CLAIM","SRC-086","SOLE","repository self-audit: no dedr_roots.json in the tree, and no row in 02-SOURCES/access-ledger.csv names it; 04-AUDITS/domain-e-dedr-digitisation-check.py defaults its SITE argument to /home/user/site/dedr_roots.json, a path outside this repository","IG-SRC-086",""
"CS-0026","DE-CAND-001","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0027","DE-CAND-001","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0028","DE-CAND-001","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0029","DE-CAND-001","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0030","DE-CAND-002","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0031","DE-CAND-002","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0032","DE-CAND-002","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0033","DE-CAND-002","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0034","DE-CAND-003","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0035","DE-CAND-003","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0036","DE-CAND-003","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0037","DE-CAND-003","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0038","DE-CAND-004","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0039","DE-CAND-004","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0040","DE-CAND-004","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0041","DE-CAND-004","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0042","DE-CAND-005","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0043","DE-CAND-005","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0044","DE-CAND-005","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0045","DE-CAND-005","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0046","DE-CAND-006","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0047","DE-CAND-006","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0048","DE-CAND-006","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0049","DE-CAND-006","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0050","DE-CAND-007","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0051","DE-CAND-007","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0052","DE-CAND-007","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0053","DE-CAND-007","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0054","DE-CAND-008","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0055","DE-CAND-008","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0056","DE-CAND-008","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0057","DE-CAND-008","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0058","DE-CAND-009","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0059","DE-CAND-009","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0060","DE-CAND-009","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0061","DE-CAND-009","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0062","DE-CAND-010","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0063","DE-CAND-010","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0064","DE-CAND-010","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0065","DE-CAND-010","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0066","DE-CAND-011","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0067","DE-CAND-011","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0068","DE-CAND-011","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0069","DE-CAND-011","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0070","DE-CAND-012","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0071","DE-CAND-012","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0072","DE-CAND-012","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0073","DE-CAND-012","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0074","DE-CAND-013","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0075","DE-CAND-013","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0076","DE-CAND-013","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0077","DE-CAND-013","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0078","DE-CAND-014","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0079","DE-CAND-014","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0080","DE-CAND-014","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0081","DE-CAND-014","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0082","DE-CAND-015","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0083","DE-CAND-015","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0084","DE-CAND-015","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0085","DE-CAND-015","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0086","DE-CAND-016","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0087","DE-CAND-016","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0088","DE-CAND-016","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0089","DE-CAND-016","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0090","DE-CAND-017","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0091","DE-CAND-017","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0092","DE-CAND-017","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0093","DE-CAND-017","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0094","DE-CAND-018","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0095","DE-CAND-018","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0096","DE-CAND-018","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0097","DE-CAND-018","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0098","DE-CAND-019","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0099","DE-CAND-019","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0100","DE-CAND-019","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0101","DE-CAND-019","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0102","DE-CAND-020","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0103","DE-CAND-020","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0104","DE-CAND-020","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0105","DE-CAND-020","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0106","DE-CAND-021","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0107","DE-CAND-021","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0108","DE-CAND-021","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0109","DE-CAND-021","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0110","DE-CAND-022","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0111","DE-CAND-022","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0112","DE-CAND-022","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0113","DE-CAND-022","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0114","DE-CAND-023","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0115","DE-CAND-023","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0116","DE-CAND-023","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0117","DE-CAND-023","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0118","DE-CAND-024","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0119","DE-CAND-024","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0120","DE-CAND-024","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0121","DE-CAND-024","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0122","DE-CAND-025","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0123","DE-CAND-025","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0124","DE-CAND-025","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0125","DE-CAND-025","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0126","DE-CAND-026","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0127","DE-CAND-026","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0128","DE-CAND-026","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0129","DE-CAND-026","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0130","DE-CAND-027","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0131","DE-CAND-027","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0132","DE-CAND-027","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0133","DE-CAND-027","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0134","DE-CAND-028","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0135","DE-CAND-028","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0136","DE-CAND-028","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0137","DE-CAND-028","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0138","DE-CAND-029","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0139","DE-CAND-029","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0140","DE-CAND-029","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0141","DE-CAND-029","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0142","DE-CAND-030","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0143","DE-CAND-030","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0144","DE-CAND-030","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0145","DE-CAND-030","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0146","DE-CAND-031","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0147","DE-CAND-031","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0148","DE-CAND-031","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0149","DE-CAND-031","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0150","DE-CAND-032","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0151","DE-CAND-032","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0152","DE-CAND-032","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0153","DE-CAND-032","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0154","DE-CAND-033","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0155","DE-CAND-033","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0156","DE-CAND-033","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0157","DE-CAND-033","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0158","DE-CAND-034","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0159","DE-CAND-034","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0160","DE-CAND-034","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0161","DE-CAND-034","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0162","DE-CAND-035","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0163","DE-CAND-035","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
"CS-0164","DE-CAND-035","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-022","CONTRIBUTING","","IG-SRC-021",""
"CS-0165","DE-CAND-035","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-023","CONTRIBUTING","","IG-SRC-019",""
"CS-0166","DE-CAND-036","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-065","CONTRIBUTING","","IG-SRC-056",""
"CS-0167","DE-CAND-036","03-REGISTERS/domain-e-cdial-loan-candidates.csv","DATA","SRC-059","CONTRIBUTING","","IG-SRC-059",""
