res_id,lemma,lemma_id,word_class,segmentation,retroflex_verdicts,formal_class,tokens,hymns,books,arnold_strata,majority_stratum,grassmann_gloss,source_id,retrieval_date,note
RES-011,vā́ṇī-,lemma_vARI_7887,nominal stem,v ā ṇ ī,ṇ=UNCONDITIONED(no nati trigger),F5-residue,22,20,"1:4,2:1,3:3,5:1,6:2,7:2,8:4,9:4,10:1","A:7,C:1,N:6,P:2,S:6",Archaic,"Stimme, Musik, Gesang, Getön",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-012,√krīḍ-,lemma_krIq_2757,root,k r ī ḍ,ḍ=UNCONDITIONED(no cluster source),F5-residue,22,20,"1:1,4:2,5:2,8:1,9:12,10:4","A:4,C:3,N:9,P:3,S:3",Normal,"spielen, scherzen, tändeln, tollen, sich heftig bewegen",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-013,puroḷā́ś-,lemma_puroqAS_5651,nominal stem,p u r o ḷ ā ś,ḷ=UNCONDITIONED(no cluster source),F5-residue,21,11,"1:1,3:13,4:2,6:1,7:1,8:3","A:2,C:1,N:1,P:13,S:4",Popular,Opferkuchen (*'Vorhuldigung'),SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-014,vīḷú-,lemma_vIqu_8293,nominal stem,v ī ḷ u,ḷ=UNCONDITIONED(no cluster source),F5-residue,19,16,"1:6,3:3,4:1,6:1,8:6,10:2","A:4,C:2,N:4,P:2,S:7",Strophic,"fest, stark",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-015,íḍ-,lemma_iq_1681,nominal stem,i ḍ,ḍ=UNCONDITIONED(no cluster source),F5-residue,15,13,"1:3,2:1,3:3,5:1,6:2,7:1,10:4","C:5,N:3,P:2,S:5",TIE,"Labetrunk, Labung, Spende an die Götter",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-016,mr̥ḷīká-,lemma_mfqIka_6923,nominal stem,m r̥ ḷ ī k a,ḷ=UNCONDITIONED(no cluster source),F5-residue,14,8,"1:2,4:2,6:3,7:1,8:1,10:5","A:3,P:1,S:10",Strophic,"Gnade, Huld",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-017,sumr̥ḷīká-,lemma_sumfqIka_9913,nominal stem,s u m r̥ ḷ ī k a,ḷ=UNCONDITIONED(no cluster source),F5-residue,14,13,"1:6,4:2,6:2,8:2,9:1,10:1","A:3,C:2,N:7,S:2",Normal,"huldreich, gnädig",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-018,sánīḷa-,lemma_sanIqa_9285,nominal stem,s a n ī ḷ a,ḷ=UNCONDITIONED(no cluster source),F5-residue,13,12,"1:7,7:1,9:1,10:4","A:3,C:3,N:4,P:1,S:2",Normal,"gleiches Nest habend, zusammenwohnend",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-019,áṣāḷha-,lemma_azAQa_1294,nominal stem,a ṣ ā ḷh a,ṣ=UNCONDITIONED(no RUKI trigger (after a)); ḷh=UNCONDITIONED(no cluster source),F2-aspirated-retroflex,13,13,"1:2,2:1,3:1,6:2,7:3,8:2,9:1,10:1","A:2,C:1,N:6,S:4",Normal,unüberwindlich,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-020,ṣáṣ-,lemma_zaz_9059,nominal stem,ṣ a ṣ,ṣ=UNCONDITIONED(word-initial); ṣ=UNCONDITIONED(no RUKI trigger (after a)),F4-initial-ṣ,13,10,"1:3,2:2,3:1,6:1,7:2,8:2,10:2","A:2,C:3,N:4,P:4",TIE,sechs,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-021,ṣaṣṭí-,lemma_zazwi_9060,nominal stem,ṣ a ṣ ṭ i,ṣ=UNCONDITIONED(word-initial); ṣ=UNCONDITIONED(no RUKI trigger (after a)); ṭ=CONDITIONED(cluster after ṣ),F4-initial-ṣ,12,10,"1:3,2:1,6:1,7:2,8:4,9:1","A:3,C:4,N:2,P:1,S:2",Cretic,sechzig,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-022,dūḷhī́-,lemma_dUQI_4381,nominal stem,d ū ḷh ī,ḷh=UNCONDITIONED(no cluster source),F2-aspirated-retroflex,11,10,"1:4,3:1,7:1,8:3,9:1,10:1","A:2,C:5,N:2,S:2",Cretic,übelgesinnt,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-023,kā́ṣṭhā-,lemma_kAzWA_2545,nominal stem,k ā ṣ ṭh ā,ṣ=UNCONDITIONED(no RUKI trigger (after ā)); ṭh=CONDITIONED(cluster after ṣ),F1-ṣṬ-cluster,11,11,"1:5,4:1,6:1,7:1,8:1,9:1,10:1","A:3,C:2,N:2,P:2,S:2",Archaic,"Rennbahn, Wagenrennbahn, Ziel",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-024,báṭ,lemma_baq_6136,invariable,b a ṭ,ṭ=UNCONDITIONED(no cluster source),F5-residue,10,8,"1:2,5:2,6:1,8:4,10:1","A:6,C:2,N:1,S:1",Archaic,"fürwahr, sicherlich",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-025,niṇyá-,lemma_niRya_4959,nominal stem,n i ṇ y a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,10,10,"1:3,4:2,7:3,9:1,10:1","C:3,N:1,P:2,S:4",Strophic,"wohl: 'innerlich, verborgen, geheim; n. 'Geheimnis, Verborgenes'",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-026,rāṣṭrá-,lemma_rAzwra_7394,nominal stem,r ā ṣ ṭ r a,ṣ=UNCONDITIONED(no RUKI trigger (after ā)); ṭ=CONDITIONED(cluster after ṣ),F1-ṣṬ-cluster,10,7,"4:1,7:2,10:7","N:1,P:7,S:2",Popular,"Königsherrschaft, Reich",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-027,īḷénya-,lemma_Iqenya_1826,nominal stem,ī ḷ e n y a,ḷ=UNCONDITIONED(no cluster source),F5-residue,10,10,"1:2,3:1,5:2,7:2,9:1,10:2","A:1,C:4,N:3,S:2",Cretic,"anzuflehen, zu bitten, zu verehren, zu preisen",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-028,marḍitár-,lemma_marqitf_6688,nominal stem,m a r ḍ i t a r,ḍ=UNCONDITIONED(no cluster source),F5-residue,9,8,"1:1,4:2,8:2,10:4","A:3,C:1,P:4,S:1",Popular,Erbarmer,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-029,pr̥tanāṣáh-,lemma_pftanAzah_5747 #lemma_pftanAzAh_5748,nominal stem,p r̥ t a n ā ṣ a h,ṣ=UNCONDITIONED(no RUKI trigger (after ā)),F5-residue,9,9,"1:1,3:1,5:1,6:3,8:1,9:1,10:1","A:4,C:1,N:1,P:2,S:1",Archaic,in den Kämpfen siegreich; die Kämpfe gewinnend (?),SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-030,√vīḍ- ~ vīḷ-,lemma_vIq_8292,root,v ī ḍ,ḍ=UNCONDITIONED(no cluster source),F5-residue,9,7,"2:3,3:2,6:3,8:1","A:1,N:3,P:4,S:1",Popular,"stark machen, fest machen, festigen",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-031,dūḷábha-,lemma_dUqaBa_4379,nominal stem,d ū ḷ a bh a,ḷ=UNCONDITIONED(no cluster source),F3-dū-compound,8,7,"1:1,2:1,3:2,4:2,7:2","N:4,S:4",TIE,"schwer zu täuschen, untrüglich (DABH)",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-032,maṇḍū́ka-,lemma_maRqUka_6512,nominal stem,m a ṇ ḍ ū k a,ṇ=UNCONDITIONED(nati environment fails: followed by ḍ); ḍ=CONDITIONED(cluster after ṇ),F5-residue,8,3,"7:5,9:1,10:2",P:8,Popular,Frosch,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-033,supāṇí-,lemma_supARi_9836,nominal stem,s u p ā ṇ i,ṇ=UNCONDITIONED(no nati trigger),F5-residue,8,8,"1:2,3:3,6:1,7:2","A:1,C:3,N:3,S:1",TIE,schöne Hände habend,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-034,héḷas-,lemma_heqas_10737,nominal stem,h e ḷ a s,ḷ=UNCONDITIONED(no cluster source),F5-residue,7,7,"1:3,4:1,6:2,7:1","A:1,C:2,P:1,S:3",Strophic,"Zorn, Götterzorn",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-035,kāṇvá-,lemma_kARva_2515,nominal stem,k ā ṇ v a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,7,6,8:7,S:7,Strophic,"N. pr. von káṇva- abstammend, die vedische Sängerfamilie der káṇva-",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-036,táṣṭar-,lemma_tazwf_3728,nominal stem,t a ṣ ṭ a r,ṣ=UNCONDITIONED(no RUKI trigger (after a)); ṭ=CONDITIONED(cluster after ṣ),F1-ṣṬ-cluster,7,7,"1:3,3:1,7:1,10:2","A:2,C:1,N:1,P:1,S:2",TIE,"Zimmermann, Werkmeister",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-037,aṣṭā́-,lemma_azwa_1295,nominal stem,a ṣ ṭ ā,ṣ=UNCONDITIONED(no RUKI trigger (after a)); ṭ=CONDITIONED(cluster after ṣ),F1-ṣṬ-cluster,6,6,"1:2,2:1,8:1,10:2","C:2,N:1,P:2,S:1",TIE,acht,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-038,marúdgaṇa-,lemma_marudgaRa_6684,nominal stem,m a r u d g a ṇ a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,6,6,"1:1,2:1,6:1,8:1,9:1,10:1","C:2,N:3,S:1",Normal,"dessen Schar die Marut sind, von den Marut umschart",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-039,svàrmīḷha-,lemma_svarmIQa_10461,nominal stem,s v a r m ī ḷh a,ḷh=UNCONDITIONED(no cluster source),F2-aspirated-retroflex,6,6,"1:4,4:1,8:1","A:3,S:3",TIE,herrliches Gut als Kampfpreis habend; n. Kampf um herrliches Gut,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-040,ságaṇa-,lemma_sagaRa_9118,nominal stem,s a g a ṇ a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,6,5,"1:1,3:4,10:1","C:1,N:3,P:2",Normal,"zu einer Schar verbunden, umschart",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-041,tvāṣṭrá-,lemma_tvAzwra_4006,nominal stem,t v ā ṣ ṭ r a,ṣ=UNCONDITIONED(no RUKI trigger (after ā)); ṭ=CONDITIONED(cluster after ṣ),F1-ṣṬ-cluster,6,5,"1:1,2:1,3:1,10:3","C:2,N:3,S:1",Normal,"dem tváṣṭar- gehörig, von tváṣṭar- herrührend",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-042,vóḷhar-,lemma_voQf_8505,nominal stem,v o ḷh a r,ḷh=UNCONDITIONED(no cluster source),F2-aspirated-retroflex,6,6,"1:1,6:1,8:1,9:3","A:1,N:2,P:1,S:2",TIE,fahrend; m. Zugpferd,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-043,vāṇá-,lemma_vARa_7885 #lemma_vARa_7884 #lemma_vARa_7883,nominal stem,v ā ṇ a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,6,6,"1:1,4:1,8:1,9:2,10:1","A:1,N:4,P:1",Normal,"Stimme, Musik",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-044,śóṇa-,lemma_SoRa_8921,nominal stem,ś o ṇ a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,6,6,"1:2,3:1,5:1,9:1,10:1","A:2,C:2,N:1,S:1",TIE,"rot, hochrot",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-045,√hīḍ- ~ hīḷ-,lemma_hIq_10711,root,h ī ḍ,ḍ=UNCONDITIONED(no cluster source),F5-residue,6,6,"1:2,7:2,10:2","C:1,N:1,P:2,S:2",TIE,zürnen,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-046,mārḍīká-,lemma_mArqIka_6807,nominal stem,m ā r ḍ ī k a,ḍ=UNCONDITIONED(no cluster source),F5-residue,5,5,"1:1,4:1,7:2,8:1","C:2,P:1,S:2",TIE,"Gnade, Huld",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-047,niṣṣídh-,lemma_nizziD_5047,nominal stem,n i ṣ ṣ i dh,ṣ=CONDITIONED(RUKI after i); ṣ=UNCONDITIONED(no RUKI trigger (after ṣ)),F5-residue,5,5,"1:1,3:2,4:1,6:1","A:2,N:3",Normal,"Darbringung, Spende, Tribut (?)",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-048,práskaṇva-,lemma_praskaRva_6019,nominal stem,p r a s k a ṇ v a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,5,5,"1:2,8:3",S:5,Strophic,"Name eines R̥ṣi mit dem Patronymikon kāṇvá-, eines Schützlings des Indra",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-049,sthū́ṇā-,lemma_sTURA_10283,nominal stem,s th ū ṇ ā,ṇ=UNCONDITIONED(no nati trigger),F5-residue,5,5,"1:1,5:2,8:1,10:1","A:2,C:1,N:1,P:1",Archaic,"Pfosten, Pfeiler, Säule",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-050,váṣaṭkr̥ta-,lemma_vazawkfta_7779,nominal stem,v a ṣ a ṭ k r̥ t a,ṣ=UNCONDITIONED(no RUKI trigger (after a)); ṭ=UNCONDITIONED(no cluster source),F5-residue,5,5,"1:2,2:1,8:1,10:1","A:2,N:1,P:2",TIE,mit váṣaṭ geopfert,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-051,áheḷant-,lemma_aheqat_1432,nominal stem,a h e ḷ a n t,ḷ=UNCONDITIONED(no cluster source),F5-residue,5,5,"1:1,2:1,7:1,10:2","C:1,N:2,P:1,S:1",Normal,nicht zürnend,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-052,áṇva-,lemma_aRva_216 #lemma_aRva_12022,nominal stem,a ṇ v a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,5,5,9:5,"N:4,S:1",Normal,das feine Loch in der Somaseihe,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-053,áṇvī-,lemma_aRu_215,nominal stem,a ṇ v ī,ṇ=UNCONDITIONED(no nati trigger),F5-residue,5,5,"1:1,9:4",N:5,Normal,"Bezeichnung der Finger, die bei der Somabereitung tätig sind",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-054,dūṇā́śa- 2,lemma_dURASa_4384,nominal stem,d ū ṇ ā ś a,ṇ=UNCONDITIONED(no nati trigger),F3-dū-compound,4,4,"1:1,6:1,7:2","A:2,S:2",TIE,,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-055,kalyā́ṇa-,lemma_kalyARa_2482,nominal stem,k a l y ā ṇ a,ṇ=UNCONDITIONED(no nati trigger),F5-residue,4,4,"1:1,3:1,4:1,10:1","C:2,N:1,P:1",Cretic,"schön, lieblich",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-056,krīḷí-,lemma_krIqi_2759,nominal stem,k r ī ḷ i,ḷ=UNCONDITIONED(no cluster source),F5-residue,4,4,"1:1,10:3","N:1,P:2,S:1",Popular,"ausgelassen, tollend",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-057,mīḷhá-,lemma_mIQa_6862,nominal stem,m ī ḷh a,ḷh=UNCONDITIONED(no cluster source),F2-aspirated-retroflex,4,4,"1:1,6:1,9:2","A:2,C:1,S:1",Archaic,"Kampf, Beutekampf, Kampfpreis, Beute, Gewinn",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-058,nīḷá-,lemma_nIqa_5062,nominal stem,n ī ḷ a,ḷ=UNCONDITIONED(no cluster source),F5-residue,4,2,"4:2,10:2","C:2,S:2",TIE,"Nest, Lager, Vogelnest",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-059,oṇí-,lemma_oRi_2347,nominal stem,o ṇ i,ṇ=UNCONDITIONED(no nati trigger),F5-residue,4,4,"1:1,9:3","A:2,N:2",TIE,offenbar 'Arm',SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-060,purumīḷhá-,lemma_purumIQa_5614,nominal stem,p u r u m ī ḷh a,ḷh=UNCONDITIONED(no cluster source),F2-aspirated-retroflex,4,4,"1:2,5:1,8:1","A:2,S:2",TIE,"N. pr., Eigenname eines Sängers oder Opferherrn, etwa 'mit vielem Kampfpreis'",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-061,turāṣáh-,lemma_turAzAh_3805,nominal stem,t u r ā ṣ a h,ṣ=UNCONDITIONED(no RUKI trigger (after ā)),F5-residue,4,4,"3:1,5:1,6:1,10:1","C:1,N:3",Normal,"die Starken, Vordringenden überwältigend, besiegend (?)",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-062,vibhvataṣṭá-,lemma_viBvatazwa_8094 #lemma_viBvatazwa_12573,nominal stem,v i bh v a t a ṣ ṭ a,ṣ=UNCONDITIONED(no RUKI trigger (after a)); ṭ=CONDITIONED(cluster after ṣ),F1-ṣṬ-cluster,4,4,"3:1,4:1,5:2","C:2,N:2",TIE,"von Vibhvan gebildet, gemacht",SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
RES-063,váṣaṭ,lemma_vazaw_7778,invariable,v a ṣ a ṭ,ṣ=UNCONDITIONED(no RUKI trigger (after a)); ṭ=UNCONDITIONED(no cluster source),F5-residue,4,3,"7:2,10:2","A:2,S:2",TIE,ein Opferruf,SRC-019; SRC-022; SRC-023; SRC-047,2026-09-07,Membership means only that the two regular retroflexion rules do not derive the marked segment. It is not a claim that the word is borrowed.
