"passage_id","stanza","book","hymn","stanza_n","n_family_tokens","family_surfaces","family_lemmas","family_padas","family_morphology","n_padas","arnold_metre_labels","arnold_stratum_code","arnold_stratum","stratum_certainty","addressee","poet_group","stanza_properties_flags","samhita_text","padapatha","translations_present","translations_absent","source_id","retrieval_date","supports_page","notes"
"PUR-P-011","01.063.07","1","63","7","1","púraḥ","púr-","b","b1 case=ACC|gender=F|number=PL","4","M M M M","A","Archaic","certain","Indra","8. group: hymns of Nodhas, descendant of Gotama","(none)","tváṁ ha tyád indra saptá yúdhyan púro vajrin purukútsāya dardaḥ / barhír ná yát sudā́se vŕ̥thā várg aṁhó rājan várivaḥ pūráve kaḥ","tvam | ha | tyat | indra | sapta | yudhyan | puraḥ | vajrin | puru-kutsāya | dardaḥ | barhiḥ | na | yat | su-dāse | vr̥thā | varka | aṁhoḥ | rājan | varivaḥ | pūrave | kaḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-012","01.102.07","1","102","7","1","puraṃdara","puraṃdará-","d","d4 case=VOC|gender=M|number=SG","4","M M M M","C","Cretic","certain","Indra","11. group: hymns of Kutsa, the Angiras","(none)","út te śatā́n maghavann úc ca bhū́yasa út sahásrād ririce kr̥ṣṭíṣu śrávaḥ / amātráṁ tvā dhiṣáṇā titviṣe mahy ádhā vr̥trā́ṇi jighnase puraṁdara","ut | te | śatāt | magha-van | ut | cabhūyasaḥ | ut | sahasrāt | ririce | kr̥ṣṭiṣu | śravaḥ | amātram | tvā | dhiṣaṇā | titviṣe | mahī | adha | vr̥trāṇi | jighnase | puram-dara","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-013","01.103.03","1","103","3","1","púraḥ","púr-","b","b1 case=ACC|gender=F|number=PL","4","M M M M","C","Cretic","certain","Indra","11. group: hymns of Kutsa, the Angiras","(none)","sá jātū́bharmā śraddádhāna ójaḥ púro vibhindánn acarad ví dā́sīḥ / vidvā́n vajrin dásyave hetím asyā́ryaṁ sáho vardhayā dyumnám indra","saḥ | jātū-bharmā | śrat-dadhānaḥ | ojaḥ | puraḥ | vi-bhindan | acarat | vi | dāsīḥ | vi dvān | vajrin | dasyave | hetim | asya | āryam | sahaḥ | vardhaya | dyumnam | indra","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-014","01.103.08","1","103","8","1","púraḥ","púr-","b","b4 case=ACC|gender=F|number=PL","4","M M MR MR","C","Cretic","certain","Indra","11. group: hymns of Kutsa, the Angiras","(none)","śúṣṇam pípruṁ kúyavaṁ vr̥trám indra yadā́vadhīr ví púraḥ śámbarasya / tán no mitró váruṇo māmahantām áditiḥ síndhuḥ pr̥thivī́ utá dyaúḥ","śuṣṇam | piprum | kuyavam | vr̥tram | indra | yadā | avadhīḥ | vi | puraḥ | śambarasya | tat | naḥ | mitraḥ | varuṇaḥ | mamahantām | aditiḥ | sindhuḥ | pr̥thivī | uta | dyauḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-015","01.109.08","1","109","8","1","púraṃdarā","puraṃdará-","a","a1 case=VOC|gender=M|number=DU","4","M M MR MR","C","Cretic","certain","Indra and Agni","11. group: hymns of Kutsa, the Angiras","(none)","púraṁdarā śíkṣataṁ vajrahastāsmā́m̐ indrāgnī avatam bháreṣu / tán no mitró váruṇo māmahantām áditiḥ síndhuḥ pr̥thivī́ utá dyaúḥ","puram-darā | śikṣatam | vajra-hastā | asmān | indrāgnī iti | avatam | bhareṣu | tat | naḥ | mitraḥ | varuṇaḥ | mamahantām | aditiḥ | sindhuḥ | pr̥th ivī | uta | dyauḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-016","01.112.14","1","112","14","1","pūrbhídye","pūrbhídya-","c","c2 case=LOC|gender=N|number=SG","4","M M M MR","C","Cretic","certain","Asvins","11. group: hymns of Kutsa, the Angiras","(none)","yā́bhir mahā́m atithigváṁ kaśojúvaṁ dívodāsaṁ śambarahátya ā́vatam / yā́bhiḥ pūrbhídye trasádasyum ā́vataṁ tā́bhir ū ṣú ūtíbhir aśvinā́ gatam","yābhiḥ | mahām | atithi-gvam | kaśaḥ-juvam | divaḥ-dāsam | śambara-hatye | āvatam | yābhiḥ | pūḥ-bhidye | trasadasyum | āvatam | tābhiḥ | oṁ iti | su | ūti-bhiḥ | aśvinā | ā | gatam","elizarenkova geldner grassmann griffith","macdonell mueller oldenberg_tr otto renou","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-017","01.130.07","1","130","7","1","púraḥ","púr-","a","a2 case=ACC|gender=F|number=PL","7","M M M M M M M","s","Strophic","metrical-variations-only","Indra","13. group: hymns of Parucchepa, son of Divodasa","(none)","bhinát púro navatím indra pūráve dívodāsāya máhi dāśúṣe nr̥to vájreṇa dāśúṣe nr̥to / atithigvā́ya śámbaraṁ girér ugró ávābharat / mahó dhánāni dáyamāna ójasā víśvā dhánāny ójasā","iti | vajreṇa | dāśuṣe | nr̥to iti | atithi-gvāya | śambaram | gireḥ | ugraḥ | ava | abharat | mahaḥ | dhanāni | dayamānaḥ | ojasā | viśvā | dhanāni | ojasā","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-018","01.130.10","1","130","10","1","púrām","púr-","b","b1 case=GEN|gender=F|number=PL","4","M M M M","s","Strophic","metrical-variations-only","Indra","13. group: hymns of Parucchepa, son of Divodasa","(none)","sá no návyebhir vr̥ṣakarmann ukthaíḥ púrāṁ dartaḥ pāyúbhiḥ pāhi śagmaíḥ / divodāsébhir indra stávāno vāvr̥dhīthā́ áhobhir iva dyaúḥ","saḥ | naḥ | navyebhiḥ | vr̥ṣa-karman | ukthaiḥ | purām | dartaritidartaḥ | pāyu-bhiḥ | pāhi | śagmaiḥ | divaḥ-dāsebhiḥ | indra | stavānaḥ | vavr̥dhīthāḥ | ahobhiḥ-iva | dyauḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-019","01.131.04","1","131","4","1","púraḥ","púr-","b","b1 case=ACC|gender=F|number=PL","7","M M M M M M M","s","Strophic","metrical-variations-only","Indra","13. group: hymns of Parucchepa, son of Divodasa","(none)","vidúṣ ṭe asyá vīryàsya pūrávaḥ púro yád indra śā́radīr avā́tiraḥ sāsahānó avā́tiraḥ / śā́sas tám indra mártyam áyajyuṁ śavasas pate / mahī́m amuṣṇāḥ pr̥thivī́m imā́ apó mandasāná imā́ apáḥ","viduḥ | te | asya | vīryasya | pūravaḥ | puraḥ | yat | indra | śāradīḥ | ava-at iraḥ | sasahānaḥ | ava-atiraḥ | śāsaḥ | tam | indra | martyam | ayajyum | śavasaḥ | pate | mahīm | amuṣṇāḥ | pr̥thivīm | imāḥ | apaḥ | mandasānaḥ | imāḥ | apaḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-020","01.149.03","1","149","3","1","púram","púr-","a","a3 case=ACC|gender=F|number=SG","3","M M M","a","Archaic","metrical-variations-only","Agni","14. group: hymns of Dirghatamas, son of Ucathya and Mamata","(none)","ā́ yáḥ púraṁ nā́rmiṇīm ádīded átyaḥ kavír nabhanyò nā́rvā / sū́ro ná rurukvā́ñ chatā́tmā","ā | yaḥ | puram | nārmiṇīm | adīdet | atyaḥ | kaviḥ | nabhanyaḥ | nārvā | sūraḥ | na | rurukvān | śata-ātmā","elizarenkova geldner grassmann griffith oldenberg_tr renou","macdonell mueller otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-021","01.166.08","1","166","8","1","pūrbhíḥ","púr-","b","b1 case=INS|gender=F|number=PL","4","M M M M","s","Strophic","metrical-variations-only","the Maruts","15. group: hymns of Agastya","(none)","śatábhujibhis tám abhíhruter aghā́t pūrbhī́ rakṣatā maruto yám ā́vata / jánaṁ yám ugrās tavaso virapśinaḥ pāthánā śáṁsāt tánayasya puṣṭíṣu","śatabhuji-bhiḥ | tam | abhi-hruteḥ | aghāt | pūḥ-bhiḥ | rakṣata | marutaḥ | yam | āvata | janam | yam | ugrāḥ | tavasaḥ | vi-rapśinaḥ | pāthana | śaṁsāt | tanayasya | puṣṭiṣu","elizarenkova geldner grassmann griffith mueller renou","macdonell oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-022","01.173.10","1","173","10","1","pū́rpatim","pū́rpati-","c","c3 case=ACC|gender=M|number=SG","4","M M M M","A","Archaic","certain","Indra","15. group: hymns of Agastya","(none)","víṣpardhaso narā́ṁ ná śáṁsair asmā́kāsad índro vájrahastaḥ / mitrāyúvo ná pū́rpatiṁ súśiṣṭau madhyāyúva úpa śikṣanti yajñaíḥ","vi-spardhasaḥ | narām | na | śaṁsaiḥ | asmāka | asat | indraḥ | vajra-hastaḥ | mitra-yuvaḥ | na | pūḥ-patim | su-śiśṭau | madhya-yuvaḥ | upa | śikṣanti | yajñaiḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-023","01.174.02","1","174","2","1","púraḥ","púr-","b","b3 case=ACC|gender=F|number=PL","4","M M M M","A","Archaic","certain","Indra","15. group: hymns of Agastya","(none)","dáno víśa indra mr̥dhrávācaḥ saptá yát púraḥ śárma śā́radīr dárt / r̥ṇór apó anavadyā́rṇā yū́ne vr̥trám purukútsāya randhīḥ","danaḥ | viśaḥ | indra | mr̥dhra-vācaḥ | sapta | yat | puraḥ | śarma | śāradīḥ | darta | r̥ṇoḥ | apaḥ | anavadya | arṇāḥ | yūne | vr̥tram | puru-kutsāya | randhīḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-024","01.174.08","1","174","8","1","púraḥ","púr-","c","c2 case=ACC|gender=F|number=PL","4","M M M M","A","Archaic","certain","Indra","15. group: hymns of Agastya","(none)","sánā tā́ ta indra návyā ā́guḥ sáho nábhó 'viraṇāya pūrvī́ḥ / bhinát púro ná bhído ádevīr nanámo vádhar ádevasya pīyóḥ","sanā | tā | te | indra | navyāḥ | ā | aguḥ | sahaḥ | nabhaḥ | avi-raṇāya | pūrvīḥ | bhinat | puraḥ | na | bhidaḥ | adevīḥ | nanamaḥ | vadhaḥ | adevasya | pīyoḥ","elizarenkova geldner grassmann griffith renou","macdonell mueller oldenberg_tr otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
"PUR-P-025","01.189.02","1","189","2","1","pū́ḥ","púr-","c","c1 case=NOM|gender=F|number=SG","4","M M M M","s","Strophic","metrical-variations-only","Agni","15. group: hymns of Agastya","(none)","ágne tvám pārayā návyo asmā́n svastíbhir áti durgā́ṇi víśvā / pū́ś ca pr̥thvī́ bahulā́ na urvī́ bhávā tokā́ya tánayāya śáṁ yóḥ","agne | tvam | pāraya | navyaḥ | asmān | svasti-bhiḥ | ati | duḥ-gāṇi | viśvā | pūḥ | ca | pr̥thvī | bahulā | naḥ | urvī | bhava | tokāya | tanayāya | śam | yoḥ","elizarenkova geldner grassmann griffith oldenberg_tr renou","macdonell mueller otto","SRC-069; SRC-020; SRC-021; SRC-022; SRC-023; SRC-070; SRC-071; SRC-072; SRC-073; SRC-074; SRC-075; SRC-076; SRC-077","2026-09-07","forts (proposed)","Arnold assigns this stanza's period on metrical variations alone (lowercase code); lower confidence than the uppercase assignments. No stanza-level lateness flag from Grassmann, Oldenberg, Arnold 1897, Wuest or Witzel. Absence of a flag is NOT PRODUCED, not a judgement of authenticity."
