"claim_id","claim","evidence_status","source_id","locator","retrieval_date","supports_page","notes","interpretive_status","editorial_status","publication_status","status_reason","superseded_by"
"DE-M-020","Turner marks two of the RV-tagged Dravidian candidates as attested in the Rigveda only inside compounds, and the Zurich layer confirms both: kuṇḍa has no simplex lemma but yields kuṇḍapā́yya-, and mayū́ra has none but yields mayū́raroman- and mayū́raśepya-.","VERIFIED","SRC-065; SRC-059; SRC-022","CDIAL 3264 '(RV. in cmpd.)' and 9865 'in cmpds. RV.'; 03-REGISTERS/domain-e-cdial-loan-candidates.csv fields rv_derivative_lemmas, rv_compound_lemmas","2026-09-07","substrate (proposed)","Simplex, compound-member and derivative attestation are three different things and this is what separating them buys. The other two string matches in the same column, *garda to gardabha- and pota to potár-/kapóta-, were checked individually and are coincidences of spelling, not morphological derivation; the column is string evidence needing case-by-case review and is labelled as such.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-021","In the retrieved language table, 47 attested Dravidian lects carry coordinates, spanning 66.56 to 87.64 degrees east and 9.59 to 29.04 degrees north.","VERIFIED","SRC-060","JAMBU @ dbae310, cldf/languages.csv, clades S./C./N. Dravidian, Old Dravidian, Brahui; 04-AUDITS/domain-e-geography.py rows GEO-DR-01..03","2026-09-07","substrate (proposed); atlas layer","Glottolog coordinates as carried by JAMBU. Proto-nodes are excluded: a reconstructed protolanguage has no location, only a hypothesis about one.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-022","In the same table, 20 attested Munda lects carry coordinates, spanning 77.55 to 88.34 degrees east and 18.39 to 25.04 degrees north.","VERIFIED","SRC-060","same file, clade Munda; GEO-MU-01..03","2026-09-07","substrate (proposed); atlas layer","The Munda longitude envelope begins east of where the northwestern envelope ends.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-023","The nearest attested Dravidian lect to any northwestern lect is Brahui, 393 great-circle kilometres away.","VERIFIED","SRC-060","GEO-DR-04; northwest operationalised as the Kohistani, Shinaic, Sindhic, Lahndic, Punjabic, Kashmiric, Kunar, Chitrali, Nuristani and Pashai clades of the same table","2026-09-07","substrate (proposed); brahui","Distance between modern attested locations. It is not a statement about any ancient distribution, and §4.P forbids reading it as one.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-024","The nearest attested Munda lect to any northwestern lect is Korku, 855 great-circle kilometres away.","VERIFIED","SRC-060","GEO-MU-04","2026-09-07","substrate (proposed)","2.2 times the Brahui figure.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-025","Remove Brahui and the nearest attested Dravidian lect to the northwest is Kolami at 1,055 km, which is farther than Munda's nearest member.","VERIFIED","SRC-060","GEO-DR-05 against GEO-MU-04","2026-09-07","substrate (proposed); brahui","The measurement that matters most in this unit, and it does not favour the expected side. Dravidian's entire geographic advantage in the northwest is one language. The interpretation is DE-I-008; the standing of Brahui itself is domain M and IH-031, not settled here.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-026","The instruments used in this unit were made across 114 years: Arnold 1905, Turner 1962-66, Burrow and Emeneau 1984 (2nd ed.), Krishnamurti 2003, Rau 2019, and the JAMBU build of 2026-08-30.","VERIFIED","SRC-023; SRC-065; SRC-061; SRC-062; SRC-064; SRC-060","dates from 02-SOURCES/access-ledger.csv rows and JAMBU cldf/references.csv; JAMBU HEAD dbae3102fe779aa60f5ef03108f7918ab2ede006 committed 2026-08-30T04:37:14-07:00","2026-09-07","substrate (proposed)","Step 2 requires chronology before interpretation, and the chronology of the instruments is the part of it that is fully checkable here. A 1905 metrical stratification and a 2019 reconstruction are not contemporaries and their disagreements are not necessarily errors.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-027","The attestation dates that would date the languages themselves - Proto-Dravidian, the Munda arrival, the Rigvedic strata in absolute years - cannot be established from anything retrieved in this session.","VERIFIED","SRC-068; SRC-023","05-HOLDS/HOLD-005; DEP-001 (Arnold 1905 is the sole source of the strata)","2026-09-07","substrate (proposed)","IH-117 (Proto-Dravidian c. 4,500 years old) and IH-119 (Munda c. 2000 BCE) remain INHERITED-UNVERIFIED and are not used anywhere in this unit. The chronology gate is therefore passed only in its relative form, on Arnold's strata, and is single-sourced there.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-028","47 of Turner's 55 Munda loan attributions (85%) cite Kuiper or PMWS.","VERIFIED","SRC-065","03-REGISTERS/domain-e-cdial-attribution-stats.csv keys munda_in_total, munda_in_cites_kuiper; reproduced by 04-AUDITS/domain-e-cdial-attributions.py","2026-09-07","substrate (proposed)","Constitution step 5. The 55 attributions are close to one authority repeated, not 55 judgements. Kuiper is unretrieved (DEP-012, HOLD-005), so this record cannot check the authority the attributions rest on.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-029","Every one of the 55 Munda attributions names some authority; 29 of the 224 Dravidian attributions (13%) name none.","VERIFIED","SRC-065","same file, keys munda_in_cites_no_authority = 0 and dravidian_in_cites_no_authority = 29","2026-09-07","substrate (proposed)","Cuts against the expected direction: on this measure Turner is more careful with his Munda attributions than his Dravidian ones. Recorded because it is the kind of result the preferred-counter-narrative test exists to catch.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"DE-M-030","Turner's 224 Dravidian attributions distribute across several authorities: Mayrhofer or EWA in 85, Burrow in 81, Kuiper in 18, Bloch in 15, Przyluski in 2.","VERIFIED","SRC-065","same file, keys dravidian_in_cites_*","2026-09-07","substrate (proposed)","Categories overlap; an entry can cite two. The contrast with DE-M-028 is the point: the Dravidian attributions have a broader authority base, the Munda attributions a narrower one.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
