"rej_id","target","classification","p_number","line_ref","raw_token","line","source_id","retrieval_date"
"DRX-0025","CARNELIAN","REJECT-NOT-THE-STONE","P285443","1","_gug]_","_{na4}za-gin3 babbar-dili# [zu2 sig3_ me-ku _gug]_ mar-ha-szi#","SRC-103","2026-09-08"
"DRX-0026","CARNELIAN","REJECT-NOT-THE-STONE","P285437","22","_gug_","2(disz) ; _gug_ mar-ha-szi","SRC-103","2026-09-08"
"DRX-0027","CARNELIAN","REJECT-NOT-THE-STONE","P285446","39","_gug_","_{na4}za-gin3 babbar-dili zu2-sig7_ me-ku _gug_ mar-<ha>-szi _{d}lamma#_","SRC-103","2026-09-08"
"DRX-0028","CARNELIAN","REJECT-NOT-THE-STONE","P285444","2","_gug_","{na4}pa-ru-tu2 _gug_","SRC-103","2026-09-08"
"DRX-0029","CARNELIAN","REJECT-NOT-THE-STONE","P285447","5","_gug_","_za-gin3 babbar-dili zu2 sig7_ me-ku _gug_ mar-ha-szi","SRC-103","2026-09-08"
"DRX-0030","CARNELIAN","REJECT-NOT-THE-STONE","P285447","17","_gug_","_gug_ me-luh-ha hu-luh-ha _szim-bi-zi-da_","SRC-103","2026-09-08"
"DRX-0031","CARNELIAN","REJECT-NOT-THE-STONE","P241578","6","_gugx(|GUL.ZA|)_","_gugx(|GUL.ZA|)_","SRC-103","2026-09-08"
"DRX-0032","CARNELIAN","REJECT-NOT-THE-STONE","P241553","5","_gugx(|ZA.GUL|)","5(u@c) 4(asz@c) gin2 dilmun _gugx(|ZA.GUL|) za:gin3_","SRC-103","2026-09-08"
"DRX-0033","CARNELIAN","REJECT-NOT-THE-STONE","P394325","22","_im#-kal-gug_","_im#-kal-gug_ ta-zak3 ina# _i3_ u _kasz nag_-[ma ina-esz?]","SRC-103","2026-09-08"
"DRX-0034","CARNELIAN","REJECT-NOT-THE-STONE","P285144","12'","_im-kal-[gug]","_im-kal-[gug] 6(disz)? u2-me ara3-mesz_ ina _lal3_ u _i3-nun_ u _i3-gesz bara2-ga#_ x [x x]","SRC-103","2026-09-08"
"DRX-0035","CARNELIAN","REJECT-NOT-THE-STONE","P285123","4'","_im-kal-gug","_im-kal-gug gi du10_","SRC-103","2026-09-08"
"DRX-0036","CARNELIAN","REJECT-NOT-THE-STONE","P285112","3","_im-kal-gug","_im-kal-gug ka a-ab-ba_","SRC-103","2026-09-08"
"DRX-0037","CARNELIAN","REJECT-NOT-THE-STONE","P394867","7'","_im-kal-gug","_{szim#}li_ {na4}ga-bi-i _im-kal-gug numun {u2}si-sa2_","SRC-103","2026-09-08"
"DRX-0038","CARNELIAN","REJECT-NOT-THE-STONE","P393807","64'","_im-kal-gug","_{gesz}li na4_ ga-bi#-i _im-kal-gug numun {u2}si-sa2_","SRC-103","2026-09-08"
"DRX-0039","CARNELIAN","REJECT-NOT-THE-STONE","P400233","69'","_im-kal-gug_","_im-kal-gug_ [x x an]-nam# ina _izi {gesz#}kiszi16 sza3 gesztu-min_-szu2 _sar_-ar2#","SRC-103","2026-09-08"
"DRX-0040","CARNELIAN","REJECT-NOT-THE-STONE","P498964","24","_im-kal-gug_","2(disz) gi-re-e _im-kal-gug_ an-da-szum _sud2_-ma ina _kasz_ t,a-a-bi u2-na-ṣap","SRC-103","2026-09-08"
"DRX-0041","CARNELIAN","REJECT-NOT-THE-STONE","P418341","15'","_im]-kal#-gug_","[x x _im]-kal#-gug_","SRC-103","2026-09-08"
"DRX-0042","CARNELIAN","REJECT-NOT-THE-STONE","P394325","6","_im]-kal#?-gug","[... _im]-kal#?-gug sud2_ ta-za-ru3#-[ma? ina-esz]","SRC-103","2026-09-08"
"DRX-0043","CARNELIAN","REJECT-NOT-THE-STONE","P285453","5","_na4#-gug#_","[...] x _na4#-gug#_ hal-lu-ru _{u2}mud_","SRC-103","2026-09-08"
"DRX-0044","CARNELIAN","REJECT-NOT-THE-STONE","P358706","5","_na4-za-gug_","[x (x)]-x-ma szu-ma _na4-za-gug_","SRC-103","2026-09-08"
"DRX-0045","CARNELIAN","REJECT-NOT-THE-STONE","P358706","8","_na4-za-gug_","ne2!-ta-wu a-na szu-mi3 _na4-za-gug_","SRC-103","2026-09-08"
"DRX-0046","CARNELIAN","REJECT-NOT-THE-STONE","P285287","14","_{im}kal#-gug_","_{im}kal#-gug_ ina ni-ip-sze#? [...]","SRC-103","2026-09-08"
"DRX-0047","CARNELIAN","REJECT-NOT-THE-STONE","P285246","6","_{im}kal-[gug]_","_DISZ kum2 zi_-hi _{im}kal-[gug]_ u2#-kal _gu7_-ma ina-esz","SRC-103","2026-09-08"
"DRX-0048","CARNELIAN","REJECT-NOT-THE-STONE","P348465","27","_{im}kal-gug","_{u2}kur-ra sud2#_ ina _i3_ u _kasz nag_-ma ina-esz _{im}kal-gug sud2_ ina _i3_ u _kasz nag#_ [...]","SRC-103","2026-09-08"
"DRX-0049","CARNELIAN","REJECT-NOT-THE-STONE","P238918","4'","_{im}kal-gug#_","_zu2 ge6_-ma _{im}kal-gug#_ [...]","SRC-103","2026-09-08"
"DRX-0050","CARNELIAN","REJECT-NOT-THE-STONE","P394888","11'","_{im}kal-gug#_","[...] ina _{im}kal-gug#_","SRC-103","2026-09-08"
"DRX-0051","CARNELIAN","REJECT-NOT-THE-STONE","P396018","2'","_{im}kal-gug_","[...] _{im}kal-gug_ ni-kip-tu2# x x [...]","SRC-103","2026-09-08"
"DRX-0052","CARNELIAN","REJECT-NOT-THE-STONE","P133735","4","a-gug-mu2-da","a-sza3 a-gug-mu2-da","SRC-103","2026-09-08"
"DRX-0053","CARNELIAN","REJECT-NOT-THE-STONE","P271097","2","an-gug-mi!_","9(disz) li-e-hu sza ti-ik-ki sza _ku3-sig17 na4 an-gug-mi!_","SRC-103","2026-09-08"
"DRX-0054","CARNELIAN","REJECT-NOT-THE-STONE","P514720","64","e-gug-ma","lib3-bi e-gug-ma is,-s,a-ru-uh ka-bit-ti","SRC-103","2026-09-08"
"DRX-0055","CARNELIAN","REJECT-NOT-THE-STONE","P421807","64","e-gug-ma","lib3-bi e-gug-ma is,-s,a-ru-uh ka-bit-ti","SRC-103","2026-09-08"
"DRX-0056","CARNELIAN","REJECT-NOT-THE-STONE","P020216","3","gug","ninda bappir3 gug 1(asz@c)-ta","SRC-103","2026-09-08"
"DRX-0057","CARNELIAN","REJECT-NOT-THE-STONE","P020324","3","gug","ninda bappir3 gug 1(asz@c)-ta","SRC-103","2026-09-08"
"DRX-0058","CARNELIAN","REJECT-NOT-THE-STONE","P101217","5","gug","2(disz) gug e2-ki-nu2","SRC-103","2026-09-08"
"DRX-0059","CARNELIAN","REJECT-NOT-THE-STONE","P114099","1","gug","3(disz) gug gid2-da","SRC-103","2026-09-08"
"DRX-0060","CARNELIAN","REJECT-NOT-THE-STONE","P114099","2","gug","2(u) 1(disz) gug szu-gur-ra","SRC-103","2026-09-08"
"DRX-0061","CARNELIAN","REJECT-NOT-THE-STONE","P114099","5","gug","1(disz) gug du6","SRC-103","2026-09-08"
"DRX-0062","CARNELIAN","REJECT-NOT-THE-STONE","P114099","3","gug","2(u) la2 2(disz) gug szu-gur","SRC-103","2026-09-08"
"DRX-0063","CARNELIAN","REJECT-NOT-THE-STONE","P116203","3","gug","2/3(disz) gin2 ku3 gug","SRC-103","2026-09-08"
"DRX-0064","CARNELIAN","REJECT-NOT-THE-STONE","P118719","1","gug","7(disz) gug","SRC-103","2026-09-08"
"DRX-0065","CARNELIAN","REJECT-NOT-THE-STONE","P128071","5","gug","1(disz) gug esir2","SRC-103","2026-09-08"
"DRX-0066","CARNELIAN","REJECT-NOT-THE-STONE","P130182","4","gug","4(barig) 2(ban2) ninda gug","SRC-103","2026-09-08"
"DRX-0067","CARNELIAN","REJECT-NOT-THE-STONE","P134024","17'","gug","[...] kun PA gug ku3-sig17 gar","SRC-103","2026-09-08"
"DRX-0068","CARNELIAN","REJECT-NOT-THE-STONE","P134308","9","gug","1(disz) gug","SRC-103","2026-09-08"
"DRX-0069","CARNELIAN","REJECT-NOT-THE-STONE","P135898","3","gug","gug za-gin3 e2 {d}nin-gir2-su-bi ri-a","SRC-103","2026-09-08"
"DRX-0070","CARNELIAN","REJECT-NOT-THE-STONE","P136741","1","gug","1(gesz'u) 8(gesz2) 1(u) 8(disz) za [...] gug [x]","SRC-103","2026-09-08"
"DRX-0071","CARNELIAN","REJECT-NOT-THE-STONE","P137053","5","gug","[...] gug {na4}nir7","SRC-103","2026-09-08"
"DRX-0072","CARNELIAN","REJECT-NOT-THE-STONE","P137053","14","gug","4(disz) {na4}ellag2 gug","SRC-103","2026-09-08"
"DRX-0073","CARNELIAN","REJECT-NOT-THE-STONE","P137057","9","gug","1(u) 2(disz) {na4}ellag2 gug [...]","SRC-103","2026-09-08"
"DRX-0074","CARNELIAN","REJECT-NOT-THE-STONE","P141796","14'","gug","6(disz)? gug gid2-da ku3-sig17 gar-ra-bi","SRC-103","2026-09-08"
"DRX-0075","CARNELIAN","REJECT-NOT-THE-STONE","P141796","27","gug","szunigin 1(disz) gir2 banszur dingir mu10-us2-bi? gug ku3-sig17 gar-ra","SRC-103","2026-09-08"
"DRX-0076","CARNELIAN","REJECT-NOT-THE-STONE","P141796","17","gug","szunigin 5(disz) gug [gid2]-da ku3-sig17 gar-ra","SRC-103","2026-09-08"
"DRX-0077","CARNELIAN","REJECT-NOT-THE-STONE","P142043","1","gug","1(asz) kiszib3 sal gug ku3-sig17 gar-ra","SRC-103","2026-09-08"
"DRX-0078","CARNELIAN","REJECT-NOT-THE-STONE","P142331","6","gug","2(disz) gug gid2-da","SRC-103","2026-09-08"
"DRX-0079","CARNELIAN","REJECT-NOT-THE-STONE","P142331","7","gug","1(disz) {gesz}bulug3 gug","SRC-103","2026-09-08"
"DRX-0080","CARNELIAN","REJECT-NOT-THE-STONE","P142331","8","gug","4(disz) gug zu2-lum","SRC-103","2026-09-08"
"DRX-0081","CARNELIAN","REJECT-NOT-THE-STONE","P142331","10","gug","szunigin 2(disz) gug gid2-da","SRC-103","2026-09-08"
"DRX-0082","CARNELIAN","REJECT-NOT-THE-STONE","P142331","1","gug","szunigin 1(disz) {gesz}bulug3 gug","SRC-103","2026-09-08"
"DRX-0083","CARNELIAN","REJECT-NOT-THE-STONE","P142331","2","gug","szunigin 4(disz) gug zu2-lum","SRC-103","2026-09-08"
"DRX-0084","CARNELIAN","REJECT-NOT-THE-STONE","P142751","12","gug","1(disz) tu-di-da gug za-gin3 ku3-sig17 ga2-ra ka-ba ku3-sig17 nigin2-na","SRC-103","2026-09-08"
"DRX-0085","CARNELIAN","REJECT-NOT-THE-STONE","P142751","1","gug","3(disz) tu-di-da gug sag lulim-ma ku3-sig17 ku3-babbar ga2-ra","SRC-103","2026-09-08"
"DRX-0086","CARNELIAN","REJECT-NOT-THE-STONE","P145282","4","gug","6(disz) za-har gug","SRC-103","2026-09-08"
"DRX-0087","CARNELIAN","REJECT-NOT-THE-STONE","P208527","18","gug","7(disz) za gug gid2-da","SRC-103","2026-09-08"
"DRX-0088","CARNELIAN","REJECT-NOT-THE-STONE","P208527","2","gug","6(disz) za gug","SRC-103","2026-09-08"
"DRX-0089","CARNELIAN","REJECT-NOT-THE-STONE","P208527","8","gug","[n] za gug ku3-sig17 hi-a","SRC-103","2026-09-08"
"DRX-0090","CARNELIAN","REJECT-NOT-THE-STONE","P216977","5","gug","1(u@c) za gur4-ra gug","SRC-103","2026-09-08"
"DRX-0091","CARNELIAN","REJECT-NOT-THE-STONE","P220725","4","gug","6(asz@c) gu2 gug um-dur","SRC-103","2026-09-08"
"DRX-0092","CARNELIAN","REJECT-NOT-THE-STONE","P220780","7","gug","ninda GAN2 masz gug 1(asz@c)-ta","SRC-103","2026-09-08"
"DRX-0093","CARNELIAN","REJECT-NOT-THE-STONE","P220780","2","gug","ninda GAN2 masz-bi 5(gesz2@c) 4(u@c) 2(asz@c) gug","SRC-103","2026-09-08"
"DRX-0094","CARNELIAN","REJECT-NOT-THE-STONE","P220870","1","gug","6(asz@c) ninda zi3 gu 1(disz@t) gug i3-diri","SRC-103","2026-09-08"
"DRX-0095","CARNELIAN","REJECT-NOT-THE-STONE","P221449","3","gug","ninda bappir3 gug 1(asz@c)-ta","SRC-103","2026-09-08"
"DRX-0096","CARNELIAN","REJECT-NOT-THE-STONE","P227751","7","gug","{na4}kiszib gug","SRC-103","2026-09-08"
"DRX-0097","CARNELIAN","REJECT-NOT-THE-STONE","P227751","8","gug","{na4}lagab gug","SRC-103","2026-09-08"
"DRX-0098","CARNELIAN","REJECT-NOT-THE-STONE","P227751","9","gug","{na4}ellag2 gug","SRC-103","2026-09-08"
"DRX-0099","CARNELIAN","REJECT-NOT-THE-STONE","P227945","50","gug","{na4}kiszib gug","SRC-103","2026-09-08"
"DRX-0100","CARNELIAN","REJECT-NOT-THE-STONE","P228721","13","gug","[{na4}]kiszib# gug","SRC-103","2026-09-08"
"DRX-0101","CARNELIAN","REJECT-NOT-THE-STONE","P228721","14","gug","[...] gug","SRC-103","2026-09-08"
"DRX-0102","CARNELIAN","REJECT-NOT-THE-STONE","P228721","15","gug","{na4#}[...] gug","SRC-103","2026-09-08"
"DRX-0103","CARNELIAN","REJECT-NOT-THE-STONE","P230388","4'","gug","{na4}kiszib gug","SRC-103","2026-09-08"
"DRX-0104","CARNELIAN","REJECT-NOT-THE-STONE","P230388","5'","gug","{na4}lagab gug","SRC-103","2026-09-08"
"DRX-0105","CARNELIAN","REJECT-NOT-THE-STONE","P230388","6'","gug","{na4}ellag2 gug","SRC-103","2026-09-08"
"DRX-0106","CARNELIAN","REJECT-NOT-THE-STONE","P232300","22","gug","gug gi-rin-e me-luh-ha-ta","SRC-103","2026-09-08"
"DRX-0107","CARNELIAN","REJECT-NOT-THE-STONE","P232301","13","gug","gu3-de2-a gug za-gin3 mi-ni-uh","SRC-103","2026-09-08"
"DRX-0108","CARNELIAN","REJECT-NOT-THE-STONE","P232301","13","gug","uruda# nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da","SRC-103","2026-09-08"
"DRX-0109","CARNELIAN","REJECT-NOT-THE-STONE","P282337","14","gug","gug = %a ha-a-lu","SRC-103","2026-09-08"
"DRX-0110","CARNELIAN","REJECT-NOT-THE-STONE","P282337","16","gug","gug = %a pe-en-du-u2","SRC-103","2026-09-08"
"DRX-0111","CARNELIAN","REJECT-NOT-THE-STONE","P332829","10'","gug","[{na4}kiszib] gug","SRC-103","2026-09-08"
"DRX-0112","CARNELIAN","REJECT-NOT-THE-STONE","P332829","11'","gug","[{na4}lagab] gug","SRC-103","2026-09-08"
"DRX-0113","CARNELIAN","REJECT-NOT-THE-STONE","P332830","35","gug","{na4}kiszib gug","SRC-103","2026-09-08"
"DRX-0114","CARNELIAN","REJECT-NOT-THE-STONE","P332830","36","gug","{na4}lagab gug","SRC-103","2026-09-08"
"DRX-0115","CARNELIAN","REJECT-NOT-THE-STONE","P332830","37","gug","{na4}ellag gug","SRC-103","2026-09-08"
"DRX-0116","CARNELIAN","REJECT-NOT-THE-STONE","P332929","8","gug","[{na4}]kiszib gug","SRC-103","2026-09-08"
"DRX-0117","CARNELIAN","REJECT-NOT-THE-STONE","P332929","9","gug","[{na4}]lagab gug","SRC-103","2026-09-08"
"DRX-0118","CARNELIAN","REJECT-NOT-THE-STONE","P332929","10","gug","[{na4}]ellag2 gug","SRC-103","2026-09-08"
"DRX-0119","CARNELIAN","REJECT-NOT-THE-STONE","P343748","5","gug","erim2-sze3 gug sar ak","SRC-103","2026-09-08"
"DRX-0120","CARNELIAN","REJECT-NOT-THE-STONE","P348413","27","gug","{na4}kiszib gug","SRC-103","2026-09-08"
"DRX-0121","CARNELIAN","REJECT-NOT-THE-STONE","P348413","28","gug","{na4}lagab!(PU2) gug","SRC-103","2026-09-08"
"DRX-0122","CARNELIAN","REJECT-NOT-THE-STONE","P348413","29","gug","{na4}ellag2 gug","SRC-103","2026-09-08"
"DRX-0123","CARNELIAN","REJECT-NOT-THE-STONE","P375994","1","gug","7(disz) {na4}za-bir! gug babbar","SRC-103","2026-09-08"
"DRX-0124","CARNELIAN","REJECT-NOT-THE-STONE","P380502","5","gug","2(disz) ma-na gug","SRC-103","2026-09-08"
"DRX-0125","CARNELIAN","REJECT-NOT-THE-STONE","P429779","158","gug","mitum-gu10-u3 ur zu2 ses-a-gin7 gug hu-mu-u3-ra-ra-ra","SRC-103","2026-09-08"
"DRX-0126","CARNELIAN","REJECT-NOT-THE-STONE","P429779","189","gug","ma-sa2-tum-gu10-u3 sag kalam-ma-ka gug sar ha-mu-u3-ak-ke4","SRC-103","2026-09-08"
"DRX-0127","CARNELIAN","REJECT-NOT-THE-STONE","P431881","443","gug","gug gi-rin-e me-luh-ha-ta","SRC-103","2026-09-08"
"DRX-0128","CARNELIAN","REJECT-NOT-THE-STONE","P431882","57","gug","gu3-de2-a gug za-gin3 mi-ni-uh","SRC-103","2026-09-08"
"DRX-0129","CARNELIAN","REJECT-NOT-THE-STONE","P431882","328","gug","uruda nagga lagab za-gin3-na ku3 NE gug gi-rin me-luh-ha-da","SRC-103","2026-09-08"
"DRX-0130","CARNELIAN","REJECT-NOT-THE-STONE","P448449","5","gug","erim2-sze3 gug sar ak","SRC-103","2026-09-08"
"DRX-0131","CARNELIAN","REJECT-NOT-THE-STONE","P478850","80","gug","3(disz)-kam-ma uga{muszen}-gin7 za-na gug im-kul-e","SRC-103","2026-09-08"
"DRX-0132","CARNELIAN","REJECT-NOT-THE-STONE","P215868","2","gug","4(u@c) gug tur-tur","SRC-103","2026-09-08"
"DRX-0133","CARNELIAN","REJECT-NOT-THE-STONE","P214862","3","gug","2(asz@c) gug ku3-sig17 an-si gu2","SRC-103","2026-09-08"
"DRX-0134","CARNELIAN","REJECT-NOT-THE-STONE","P214862","10","gug","[n(asz@c)] bu gug","SRC-103","2026-09-08"
"DRX-0135","CARNELIAN","REJECT-NOT-THE-STONE","P479873","12","gug","u4 ka sza-an-sza-sza ah6 x x x-ba gug sar ak","SRC-103","2026-09-08"
"DRX-0136","CARNELIAN","REJECT-NOT-THE-STONE","P478977","54","gug","gug-ni gug ur tur-ra-ke4 du14 ga-nam mu-da-mu2","SRC-103","2026-09-08"
"DRX-0137","CARNELIAN","REJECT-NOT-THE-STONE","P478977","94","gug","gug-a-ni gug ur tur-ra-ke4 lu2 har-ra-an gig-ga-ke4","SRC-103","2026-09-08"
"DRX-0138","CARNELIAN","REJECT-NOT-THE-STONE","P478905","3","gug","amar gug hi-li szu tag-ga su3-ra2-ag2 [...]","SRC-103","2026-09-08"
"DRX-0139","CARNELIAN","REJECT-NOT-THE-STONE","P478911","51","gug","muszen {na4}gug-ta gug {na4}za-gin3-ta za-gin3","SRC-103","2026-09-08"
"DRX-0140","CARNELIAN","REJECT-NOT-THE-STONE","P348744","33'","gug","_DISZ gug diri_-ma#? [...]","SRC-103","2026-09-08"
"DRX-0141","CARNELIAN","REJECT-NOT-THE-STONE","P394629","21","gug","_DISZ gug sa5_-ma 1(disz) _sig2 [e3_ ...]","SRC-103","2026-09-08"
"DRX-0142","CARNELIAN","REJECT-NOT-THE-STONE","P285438","2","gug","_[{na4}{d}lamma] ku3#-babbar ku3-sig17 gug za-gin3 nir2 duh-szi-a_","SRC-103","2026-09-08"
"DRX-0143","CARNELIAN","REJECT-NOT-THE-STONE","P285438","10","gug","_{na4}dag#-gaz# duh-szi-a musz-gir2 babbar-dili gug gug-zu2_","SRC-103","2026-09-08"
"DRX-0144","CARNELIAN","REJECT-NOT-THE-STONE","P285438","13","gug","_{na4}amasz-pa-e3 gug nir2 dur2-mi-na asz-gi3-gi3 za-gin3 babbar-dili_","SRC-103","2026-09-08"
"DRX-0145","CARNELIAN","REJECT-NOT-THE-STONE","P285438","15","gug","{na4}su-u _nig2#-bur3-bur3 gug gazi{sar}_","SRC-103","2026-09-08"
"DRX-0146","CARNELIAN","REJECT-NOT-THE-STONE","P285438","13","gug","_{na4}zu2 sig7_ asz-pu-u _{d}lamma gug gazi#{sar}_","SRC-103","2026-09-08"
"DRX-0147","CARNELIAN","REJECT-NOT-THE-STONE","P285447","8'","gug","_an-bar gug 7(disz) na4-mesz silim_ {d}e2-a","SRC-103","2026-09-08"
"DRX-0148","CARNELIAN","REJECT-NOT-THE-STONE","P285447","26'","gug","su-u _nig2-bur3-bur3 gug gazi{sar}_ 3(disz) ne2-me-di ha-a-a-tu2","SRC-103","2026-09-08"
"DRX-0149","CARNELIAN","REJECT-NOT-THE-STONE","P285447","10","gug","_ku3-babbar ku3-sig17 gug za-gin3 pa_","SRC-103","2026-09-08"
"DRX-0150","CARNELIAN","REJECT-NOT-THE-STONE","P285447","13","gug","_musz-gir2 gug hi-li-ba_ ug-gun3-nu","SRC-103","2026-09-08"
"DRX-0151","CARNELIAN","REJECT-NOT-THE-STONE","P285447","15","gug","_{na4}amasz-mu2-a hi-li-ba gug gazi{sar}_","SRC-103","2026-09-08"
"DRX-0152","CARNELIAN","REJECT-NOT-THE-STONE","P285447","19","gug","_duh-szi-a gug za-gin3 za-gin3-duru5 igi musz nir2_","SRC-103","2026-09-08"
"DRX-0153","CARNELIAN","REJECT-NOT-THE-STONE","P285447","22","gug","_nir2 za-gin3 gug sag-kal_ zib-tu2 _babbar-dili hi-li-ba_","SRC-103","2026-09-08"
"DRX-0154","CARNELIAN","REJECT-NOT-THE-STONE","P513416","5'","gug","1(disz) gug ze2 ku3-sig17","SRC-103","2026-09-08"
"DRX-0155","CARNELIAN","REJECT-NOT-THE-STONE","P404959","37","gug","tu-ub!-bal! i-na u2 gug _gaz_","SRC-103","2026-09-08"
"DRX-0156","CARNELIAN","REJECT-NOT-THE-STONE","P285333","9","gug!","[...] _u3 gug! nu# [zu]_","SRC-103","2026-09-08"
"DRX-0157","CARNELIAN","REJECT-NOT-THE-STONE","P216977","2'","gug#","1(u) 6(asz@c) gug# [...]","SRC-103","2026-09-08"
"DRX-0158","CARNELIAN","REJECT-NOT-THE-STONE","P217787","1","gug#","1(u@c) 1(asz@c) gin2 la2 igi 6(disz)-gal2 gug#","SRC-103","2026-09-08"
"DRX-0159","CARNELIAN","REJECT-NOT-THE-STONE","P285443","15","gug#","[x x x] _za-gin3_ [x x x x] _musz#-gir2 gug# asz#-gi3#-gi3#_","SRC-103","2026-09-08"
"DRX-0160","CARNELIAN","REJECT-NOT-THE-STONE","P285447","5'","gug#","_za-gin3 gug# zalag2 an-bar_ asz-pu-u _babbar-dili_ ab3-asz-mu","SRC-103","2026-09-08"
"DRX-0161","CARNELIAN","REJECT-NOT-THE-STONE","P227750","9'","gug#-[...]","udu gug#-[...] nud","SRC-103","2026-09-08"
"DRX-0162","CARNELIAN","REJECT-NOT-THE-STONE","P262629","5","gug#-|KAxERIN2|-na2","gug#-|KAxERIN2|-na2","SRC-103","2026-09-08"
"DRX-0163","CARNELIAN","REJECT-NOT-THE-STONE","P285431","2","gug#_","_{na4}babbar-dili gug#_ [...]","SRC-103","2026-09-08"
"DRX-0164","CARNELIAN","REJECT-NOT-THE-STONE","P285438","22","gug#_","[{na4}a]-lal#-lu sa-a-bu _an-zah gug#_ me-luh-ha","SRC-103","2026-09-08"
"DRX-0165","CARNELIAN","REJECT-NOT-THE-STONE","P285443","13'","gug#_","_{na4}szuba nigin za-gin3 pa gug#_","SRC-103","2026-09-08"
