"claim_id","claim","evidence_status","source_id","locator","retrieval_date","supports_page","notes","interpretive_status","editorial_status","publication_status","status_reason","superseded_by"
"IH-013","Three Vedic word-totals are in circulation - 700,000, 660,000 and 840,248 - possibly for different text sets, and no page may carry a Vedic total until reconciled from gret_scan.json.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L59","","","CORRECTION C-02, status still OPEN. Rule from VELI-03 section 1 and VELI-04 1.8. Recurs as contradiction X-04 and work item 16.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-014","Standard GRETIL Brhadaranyaka bundles Sankara's 8th-century commentary (85,467 words against ~17,091 of text), contaminating all frequency counts on that file; fixed by using Satapatha kanda 14 as the commentary-free text (bu_clean.txt).","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L61","","","CORRECTION C-03. Rule produced: primary-text-only versions for every Upanisad count. Chandogya commentary-free version still NOT FOUND (VELI-03 section 9). Same finding recorded as V-07.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-015","River-page lemma counts Vipas 52 and Rasa 78 were false matches from stem search catching vipascit and unrelated lemmas; the correct counts are 3 and 10, and Parusni (Ravi) and Asikni (Chenab) are absent from the VedaWeb lemmatisation entirely.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L63","","","CORRECTION C-04. Rule produced: exact lemma forms; state data-source gaps on the page. Corrected counts recorded as V-09. Handoff notes the absence is a data-source gap, not a gap in the text.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-016","The river page claimed 'the rivers of eastern Afghanistan - Kabul, Kurram, Gomal - are in the Archaic stratum... The corpus knows Afghanistan before it knows the Ganges'; re-counting by book reversed it - Kubha 2, Krumu 2, Gomati 2, Suvastu 1, every occurrence in Books 5, 8 or 10, the late books.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L65","","","CORRECTION C-05, the Rigvedic stratification overreach named in the Rules message. REJECTED as R-02. Claude's admission quoted: 'strata and book order disagree, and I reported only the reading that suited the argument.' Owner correction recorded in VELI-04 Part C. Rules produced: metrical stratum and book order are two instruments, privilege neither silently; a directional claim on one instrument alone is overreach; check new claims against the platform's own pages first (Standing Order 6).","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-017","The corrected picture is that the Rigvedic world is the Indus and the Sarasvati and everything else is a mention - Sindhu 204, Sarasvati ~75, Ganga 1 (Book 10).","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L65","","","Replacement claim for C-05/R-02. Handoff marks all three counts NEEDS-CHECK: a lemma-verified re-run is owed (VELI-03 section 2, work item 18).","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-018","Meta-commentary addressed to the owner or narrating Claude's process - such as the sentence 'that reverses what I said last turn' - must appear nowhere on the site; corrections go in a corrections log, not in page copy.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L67","","","CORRECTION C-06. Rule from VELI-01 section 3.8, principle 22. Same defect class recurs as C-38 (drafting residue addressing a 'you' in RIGVEDA_corpus_analysis.md).","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-019","Leading with varna as 'the colour of a dawn' is the wrong emphasis: varna means colour, the social order is named after it, and the one human application in the Rigveda divides arya from the people they fought.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L69","","","CORRECTION C-07, recorded in VELI-04 Part C as the paradigm case of the failure mode. REJECTED as R-03 by the owner. Rule produced: both halves in the same breath, the indictment first, nuance after, never as a replacement. The colour-count done right is still OPEN (WORKLIST 1.3).","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-020","The formulation 'every demon is somebody's local enemy' omits that the composers are the incomers and the named enemies (Sambara, Pipru, Cumuri - names Sanskrit cannot parse) are the people already there, holding forts, grain, wives and sons.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L71","","","CORRECTION C-08. REJECTED as R-04 by the owner. Landing corrected in T1; the-killed.html h1 corrected 1 Sep in T2. Rule produced: state the direction plainly, intrusive vs indigenous, when the evidence supports it (anti-deflection law).","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-021","Kuyava as 'bad barley' is unsupported: a collocation run shows kuyava has zero co-occurrence with barley, field or cultivation in the Rigveda, and DEDR 1762 kuyavan 'potter' is a live candidate that had been wrongly foreclosed.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L73","","","CORRECTION C-09. REJECTED as R-06 by collocation evidence. Rule produced (principle 16): collocation evidence overrides etymological guesses. Owner also challenged the dismissal of campa/campai for Sambara - status recorded as lexical match without regular correspondences, not an etymology. the-names.html h1 still listed as a live self-contradiction in VELI-02 section 5; handoff marks 'verify whether the 1 Sep fixes closed it' as unconfirmed.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-022","Sanskrit phonotactics cannot be used to exclude Dravidian origins for enemy names, because Sanskrit nativisation destroys the test and initial c- does drop in Dravidian (DEDR 2529, cintam ~ intam).","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L75","","","CORRECTION C-10, owner's correction. REJECTED as R-07. Rule produced (principle 12): phonotactic tests are invalid for substrate origin. The one negative result that survives is Pipru - no DEDR match from two independent directions.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-023","Using the Buddhist/Jain attestation of the script name Brahmi to argue it 'is not from brahmins' obscures that the word is morphologically the feminine of brahman.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L77","","","CORRECTION C-11. REJECTED as R-05 by the owner. Rule produced (anti-deflection law section 3): attestation, derivation and meaning are three different things - give all three when they diverge. brahmi.html fixed 1 Sep; the index-card-vs-page contradiction was still listed in VELI-02 section 5 and the handoff marks it 'verify closed' - unconfirmed.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-024","Preprint v1 of the AHG ancestry paper had all three clauses (highest in the South, higher among Dravidian speakers, highest in SC/ST/OBC) inverted relative to the published version.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L79","","","CORRECTION C-12. Rule produced (principle 18, Standing Order 5): version-pin every citation, cite the published paper, record that v1 was wrong. The Vellalar AHG figure is NOT OBTAINED - the handoff instructs that no number be stated (VELI-03 section 4); also on the HOLD list.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-025","Several genetics claims were made from a secondary summary and were wrong; the rule produced is to go to the paper and the supplementary tables.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L81","","","CORRECTION C-13, principle 19. Bears on P-01 to P-04, which the handoff records as reached via deck quotations and summaries.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-026","Admixture dates are lower bounds on arrival, not arrival dates; movement dates must be tight and sourced (~1900-1500 BCE by admixture dating) and never widened toward 'slow diffusion'.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L83","","","CORRECTION C-14, corrected to principle 11, with the addition from VELI-03 section 3.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-027","Calling enemy names 'indigenous' is too strong; the correct formulations are 'of undetermined origin' or 'no accepted derivation', and 'earliest attested as' never 'originates in'.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L85","","","CORRECTION C-15, principles 14-15. REJECTED as R-08 by the owner.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-028","The deck-gap analysis Part 3 applied doubt in one direction only; the owner's instruction was that the INDUSVALLI deck is not to be taken at face value, that objections to the platform's own data be checked for bias too, that the deck is a starting point, that most Claude-built pages still need a fine-toothed cross-check, that publication does not stop meanwhile, and that lack of evidence can mean evidence was controlled or destroyed.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L87","","","CORRECTION C-16 umbrella, T1 turn 387-388, recorded as owner instruction verbatim in substance. Also recorded as owner decision HD-13. Handoff notes at X-19 that the batch-16 sweep did not discharge this instruction.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-029","Rakhigarhi is not one individual: Narasimhan et al. (deck p.125) record eleven Indus-Periphery outliers from Gonur and Shahr-i-Sokhta forming a cline of which I6113 is part - twelve individuals on a cline - attested again a millennium later in Swat.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L88","","","CORRECTION C-16 6.1. REJECTED as R-09: Claude had written 'the sample is ONE individual, I6113', and the handoff records that Claude's caution understated a well-supported finding. Action: steppe.html and endogamy-clock.html must not say 'one individual'. Marked 'Verify done' - section 12 lists this among the items whose completion could not be confirmed.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-030","Deck p.23 records DNA overlap with the Irula and p.317 records Irula as a late branch from Tamil; the tension is evidence that language and ancestry move independently.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L89","","","CORRECTION C-16 6.2. Action recorded: check exact wording in Shinde et al. 2019 before publishing - status HELD. Recurs as work item 42 and in the section 8 HELD register.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-031","On Brahui the burden of proof was inverted: late migration requires an undocumented ~1,500 km movement with no trace, while the relict hypothesis requires only that a language island survived a surrounding shift, which is ordinary; both remain live and late-migration carries the heavier burden, which it has not discharged.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L90","","","CORRECTION C-16 6.3. REJECTED as R-10: Elfenbein's late-migration hypothesis had been presented as the correction to a 'contested' claim. Deck p.317 (Tulu-Brahui affinity) is what relict predicts. Corresponding hypothesis row H-01.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-032","For every objection the four tests are: what it requires to be true, who holds it and at what cost, whether it is evidence or absence-of-evidence, and whether the corpus needed to settle it has been assembled and funded.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L92","","","CORRECTION C-16 6.5, the standing rule. Written into MELA_KEELA_INSTRUCTIONS.md as B.11 (symmetry of skepticism), B.12 (controlled absence - a gap permits agnosticism, not invention), B.13 (the deck is a question list), B.14 (page provenance stated plainly). Carried into standing rules 6 and 7.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-033","Presenting Witzel's Para-Munda as 'the honest counter you should know about' alongside Dravidian treated an attested family and an unattested hypothetical donor as equally standing, and failed the geography gate: Munda's attested range is eastern and central India.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L94-L95","","","CORRECTION C-17, first failure (T1, early), reconstructed - the 6 Sep articulation was not retrievable. Violates Rule 5 (space follows evidence) and Rule 4 (chronology and geography are gates). Corresponding hypothesis row H-03.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-034","Claude then argued the opposite asymmetry - that Para-Munda requires a population movement no less speculative than the one Brahui is faulted for, one being career-safe and the other coded as political - and proposed a page 'Who gets to be speculative' with the citation history as evidence, but no citation history was assembled.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L96","","","CORRECTION C-17, second failure. The page concept rests on an unexecuted search (C-25). Corresponding hypothesis H-10, which the handoff bars from being built until the record is compiled; also on the HOLD list and work item 41.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-035","Claude correctly refused to speculate about Witzel's funding or motives, stating 'I have no evidence about his funding or motives, and inventing some would wreck the credibility of everything else'; the batch-5 rule (VELI-09 section J) is to judge sources by venue, method, reception and declared funding, never by author identity or perceived alignment.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L97","","","CORRECTION C-17, third element. REJECTED as R-11: speculation about Witzel's funding/motives. Handoff records both the refusal and the rule as standing, and applies Rule 6 and the batch-6 rule to Witzel exactly as to Sequeira and Pathak.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-036","Para-Munda earns a brief historical note with its evidential burden stated (unattested; prefix-segmentation disputed; geographic gate unmet in the northwest), not equal analytical space with Dravidian; Dravidian-as-Indus-language is the strongest single contender and is not proven; Masica's 'Language X' is Indus/NW-specific; and prefixing morphology in early Indo-Aryan is a real observation requiring explanation that must not be dismissed because its best-known proponent is disliked.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L98","","","CORRECTION C-17, correct handling going forward. Ties to H-02, H-03, R-14 and PENDING-RULE 15. The prefixing observation is explicitly protected from ad hominem dismissal.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-037","Every Witzel position on the platform is second-hand: Para-Munda as the Indus language via INDUSVALLI deck p.294; 'Witzel now keeps the question open' via Witzel 2019 cited through Mukhopadhyay 2021; substrate word-lists on who-had-it-first.html credited in a footer to Kuiper 1991 and Witzel's substrate papers with no locator and no direct access recorded; and Farmer-Sproat-Witzel 2004 and Rao et al. 2009 named but not accessed.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L100-L105","","","CORRECTION C-18, reconstructed. Under Rule 7 every Witzel-dependent claim is HELD until Witzel 1999 'Substrate Languages in Old Indo-Aryan' and Witzel 2019 are read directly; the same applies to Kuiper 1991 and Mayrhofer EWAia, which carry the substrate lists. Recurs as work item 40 and in the section 8 HELD register.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-038","On the two-classical-languages page: vowel-writing was not a Greek invention (Linear B syllabary, Ugaritic and Phrygian are contemporaneous); the shared Achaemenid state must be on the page (Ionia from 547/546, Gandhara and Hindush from c. 518, Scylax c. 515, Indian troops at Plataea 480-479); and Greek philosophy does not begin '200 years after' writing returns.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L107","","","CORRECTION C-19, owner's corrections. REJECTED as R-26 ('200 years after') and R-27 (vowel-writing as a Greek invention). Claude accepted the first two; on the arithmetic held at ~140 years (attested writing c. 740 BCE, Thales c. 600) while conceding that Greek literature begins at the moment of the Near Eastern import. The owner's 'within 50 years' figure was not adopted. The 140-year figure is CLAUDE-ORIGIN and the handoff says to check it against a named chronology.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-039","The owner's broader request - coverage of how Europe claimed foreign concepts as Greek, in chronological order, and of the Gandhari scrolls as the oldest manuscripts - was only partially built and is to be treated as OPEN content.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L107","","","Second element of C-19. Status OPEN.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-040","The owner's brief named Sadhguru and Nithyananda for the godman-economy page, but Claude did not name them with allegations, naming only the convicted (Asaram, Ram Rahim) as court record.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L109","","","CORRECTION C-20. REJECTED as R-22: naming Sadhguru/Nithyananda with allegations. Rule (VELI-09 section S): anti-deflection and anti-defamation together; living figures only on the record. Accepted by the owner - recorded as HD-16, settled by acquiescence.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-041","Claude bundled deployment config the owner had not asked for in a site zip; the owner's instruction is files only on request.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L111","","","CORRECTION C-21 (T2). Owner instruction recorded as HD-12 and as standing rule 21.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-042","A cross-link was written from memory to one-buys-immortality.html, which does not exist; the real page is the-firms.html.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L113","","","CORRECTION C-22. Rule produced: run the cross-link check before every ship; never reference a page from memory. Carried into standing rule 20.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-043","Claude assumed the working container was wiped and 78 files lost; what actually happened was a context compaction, with files intact and hash-verified.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L117","","","CORRECTION C-23 (T2). SUPERSEDED as S-02. Written into VELI-00 with explicit language; the handoff instructs 'do not repeat'. Carried into standing rule 22.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-044","Batch 5 labelled Sequeira Koraga 2024 a preprint and vouched for Pathak as 'not Hindutva' without checking; batch 6 established that Sequeira is peer-reviewed (EJHG, Nature Portfolio, 24 Oct 2025, DOI 10.1038/s41431-025-01963-1, co-author van Driem) with funding UNVERIFIED, and that Pathak (L1-M22, iScience) and Narayan (Mother Tongue) remain UNVERIFIED and must not be defended.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L119","","","CORRECTION C-24. SUPERSEDED as S-09 (preprint to published) and S-14 (batch-5 vouching to batch-6 funding-unverified flags). Rule: verify venue, peer-review status, reception, co-authors and funding before vouching; where funding is unverified, say so. Carried into standing rule 10.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-045","Searches were repeatedly named as owed and then pages built without them; recorded instances are Ali et al. 2014 team standing, east-vs-south excavation coverage and the Pataliputra-Patna toponym, the sramana-roots search, Damdama/Mahadaha absolute dates, the Indus death-rites to megalith to tribal correlation, ashmound global uniqueness, ASI vs AASI precision for the deep south, the r/l and v/y eastern-Prakrit substrate, the jati-etymology Scite verification, the Mahabharata varna-mobility lead, Reich quotes and timeline, Kerdoncuff et al. 2024 publication status, and the Witzel citation history.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L121-L132","","","CORRECTION C-25, reconstructed as a pattern. Rule: a search named as owed is a dependency, and a page whose load-bearing claim depends on it is INCOMPLETE, not built; record each as NOT FOUND IN THIS SEARCH until run. PENDING-RULE 19 requires the deep-history searches be run before contested claims are published. before-the-indus.html was built and later had its headline downgraded (C-31). The varna-mobility lead was sourced only from Quora and wisdomlib and correctly flagged do-not-assert. Expanded as work items 30-41.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-046","Claude built the Ledger credibility feature and then cited caste-page sources without auditing them, leaving Kabir Babu 2016 (Caderno de Relacoes Internacionais, off-field, no findable footprint), Choudhury 2021 (MDPI preprint) and Kumar & Choudhury 2020 (Cogent) visibly carrying claims that Aktor, Davis, Olivelle, Beteille and the corpus actually support.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L134","","","CORRECTION C-26, caught by the owner. REJECTED as R-20. SUPERSEDED as S-13: audit-after-build replaced by audit-first workflow. Rule: strong claims rest on strong sources; weak sources demoted to corroboration or dropped. Re-attribution on birth-was-not-always-destiny.html and jatization.html was owed next pass and marked 'verify done' - section 12 lists it among the unconfirmed items. Also recorded as owner decision HD-17 and work item 49.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-047","The older-pages audit flagged 33 NO-SRC pages and several overclaim pages, but on reading nearly all were false positives - corpus-anchored pages and quotations of primary texts.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L136","","","CORRECTION C-27 (VELI-09 section X). Rule: read the flag in context; the corpus count is the platform's strongest evidence type, not a citation gap. Carried into standing rule 13.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-048","Claude's running page tally drifted by +1 and was corrected to ls-verified counts only.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L138","","","CORRECTION C-28 (VELI-09 sections T, U). Rule: report ls counts, never a running tally. Carried into standing rule 14 together with C-34.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-049","A 'Verified - scite' badge is not a verification record; it was replaced on three pages with a .cite block giving full bibliography, DOI link, primary/secondary, locus, method, supports and does-not-support.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L140","","","CORRECTION C-29 (VELI-09 section AB, external review). REJECTED as R-21. The retrofit across the other ~80 pages is recorded as owed - work item 48. Carried into standing rule 15.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-050","Patwardhan, cited on the-medicine-question.html, is National Research Professor-AYUSH and a ministry adviser - credible and writing from within the project of legitimising Ayurveda - and was flagged rather than presented as disinterested.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L142","","","CORRECTION C-30, the owner's catch, section AB. Rule 6 applied to a living author. Carried into standing rule 16 (interest disclosure).","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-051","Six headlines overstated in the platform's own direction and were corrected: before-the-indus ('20,000 years older than the Vedas' to 'a proposed Palaeolithic shrine' with an evidence panel and no directly datable material at the feature), the-vedda ('here first... called a dialect until it died' qualified), one-verse ('caste system appears exactly once' to 'the explicit fourfold varna scheme appears together in one verse'), what-travelled twice (Bali developed hereditary status with Sanskrit categories; much of contemporary practice is not Vedic in form), and coverage ('every gap is a funding decision' to 'many gaps follow the money').","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L144","","","CORRECTION C-31, Claude's own overstatements, section AB. REJECTED as R-19. Anti-deflection law section 5 and Rule 16 both apply. Carried into standing rule 17: check the headline for overclaim in the platform's own direction as rigorously as for deflection.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-052","RIGVEDA_corpus_analysis.md and MELUHHA_TO_KEEZHADI_synthesis.md were referenced by enter.html but absent from the zip because only *.html was zipped; the fix brought the zip to 95 files.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L146","","","CORRECTION C-32, the packaging bug. The handoff identifies this as the same defect T3 saw live as two 404s, and records that the fix in the zip must still be confirmed on the deployed site - work item 5.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-053","Making Melakeela primary would reverse PENDING-RULE 18; Claude stopped and named the settled decision before building, and the owner held the question open.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L148","","","CORRECTION C-33, an instance of Standing Order 1 working. The open question is HD-14; SUPERSEDED chain S-03 to S-04.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-054","Claude's T4 report used the Research Index's own '102 content pages'; on the owner's challenge Claude counted the entries (25 + 16 + 29 + 20 + 18 + 19) and got 127, or ~135 including excluded routes and .md files, revising the effort estimate to 22-36 person-months and the disclosure share to 44% (56 of ~127).","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L152","","","CORRECTION C-34. Claude named it as the same error it had just criticised in the site. Rule 14 applies to Claude's own reports. Recorded as V-21; contested in X-02; earlier 55% figure superseded by 44%.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
"IH-055","The live-site Danino page folds the 11 March 2026 Supreme Court direction concerning Michel Danino into a migration-denial narrative, but per the T4 assessment the direction concerned an NCERT Class 8 judiciary chapter and was modified in late May 2026.","INHERITED-UNVERIFIED","","01-INHERITED/claude-project-handoff.md L154","","","CORRECTION C-35, status HELD. The handoff requires the order and its modification be read directly before the page is corrected, noting the assessment's characterisation is itself secondary. Recorded as P-26 and work item 29; also in the section 8 HELD register.","UNASSIGNED","UNASSIGNED","UNASSIGNED","",""
