"join_id","claim_id","register","source_id","source_ordinal_in_cell","evidence_role","locator","locator_basis","independence_group","notes"
"CS-00011","DEDR-L-001","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-060","1","REFERENCE-WORK-DERIVATIVE","moli-mandala/data @ dbae310; wc -l on both files; dedr.csv sha256 1d91f819b9af2c530ba6688a089a775d4bd6bcaa7c8e30e90dacdcce3758943e, matching the value recorded under SRC-061","row-locator","IG-047",""
"CS-00012","DEDR-L-001","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-061","2","REFERENCE-WORK-DERIVATIVE","moli-mandala/data @ dbae310; wc -l on both files; dedr.csv sha256 1d91f819b9af2c530ba6688a089a775d4bd6bcaa7c8e30e90dacdcce3758943e, matching the value recorded under SRC-061","row-locator","IG-066",""
"CS-00013","DEDR-L-001","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-087","3","ANALYTICAL-LAYER","moli-mandala/data @ dbae310; wc -l on both files; dedr.csv sha256 1d91f819b9af2c530ba6688a089a775d4bd6bcaa7c8e30e90dacdcce3758943e, matching the value recorded under SRC-061","row-locator","IG-066",""
"CS-00014","DEDR-L-002","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-087","1","ANALYTICAL-LAYER","JAMBU README lines 135 and 137; data/dedr/parse.py lines 36 (TOTAL_PAGES = 514), 173 (burrow_query.py) and 155 (output dedr_new.csv)","row-locator","IG-066",""
"CS-00015","DEDR-L-003","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-060","1","REFERENCE-WORK-DERIVATIVE","04-AUDITS/dedr-lineage-check.py, output 04-AUDITS/dedr-lineage-check.csv; same 18-language mapping and same method as 04-AUDITS/domain-e-dedr-digitisation-check.py","row-locator","IG-047",""
"CS-00016","DEDR-L-003","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-061","2","REFERENCE-WORK-DERIVATIVE","04-AUDITS/dedr-lineage-check.py, output 04-AUDITS/dedr-lineage-check.csv; same 18-language mapping and same method as 04-AUDITS/domain-e-dedr-digitisation-check.py","row-locator","IG-066",""
"CS-00017","DEDR-L-003","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-087","3","ANALYTICAL-LAYER","04-AUDITS/dedr-lineage-check.py, output 04-AUDITS/dedr-lineage-check.csv; same 18-language mapping and same method as 04-AUDITS/domain-e-dedr-digitisation-check.py","row-locator","IG-066",""
"CS-00018","DEDR-L-004","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-060","1","REFERENCE-WORK-DERIVATIVE","04-AUDITS/dedr-lineage-check.py; the site figures are as recorded in 04-AUDITS/domain-e-dedr-digitisation-check.csv, last row","row-locator","IG-047",""
"CS-00019","DEDR-L-004","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-061","2","REFERENCE-WORK-DERIVATIVE","04-AUDITS/dedr-lineage-check.py; the site figures are as recorded in 04-AUDITS/domain-e-dedr-digitisation-check.csv, last row","row-locator","IG-066",""
"CS-00020","DEDR-L-004","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-087","3","ANALYTICAL-LAYER","04-AUDITS/dedr-lineage-check.py; the site figures are as recorded in 04-AUDITS/domain-e-dedr-digitisation-check.csv, last row","row-locator","IG-066",""
"CS-00021","DEDR-L-005","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-086","1","SELF-AUDIT","02-SOURCES/access-ledger.csv SRC-088, access_status UNTESTED, probe_utc and probe_call both empty; 02-SOURCES/dependency.csv DEP-026. Evidenced by the repository self-audit SRC-086, which is what was actually retrieved.","row-locator","IG-065",""
"CS-00022","DEDR-L-007","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-060","1","REFERENCE-WORK-DERIVATIVE","04-AUDITS/dedr-lineage-check.csv, row Brahui: 1 dedr.csv-only, 5 dedr_new.csv-only, 268 shared of 274; IC-E-002 for the 8.2%","row-locator","IG-047",""
"CS-00023","DEDR-L-007","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-061","2","REFERENCE-WORK-DERIVATIVE","04-AUDITS/dedr-lineage-check.csv, row Brahui: 1 dedr.csv-only, 5 dedr_new.csv-only, 268 shared of 274; IC-E-002 for the 8.2%","row-locator","IG-066",""
"CS-00024","DEDR-L-007","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-087","3","ANALYTICAL-LAYER","04-AUDITS/dedr-lineage-check.csv, row Brahui: 1 dedr.csv-only, 5 dedr_new.csv-only, 268 shared of 274; IC-E-002 for the 8.2%","row-locator","IG-066",""
"CS-00025","DEDR-L-008","03-REGISTERS/dedr-digitisation-lineage.csv","SRC-086","1","SELF-AUDIT","repository self-audit: no dedr_roots.json in the tree, and no row in 02-SOURCES/access-ledger.csv names it; 04-AUDITS/domain-e-dedr-digitisation-check.py defaults its SITE argument to /home/user/site/dedr_roots.json, a path outside this repository","row-locator","IG-065",""
"CS-00026","DE-CAND-001","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-001","row-reference-only","IG-066",""
"CS-00027","DE-CAND-001","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-001","row-reference-only","IG-041",""
"CS-00028","DE-CAND-001","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-001","row-reference-only","IG-041",""
"CS-00029","DE-CAND-001","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-001","row-reference-only","IG-041",""
"CS-00030","DE-CAND-002","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-002","row-reference-only","IG-066",""
"CS-00031","DE-CAND-002","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-002","row-reference-only","IG-041",""
"CS-00032","DE-CAND-002","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-002","row-reference-only","IG-041",""
"CS-00033","DE-CAND-002","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-002","row-reference-only","IG-041",""
"CS-00034","DE-CAND-003","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-003","row-reference-only","IG-066",""
"CS-00035","DE-CAND-003","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-003","row-reference-only","IG-041",""
"CS-00036","DE-CAND-003","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-003","row-reference-only","IG-041",""
"CS-00037","DE-CAND-003","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-003","row-reference-only","IG-041",""
"CS-00038","DE-CAND-004","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-004","row-reference-only","IG-066",""
"CS-00039","DE-CAND-004","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-004","row-reference-only","IG-041",""
"CS-00040","DE-CAND-004","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-004","row-reference-only","IG-041",""
"CS-00041","DE-CAND-004","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-004","row-reference-only","IG-041",""
"CS-00042","DE-CAND-005","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-005","row-reference-only","IG-066",""
"CS-00043","DE-CAND-005","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-005","row-reference-only","IG-041",""
"CS-00044","DE-CAND-005","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-005","row-reference-only","IG-041",""
"CS-00045","DE-CAND-005","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-005","row-reference-only","IG-041",""
"CS-00046","DE-CAND-006","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-006","row-reference-only","IG-066",""
"CS-00047","DE-CAND-006","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-006","row-reference-only","IG-041",""
"CS-00048","DE-CAND-006","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-006","row-reference-only","IG-041",""
"CS-00049","DE-CAND-006","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-006","row-reference-only","IG-041",""
"CS-00050","DE-CAND-007","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-007","row-reference-only","IG-066",""
"CS-00051","DE-CAND-007","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-007","row-reference-only","IG-041",""
"CS-00052","DE-CAND-007","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-007","row-reference-only","IG-041",""
"CS-00053","DE-CAND-007","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-007","row-reference-only","IG-041",""
"CS-00054","DE-CAND-008","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-008","row-reference-only","IG-066",""
"CS-00055","DE-CAND-008","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-008","row-reference-only","IG-041",""
"CS-00056","DE-CAND-008","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-008","row-reference-only","IG-041",""
"CS-00057","DE-CAND-008","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-008","row-reference-only","IG-041",""
"CS-00058","DE-CAND-009","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-009","row-reference-only","IG-066",""
"CS-00059","DE-CAND-009","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-009","row-reference-only","IG-041",""
"CS-00060","DE-CAND-009","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-009","row-reference-only","IG-041",""
"CS-00061","DE-CAND-009","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-009","row-reference-only","IG-041",""
"CS-00062","DE-CAND-010","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-010","row-reference-only","IG-066",""
"CS-00063","DE-CAND-010","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-010","row-reference-only","IG-041",""
"CS-00064","DE-CAND-010","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-010","row-reference-only","IG-041",""
"CS-00065","DE-CAND-010","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-010","row-reference-only","IG-041",""
"CS-00066","DE-CAND-011","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-011","row-reference-only","IG-066",""
"CS-00067","DE-CAND-011","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-011","row-reference-only","IG-041",""
"CS-00068","DE-CAND-011","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-011","row-reference-only","IG-041",""
"CS-00069","DE-CAND-011","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-011","row-reference-only","IG-041",""
"CS-00070","DE-CAND-012","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-012","row-reference-only","IG-066",""
"CS-00071","DE-CAND-012","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-012","row-reference-only","IG-041",""
"CS-00072","DE-CAND-012","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-012","row-reference-only","IG-041",""
"CS-00073","DE-CAND-012","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-012","row-reference-only","IG-041",""
"CS-00074","DE-CAND-013","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-013","row-reference-only","IG-066",""
"CS-00075","DE-CAND-013","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-013","row-reference-only","IG-041",""
"CS-00076","DE-CAND-013","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-013","row-reference-only","IG-041",""
"CS-00077","DE-CAND-013","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-013","row-reference-only","IG-041",""
"CS-00078","DE-CAND-014","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-014","row-reference-only","IG-066",""
"CS-00079","DE-CAND-014","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-014","row-reference-only","IG-041",""
"CS-00080","DE-CAND-014","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-014","row-reference-only","IG-041",""
"CS-00081","DE-CAND-014","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-014","row-reference-only","IG-041",""
"CS-00082","DE-CAND-015","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-015","row-reference-only","IG-066",""
"CS-00083","DE-CAND-015","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-015","row-reference-only","IG-041",""
"CS-00084","DE-CAND-015","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-015","row-reference-only","IG-041",""
"CS-00085","DE-CAND-015","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-015","row-reference-only","IG-041",""
"CS-00086","DE-CAND-016","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-016","row-reference-only","IG-066",""
"CS-00087","DE-CAND-016","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-016","row-reference-only","IG-041",""
"CS-00088","DE-CAND-016","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-016","row-reference-only","IG-041",""
"CS-00089","DE-CAND-016","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-016","row-reference-only","IG-041",""
"CS-00090","DE-CAND-017","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-017","row-reference-only","IG-066",""
"CS-00091","DE-CAND-017","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-017","row-reference-only","IG-041",""
"CS-00092","DE-CAND-017","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-017","row-reference-only","IG-041",""
"CS-00093","DE-CAND-017","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-017","row-reference-only","IG-041",""
"CS-00094","DE-CAND-018","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-018","row-reference-only","IG-066",""
"CS-00095","DE-CAND-018","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-018","row-reference-only","IG-041",""
"CS-00096","DE-CAND-018","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-018","row-reference-only","IG-041",""
"CS-00097","DE-CAND-018","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-018","row-reference-only","IG-041",""
"CS-00098","DE-CAND-019","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-019","row-reference-only","IG-066",""
"CS-00099","DE-CAND-019","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-019","row-reference-only","IG-041",""
"CS-00100","DE-CAND-019","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-019","row-reference-only","IG-041",""
"CS-00101","DE-CAND-019","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-019","row-reference-only","IG-041",""
"CS-00102","DE-CAND-020","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-020","row-reference-only","IG-066",""
"CS-00103","DE-CAND-020","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-020","row-reference-only","IG-041",""
"CS-00104","DE-CAND-020","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-020","row-reference-only","IG-041",""
"CS-00105","DE-CAND-020","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-020","row-reference-only","IG-041",""
"CS-00106","DE-CAND-021","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-021","row-reference-only","IG-066",""
"CS-00107","DE-CAND-021","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-021","row-reference-only","IG-041",""
"CS-00108","DE-CAND-021","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-021","row-reference-only","IG-041",""
"CS-00109","DE-CAND-021","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-023","4","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-021","row-reference-only","IG-041",""
"CS-00110","DE-CAND-022","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-065","1","REFERENCE-WORK-DERIVATIVE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-022","row-reference-only","IG-066",""
"CS-00111","DE-CAND-022","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-059","2","PRIMARY-SOURCE","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-022","row-reference-only","IG-041",""
"CS-00112","DE-CAND-022","03-REGISTERS/domain-e-cdial-loan-candidates.csv","SRC-022","3","ANALYTICAL-LAYER","03-REGISTERS/domain-e-cdial-loan-candidates.csv#DE-CAND-022","row-reference-only","IG-041",""
