"count_id","passage_id","stanza","numeral_lemma","numeral_surface","numeral_pada","numeral_morph","grassmann_gloss","verdict","count_of_forts","expression","nearest_pur_surface","nearest_pur_pada","nearest_pur_morph","instrument_agreement","instrument_agreement_keys","instrument_proximity","instrument_translators","instrument_translators_n","verdict_basis","instrument_override","status","source_id","locator","retrieval_date","supports_page"
"PUR-N-014","PUR-P-031","03.012.06","navatí-","navatím","a","case=ACC|gender=F|number=SG","neunzig","COUNTS-PUR","90","navatím púro dāsápatnīḥ","púraḥ","a","case=ACC|gender=F|number=PL","PARTIAL(case,gender)","case,gender,number","same-pada","griffith geldner grassmann","3/4","a: 'índrāgnī navatím púro'. Adjacent; no náva in the stanza. The second bare ninety.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 03.012.06 pāda a, token navatím; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-015","PUR-P-031","03.012.06","éka-","ékena","c","case=INS|gender=N|number=SG","ein, einzig — also 'alone'; quantifier as often as count","COUNTS-OTHER","","ékena kármaṇā 'with one deed'","púraḥ","a","case=ACC|gender=F|number=PL","NONE","case,gender,number","same-stanza","griffith geldner grassmann","3/4","c: 'sākám ékena kármaṇā'. Instrumental singular with kárman-. The ninety of pāda a is the fort count.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 03.012.06 pāda c, token ékena; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-016","PUR-P-033","03.034.01","ubhá-","ubhé","d","case=ACC|gender=F|number=DU","beide — a dual quantifier, not a count of forts","COUNTS-OTHER","","ubhé ródasī 'both worlds'","pūrbhít","a","case=NOM|gender=M|number=SG","NONE","case,gender,number","same-stanza","(none)","0/4","d: 'ā́pr̥ṇad ródasī ubhé'. A dual quantifier on the two world-halves. pūrbhíd in pāda a is an epithet.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 03.034.01 pāda d, token ubhé; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-017","PUR-P-036","03.054.15","ubhá-","ubhé","b","case=ACC|gender=F|number=DU","beide — a dual quantifier, not a count of forts","COUNTS-OTHER","","ubhé ródasī 'both worlds'","puraṃdaráḥ","c","case=NOM|gender=M|number=SG","NONE","case,gender,number","same-stanza","grassmann","1/4","b: 'ubhé ā́ paprau ródasī mahitvā́'. As above; puraṁdaráḥ in pāda c is an epithet.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 03.054.15 pāda b, token ubhé; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-018","PUR-P-037","04.016.13","pañcāśát-","pañcāśát","c","case=ACC|gender=N|number=SG","fünfzig","COUNTS-OTHER","","pañcāśát … sahásrā kr̥ṣṇā́ḥ '50,000 black ones'","púraḥ","d","case=ACC|gender=F|number=PL","PARTIAL(case)","case,gender,number","same-hemistich","griffith geldner","2/4","c: 'pañcāśát kr̥ṣṇā́ ní vapaḥ sahásrā'. Griffith 'fifty thousand', Geldner 'Fünfzigtausend Schwarze'. púraḥ in pāda d is uncounted: 'átkaṁ ná púro jarimā́ ví dardaḥ', torn like a garment.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 04.016.13 pāda c, token pañcāśát; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-019","PUR-P-037","04.016.13","sahásra-","sahásrā","c","case=ACC|gender=N|number=PL","tausend","COUNTS-OTHER","","pañcāśát … sahásrā kr̥ṣṇā́ḥ","púraḥ","d","case=ACC|gender=F|number=PL","PARTIAL(case,number)","case,gender,number","same-hemistich","griffith","1/4","As above.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 04.016.13 pāda c, token sahásrā; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-020","PUR-P-038","04.026.03","náva- 1","náva","b","case=ACC|number=PL","neun","COUNTS-PUR","99","náva … navatī́ḥ","púraḥ","a","case=ACC|gender=F|number=PL","FULL","case,number","same-hemistich","griffith geldner grassmann","3/4","Second half of the same expression.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 04.026.03 pāda b, token náva; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-021","PUR-P-038","04.026.03","navatí-","navatī́ḥ","b","case=ACC|gender=F|number=PL","neunzig","COUNTS-PUR","99","náva … navatī́ḥ śámbarasya","púraḥ","a","case=ACC|gender=F|number=PL","FULL","case,gender,number","same-hemistich","griffith","1/4","a: 'ahám púro … náva sākáṁ navatī́ḥ śámbarasya'. navatī́ḥ is ACC.PL.F here and agrees with púraḥ FULLY in case, gender and number — the only such agreement in the corpus.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 04.026.03 pāda b, token navatī́ḥ; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-022","PUR-P-038","04.026.03","śatatamá-","śatatamám","c","case=ACC|gender=N|number=SG","der hundertste — ORDINAL, not a count of a set","COUNTS-SERIES-COMPLETION","100th (completes the fort series; modifies a dwelling word, not púr-)","śatatamáṁ veśyàm","púraḥ","a","case=ACC|gender=F|number=PL","PARTIAL(case)","case,gender,number","same-stanza","griffith geldner grassmann","3/4","c: 'śatatamáṁ veśyàṁ sarvátātā'. An ORDINAL completing the 99 of pāda a, and it is applied to veśyà- (dwelling/inhabitant), not to púr-. Recorded as a count because it is the 100th of the same series; the noun it modifies is not the fort word.","Verdict is reached against the instruments: agreement=PARTIAL(case), proximity=same-stanza. navatí- is a FEMININE SINGULAR collective ('a ninety') governing a plural noun, so it agrees in case and gender but never in number; a number-agreement test therefore under-reports it by construction.","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 04.026.03 pāda c, token śatatamám; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-023","PUR-P-039","04.027.01","śatá-","śatám","c","case=NOM|gender=N|number=SG","hundert","COUNTS-PUR","100","śatám … púra ā́yasīḥ","púraḥ","c","case=NOM|gender=F|number=PL","PARTIAL(case)","case,gender,number","same-pada","geldner grassmann","2/4","c: 'śatám mā púra ā́yasīr arakṣann'. The forts CONFINE the speaker rather than being stormed.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 04.027.01 pāda c, token śatám; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-024","PUR-P-041","04.030.20","śatá-","śatám","a","case=ACC|gender=N|number=SG","hundert","COUNTS-PUR","100","śatám aśmanmáyīnām purā́m","purā́m","b","case=GEN|gender=F|number=PL","NONE","case,gender,number","same-hemistich","geldner grassmann","2/4","a-b: 'śatám aśmanmáyīnām / purā́m índro vy àsyat'. Genitive plural purā́m governed by śatám.","Verdict is reached against the instruments: agreement=NONE, proximity=same-hemistich. navatí- is a FEMININE SINGULAR collective ('a ninety') governing a plural noun, so it agrees in case and gender but never in number; a number-agreement test therefore under-reports it by construction.","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 04.030.20 pāda a, token śatám; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-025","PUR-P-054","06.020.10","saptá-","saptá","c","case=ACC|number=PL","sieben","COUNTS-PUR","7","saptá … púraḥ śā́radīḥ","púraḥ","c","case=ACC|gender=F|number=PL","FULL","case,number","same-pada","griffith grassmann","2/4","c: 'saptá yát púraḥ śárma śā́radīr dárd'. Near-identical wording to 01.174.02b.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 06.020.10 pāda c, token saptá; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-026","PUR-P-055","06.031.04","śatá-","śatā́ni","a","case=ACC|gender=N|number=PL","hundert","COUNTS-PUR","100+","śatā́ni … śámbarasya púraḥ","púraḥ","b","case=ACC|gender=F|number=PL","PARTIAL(case,number)","case,gender,number","same-hemistich","griffith geldner grassmann","3/4","a-b: 'tváṁ śatā́ny áva śámbarasya / púro jaghantha'. śatā́ni is PLURAL 'hundreds', not 'a hundred' — the passage counts Śambara's forts in hundreds, an unbounded figure.","Verdict is reached against the instruments: agreement=PARTIAL(case,number), proximity=same-hemistich. navatí- is a FEMININE SINGULAR collective ('a ninety') governing a plural noun, so it agrees in case and gender but never in number; a number-agreement test therefore under-reports it by construction.","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 06.031.04 pāda a, token śatā́ni; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-027","PUR-P-057","06.048.08","śatá-","śatám","c","gender=N|number=SG","hundert","COUNTS-PUR","100","śatám pūrbhíḥ","pūrbhíḥ","c","case=INS|gender=F|number=PL","NONE","gender,number","same-pada","griffith geldner grassmann","3/4","c: 'śatám pūrbhír yaviṣṭha pāhy áṁhasaḥ'. Instrumental: Agni is asked to protect WITH a hundred forts. The forts are the worshipper's defence, not an enemy's.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 06.048.08 pāda c, token śatám; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-028","PUR-P-057","06.048.08","śatá-","śatám","d","case=ACC|gender=N|number=SG","hundert","COUNTS-OTHER","","śatáṁ hímāḥ 'a hundred winters'","pūrbhíḥ","c","case=INS|gender=F|number=PL","NONE","case,gender,number","same-hemistich","griffith geldner grassmann","3/4","d: 'sameddhā́raṁ śatáṁ hímā'. A SECOND hundred in the same stanza, counting winters — a lifespan formula. Pāda c's hundred is the fort count.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 06.048.08 pāda d, token śatám; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-029","PUR-P-059","07.003.07","śatá-","śatám","d","gender=N|number=SG","hundert","COUNTS-PUR","100","śatám pūrbhír ā́yasībhiḥ","pūrbhíḥ","d","case=INS|gender=F|number=PL","NONE","gender,number","same-pada","geldner grassmann","2/4","d: 'śatám pūrbhír ā́yasībhir ní pāhi'. Protective, and the forts are ā́yasī- 'of metal'.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.003.07 pāda d, token śatám; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-030","PUR-P-063","07.016.10","śatá-","śatám","d","gender=N|number=SG","hundert","COUNTS-PUR","100","śatám pūrbhíḥ","pūrbhíḥ","d","case=INS|gender=F|number=PL","NONE","gender,number","same-pada","griffith geldner grassmann","3/4","d: 'partŕ̥bhiṣ ṭváṁ śatám pūrbhír yaviṣṭhya'. Protective.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.016.10 pāda d, token śatám; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-031","PUR-P-064","07.018.13","saptá-","saptá","b","case=ACC|number=PL","sieben","COUNTS-PUR","7","púraḥ … saptá","púraḥ","b","case=ACC|gender=F|number=PL","FULL","case,number","same-pada","griffith geldner grassmann","3/4","b: 'índraḥ púraḥ sáhasā saptá dardaḥ'. Adjacent, ACC.PL.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.018.13 pāda b, token saptá; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-032","PUR-P-065","07.019.05","náva- 1","náva","b","case=ACC|number=PL","neun","COUNTS-PUR","99","náva … púro navatíṁ ca","púraḥ","b","case=ACC|gender=F|number=PL","FULL","case,number","same-pada","griffith geldner grassmann","3/4","Second half of the same expression.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.019.05 pāda b, token náva; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-033","PUR-P-065","07.019.05","navatí-","navatím","b","case=ACC|gender=F|number=SG","neunzig","COUNTS-PUR","99","náva … púro navatíṁ ca","púraḥ","b","case=ACC|gender=F|number=PL","PARTIAL(case,gender)","case,gender,number","same-pada","griffith","1/4","b: 'náva yát púro navatíṁ ca sadyáḥ'. ca joins the numerals around púraḥ.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.019.05 pāda b, token navatím; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-034","PUR-P-065","07.019.05","śatatamá-","śatatamā́","c","case=ACC|gender=N|number=PL","der hundertste — ORDINAL, not a count of a set","COUNTS-SERIES-COMPLETION","100th (completes the fort series; modifies a dwelling word, not púr-)","nivéśane śatatamā́","púraḥ","b","case=ACC|gender=F|number=PL","PARTIAL(case,number)","case,gender,number","same-stanza","griffith geldner grassmann","3/4","c: 'nivéśane śatatamā́viveṣīr'. Same schema as 04.026.03c: 99 in pāda b, the hundredth in pāda c, again on a dwelling word (nivéśana-) rather than on púr-.","Verdict is reached against the instruments: agreement=PARTIAL(case,number), proximity=same-stanza. navatí- is a FEMININE SINGULAR collective ('a ninety') governing a plural noun, so it agrees in case and gender but never in number; a number-agreement test therefore under-reports it by construction.","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.019.05 pāda c, token śatatamā́; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-035","PUR-P-067","07.026.03","éka-","ékaḥ","c","case=NOM|gender=M|number=SG","ein, einzig — also 'alone'; quantifier as often as count","COUNTS-OTHER","","pátir ékaḥ 'one husband' (simile)","púraḥ","d","case=ACC|gender=F|number=PL","NONE","case,gender,number","same-hemistich","griffith geldner grassmann","3/4","c: 'jánīr iva pátir ékaḥ samānó'. Inside the simile. The forts in pāda d are sárvāḥ 'all', uncounted.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.026.03 pāda c, token ékaḥ; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-036","PUR-P-070","07.099.05","náva- 1","náva","b","case=ACC|number=PL","neun","COUNTS-PUR","99","náva púro navatíṁ ca","púraḥ","b","case=ACC|gender=F|number=PL","FULL","case,number","same-pada","griffith geldner grassmann","3/4","Second half of the same expression.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.099.05 pāda b, token náva; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-037","PUR-P-070","07.099.05","navatí-","navatím","b","case=ACC|gender=F|number=SG","neunzig","COUNTS-PUR","99","náva púro navatíṁ ca śámbarasya","púraḥ","b","case=ACC|gender=F|number=PL","PARTIAL(case,gender)","case,gender,number","same-pada","griffith","1/4","b: 'náva púro navatíṁ ca śnathiṣṭam', with śámbarasya in pāda a.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.099.05 pāda b, token navatím; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-038","PUR-P-070","07.099.05","śatá-","śatám","c","case=ACC|gender=N|number=SG","hundert","COUNTS-OTHER","","śatáṁ … sahásraṁ varcínaḥ","púraḥ","b","case=ACC|gender=F|number=PL","PARTIAL(case)","case,gender,number","same-stanza","griffith geldner grassmann","3/4","c: 'śatáṁ varcínaḥ sahásraṁ ca sākáṁ'. Varcin's men, in the very stanza whose pāda b states 99 forts. The clearest demonstration that stanza co-occurrence is not attachment.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.099.05 pāda c, token śatám; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-039","PUR-P-070","07.099.05","sahásra-","sahásram","c","case=ACC|gender=N|number=SG","tausend","COUNTS-OTHER","","śatáṁ … sahásraṁ varcínaḥ","púraḥ","b","case=ACC|gender=F|number=PL","PARTIAL(case)","case,gender,number","same-stanza","griffith geldner","2/4","As above.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 07.099.05 pāda c, token sahásram; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
"PUR-N-040","PUR-P-077","08.033.05","sahásra-","sahásrā","c","case=ACC|gender=N|number=PL","tausend","COUNTS-OTHER","","sahásrā … śatā́magha (of Indra's gifts)","pūrbhít","d","case=NOM|gender=M|number=SG","NONE","case,gender,number","same-hemistich","griffith","1/4","c: 'yá ākaráḥ sahásrā yáḥ śatā́magha'. Indra's giving. pūrbhíd in pāda d is an epithet with no numeral.","","VERIFIED","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 08.033.05 pāda c, token sahásrā; Aufrecht and padapāṭha at that stanza; Griffith, Geldner and Grassmann at that stanza","2026-09-07","forts (proposed)"
