"claim_id","register","register_line","evidence_status","interpretive_status","editorial_status","publication_status","status_reason","superseded_by","migrated_from_status_cell","migration_state","migration_hold"
"DME-004","03-REGISTERS/domain-e-claims.csv","5","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-005","03-REGISTERS/domain-e-claims.csv","6","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-006","03-REGISTERS/domain-e-claims.csv","7","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-007","03-REGISTERS/domain-e-claims.csv","8","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-008","03-REGISTERS/domain-e-claims.csv","9","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-009","03-REGISTERS/domain-e-claims.csv","10","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-010","03-REGISTERS/domain-e-claims.csv","11","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-011","03-REGISTERS/domain-e-claims.csv","12","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-012","03-REGISTERS/domain-e-claims.csv","13","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-013","03-REGISTERS/domain-e-claims.csv","14","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-014","03-REGISTERS/domain-e-claims.csv","15","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-015","03-REGISTERS/domain-e-claims.csv","16","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-016","03-REGISTERS/domain-e-claims.csv","17","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-017","03-REGISTERS/domain-e-claims.csv","18","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-018","03-REGISTERS/domain-e-claims.csv","19","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DME-019","03-REGISTERS/domain-e-claims.csv","20","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DME-020","03-REGISTERS/domain-e-claims.csv","21","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DME-021","03-REGISTERS/domain-e-claims.csv","22","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DME-022","03-REGISTERS/domain-e-claims.csv","23","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DME-023","03-REGISTERS/domain-e-claims.csv","24","HYPOTHESIS","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","HYPOTHESIS","MIGRATED",""
"DME-024","03-REGISTERS/domain-e-claims.csv","25","HYPOTHESIS","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","HYPOTHESIS","MIGRATED",""
"DME-025","03-REGISTERS/domain-e-claims.csv","26","HOLD","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","HOLD","MIGRATED",""
"DME-026","03-REGISTERS/domain-e-claims.csv","27","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"E-1","03-REGISTERS/domain-e-hypothesis-eligibility.csv","2","HOLD","NOT-A-HYPOTHESIS","NOT-RECORDED","NOT-RECORDED","gate qualifier: an attested family","","HOLD","MIGRATED",""
"E-2","03-REGISTERS/domain-e-hypothesis-eligibility.csv","3","HOLD","NOT-A-HYPOTHESIS","NOT-RECORDED","NOT-RECORDED","gate qualifier: in the sense this register gates — a reconstruction, one level below attestation on the gradient","","HOLD","MIGRATED",""
"E-3","03-REGISTERS/domain-e-hypothesis-eligibility.csv","4","HOLD","NOT-ELIGIBLE-SOURCE-BLOCKED","NOT-RECORDED","NOT-RECORDED","","","HOLD","MIGRATED",""
"E-4","03-REGISTERS/domain-e-hypothesis-eligibility.csv","5","HYPOTHESIS","ELIGIBLE","NOT-RECORDED","NOT-RECORDED","gate qualifier: but no analytical space is allocated in this unit","","HYPOTHESIS","MIGRATED",""
"E-5","03-REGISTERS/domain-e-hypothesis-eligibility.csv","6","HOLD","NOT-A-HYPOTHESIS","NOT-RECORDED","NOT-RECORDED","gate qualifier: an attested group","","HOLD","MIGRATED",""
"E-6","03-REGISTERS/domain-e-hypothesis-eligibility.csv","7","HOLD","NOT-A-HYPOTHESIS","NOT-RECORDED","NOT-RECORDED","gate qualifier: in the gating sense — a reconstruction","","HOLD","MIGRATED",""
"E-7","03-REGISTERS/domain-e-hypothesis-eligibility.csv","8","HOLD","NOT-ELIGIBLE-SOURCE-BLOCKED","NOT-RECORDED","NOT-RECORDED","","","HOLD","MIGRATED",""
"E-8","03-REGISTERS/domain-e-hypothesis-eligibility.csv","9","HOLD","NOT-ELIGIBLE-SOURCE-BLOCKED","NOT-RECORDED","NOT-RECORDED","","","HOLD","MIGRATED",""
"E-9","03-REGISTERS/domain-e-hypothesis-eligibility.csv","10","HYPOTHESIS","ELIGIBLE","NOT-RECORDED","NOT-RECORDED","gate qualifier: passes the chronological and geographical gates on evidence produced here","","HYPOTHESIS","MIGRATED",""
"E-10","03-REGISTERS/domain-e-hypothesis-eligibility.csv","11","HYPOTHESIS","NOT-ELIGIBLE-GATE-FAILED","NOT-RECORDED","NOT-RECORDED","gate qualifier: for this unit; ELIGIBLE for a unit on modern North Indian vocabulary","","HYPOTHESIS","MIGRATED",""
"E-11","03-REGISTERS/domain-e-hypothesis-eligibility.csv","12","VERIFIED","NOT-A-HYPOTHESIS","NOT-RECORDED","NOT-RECORDED","gate qualifier: a residue, never a rival explanation","","VERIFIED","MIGRATED",""
"DE-I-001","03-REGISTERS/domain-e-interpretations.csv","2","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DE-I-002","03-REGISTERS/domain-e-interpretations.csv","3","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DE-I-003","03-REGISTERS/domain-e-interpretations.csv","4","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DE-I-004","03-REGISTERS/domain-e-interpretations.csv","5","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DE-I-005","03-REGISTERS/domain-e-interpretations.csv","6","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DE-I-006","03-REGISTERS/domain-e-interpretations.csv","7","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DE-I-007","03-REGISTERS/domain-e-interpretations.csv","8","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DE-I-008","03-REGISTERS/domain-e-interpretations.csv","9","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","PROVISIONAL","MIGRATED",""
"DE-I-009","03-REGISTERS/domain-e-interpretations.csv","10","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-I-010","03-REGISTERS/domain-e-interpretations.csv","11","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","supports_page names 'method' without a publication marker; publication state is not inferred from a page existing","","VERIFIED","MIGRATED",""
"DE-M-001","03-REGISTERS/domain-e-measurements.csv","2","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-002","03-REGISTERS/domain-e-measurements.csv","3","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-003","03-REGISTERS/domain-e-measurements.csv","4","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-004","03-REGISTERS/domain-e-measurements.csv","5","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-005","03-REGISTERS/domain-e-measurements.csv","6","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-006","03-REGISTERS/domain-e-measurements.csv","7","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-007","03-REGISTERS/domain-e-measurements.csv","8","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-008","03-REGISTERS/domain-e-measurements.csv","9","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-009","03-REGISTERS/domain-e-measurements.csv","10","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-010","03-REGISTERS/domain-e-measurements.csv","11","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-011","03-REGISTERS/domain-e-measurements.csv","12","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-012","03-REGISTERS/domain-e-measurements.csv","13","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-013","03-REGISTERS/domain-e-measurements.csv","14","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-014","03-REGISTERS/domain-e-measurements.csv","15","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-015","03-REGISTERS/domain-e-measurements.csv","16","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-016","03-REGISTERS/domain-e-measurements.csv","17","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-017","03-REGISTERS/domain-e-measurements.csv","18","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-018","03-REGISTERS/domain-e-measurements.csv","19","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-019","03-REGISTERS/domain-e-measurements.csv","20","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-020","03-REGISTERS/domain-e-measurements.csv","21","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-021","03-REGISTERS/domain-e-measurements.csv","22","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-022","03-REGISTERS/domain-e-measurements.csv","23","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-023","03-REGISTERS/domain-e-measurements.csv","24","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-024","03-REGISTERS/domain-e-measurements.csv","25","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-025","03-REGISTERS/domain-e-measurements.csv","26","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-026","03-REGISTERS/domain-e-measurements.csv","27","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-027","03-REGISTERS/domain-e-measurements.csv","28","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-028","03-REGISTERS/domain-e-measurements.csv","29","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-029","03-REGISTERS/domain-e-measurements.csv","30","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DE-M-030","03-REGISTERS/domain-e-measurements.csv","31","VERIFIED","NOT-RECORDED","NOT-RECORDED","PROPOSED","","","VERIFIED","MIGRATED",""
"DMB-001","03-REGISTERS/domain-m-brahui-position.csv","2","SUPERSEDED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","SUPERSEDED BY DMB-002. This row is the interpretation the owner challenged, written out in full so that it is not re-proposed. It is retained under the CLAUDE.md standing constraint that correction history is preserved and rejected reasoning stays visible. It is NOT deleted. Two distinct defects: (a) it reads a delete-one sensitivity statistic as a substantive claim about a language family's geography (BF-005); (b) it treats the twenty-odd attested Dravidian languages as independent points, which they are not if any of them subgroup (BF-006). Note the direction: the overstatement here favours a MIGRATION reading of Brahui, which is the reading the inherited record already REJECTED as the default (R-10, IH-156). The supersession therefore does not favour the relict hypothesis either; it removes a bad argument that was pointing one way.","SUPERSEDED","MIGRATED",""
"DMB-002","03-REGISTERS/domain-m-brahui-position.csv","3","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-003","03-REGISTERS/domain-m-brahui-position.csv","4","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-004","03-REGISTERS/domain-m-brahui-position.csv","5","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","PROVISIONAL","MIGRATED",""
"DMB-005","03-REGISTERS/domain-m-brahui-position.csv","6","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","PROVISIONAL","MIGRATED",""
"DMB-006","03-REGISTERS/domain-m-brahui-position.csv","7","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-007","03-REGISTERS/domain-m-brahui-position.csv","8","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-008","03-REGISTERS/domain-m-brahui-position.csv","9","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-009","03-REGISTERS/domain-m-brahui-position.csv","10","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-010","03-REGISTERS/domain-m-brahui-position.csv","11","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-011","03-REGISTERS/domain-m-brahui-position.csv","12","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-012","03-REGISTERS/domain-m-brahui-position.csv","13","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-013","03-REGISTERS/domain-m-brahui-position.csv","14","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-014","03-REGISTERS/domain-m-brahui-position.csv","15","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-015","03-REGISTERS/domain-m-brahui-position.csv","16","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-016","03-REGISTERS/domain-m-brahui-position.csv","17","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-017","03-REGISTERS/domain-m-brahui-position.csv","18","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-018","03-REGISTERS/domain-m-brahui-position.csv","19","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-019","03-REGISTERS/domain-m-brahui-position.csv","20","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-020","03-REGISTERS/domain-m-brahui-position.csv","21","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-021","03-REGISTERS/domain-m-brahui-position.csv","22","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-022","03-REGISTERS/domain-m-brahui-position.csv","23","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-023","03-REGISTERS/domain-m-brahui-position.csv","24","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","PROVISIONAL","MIGRATED",""
"DMB-024","03-REGISTERS/domain-m-brahui-position.csv","25","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","PROVISIONAL","MIGRATED",""
"DMB-025","03-REGISTERS/domain-m-brahui-position.csv","26","VERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","VERIFIED","MIGRATED",""
"DMB-026","03-REGISTERS/domain-m-brahui-position.csv","27","PROVISIONAL","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","PROVISIONAL","MIGRATED",""
"IH-001","03-REGISTERS/inherited-claims.csv","2","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-002","03-REGISTERS/inherited-claims.csv","3","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-003","03-REGISTERS/inherited-claims.csv","4","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-004","03-REGISTERS/inherited-claims.csv","5","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-005","03-REGISTERS/inherited-claims.csv","6","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-006","03-REGISTERS/inherited-claims.csv","7","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-007","03-REGISTERS/inherited-claims.csv","8","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-008","03-REGISTERS/inherited-claims.csv","9","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-009","03-REGISTERS/inherited-claims.csv","10","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-010","03-REGISTERS/inherited-claims.csv","11","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-011","03-REGISTERS/inherited-claims.csv","12","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-012","03-REGISTERS/inherited-claims.csv","13","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-013","03-REGISTERS/inherited-claims.csv","14","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-014","03-REGISTERS/inherited-claims.csv","15","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-015","03-REGISTERS/inherited-claims.csv","16","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-016","03-REGISTERS/inherited-claims.csv","17","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-017","03-REGISTERS/inherited-claims.csv","18","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-018","03-REGISTERS/inherited-claims.csv","19","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-019","03-REGISTERS/inherited-claims.csv","20","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-020","03-REGISTERS/inherited-claims.csv","21","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-021","03-REGISTERS/inherited-claims.csv","22","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-022","03-REGISTERS/inherited-claims.csv","23","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
"IH-023","03-REGISTERS/inherited-claims.csv","24","INHERITED-UNVERIFIED","NOT-RECORDED","NOT-RECORDED","NOT-RECORDED","","","INHERITED-UNVERIFIED","MIGRATED",""
