"passage_id","stanza","addressee","poet_lineage","poet_lineage_basis","patron_candidates","opponent_candidates","roles_basis","description_same_pada","description_same_hemistich","description_elsewhere_in_stanza","agreeing_but_excluded","material","water","cattle","treasure","mountain","river_lemma_present","river_lemma_note","proposed_geography","geography_basis","arnold_stratum","source_id","retrieval_date","supports_page"
"PUR-P-011","01.063.07","Indra","8. group: hymns of Nodhas, descendant of Gotama","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","pūrú-; sudā́s-","purukútsa-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","A","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-012","01.102.07","Indra","11. group: hymns of Kutsa, the Angiras","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","maghavan (maghávan-)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","C","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-013","01.103.03","Indra","11. group: hymns of Kutsa, the Angiras","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","dā́sīḥ (dā́sī-)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","C","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-014","01.103.08","Indra","11. group: hymns of Kutsa, the Angiras","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","váruṇa-","kúyava-; pípru-; śámbara-; śúṣṇa-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","síndhu-","(none)","(none)","(none)","síndhu-","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","C","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-015","01.109.08","Indra and Agni","11. group: hymns of Kutsa, the Angiras","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","váruṇa-","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","vajrahastā (vájrahasta-)","indrāgnī (indrāgní-)","(none)","(none)","(none)","síndhu-","(none)","bhára-","(none)","síndhu-","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","C","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-016","01.112.14","Asvins","11. group: hymns of Kutsa, the Angiras","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","trasádasyu-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","śambarahátye (śambarahátya-)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","C","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-017","01.130.07","Indra","13. group: hymns of Parucchepa, son of Divodasa","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","pūrú-","śámbara-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","dhána-","girí-","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","s","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-018","01.130.10","Indra","13. group: hymns of Parucchepa, son of Divodasa","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","s","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-019","01.131.04","Indra","13. group: hymns of Parucchepa, son of Divodasa","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","pūrú-","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","śā́radīḥ (śā́rada-)","(none)","apáḥ (áp-)","(none)","(none)","áp-","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","s","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-020","01.149.03","Agni","14. group: hymns of Dirghatamas, son of Ucathya and Mamata","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","nā́rmiṇīm (nā́rmin-)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","a","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-021","01.166.08","the Maruts","15. group: hymns of Agastya","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","śatábhujibhiḥ (śatábhuji-)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","s","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-022","01.173.10","Indra","15. group: hymns of Agastya","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","A","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-023","01.174.02","Indra","15. group: hymns of Agastya","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","purukútsa-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","śā́radīḥ (śā́rada-)","víśaḥ (víś-) mr̥dhrávācaḥ (mr̥dhrávāc-)","apáḥ (áp-) árṇāḥ (árṇa-)","(none)","(none)","áp-; árṇa-","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","A","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-024","01.174.08","Indra","15. group: hymns of Agastya","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","bhídaḥ (bhíd-) ádevīḥ (ádeva-)","(none)","nábhaḥ (nábh-) pūrvī́ḥ (purú-)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","A","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-025","01.189.02","Agni","15. group: hymns of Agastya","Geldner's hymn-group heading (SRC-070), reproduced in VedaWeb info/addressees.json. A fact about Geldner's 1951 arrangement, which follows the Anukramaṇī tradition, which post-dates the text. Three removes from composition. PROVISIONAL; HOLD-006.","(none)","(none)","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","pr̥thvī́ (pr̥thú-) bahulā́ (bahulá-) urvī́ (urú-)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","s","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-026","02.014.06","Indra","","NOT PRODUCED. Geldner's group heading for this hymn names a deity rather than a poet: ""2. group: hymns to Indra"". Not evidence that the hymn is anonymous — the headings are an arrangement, and where Geldner arranged by something other than authorship he recorded no poet. HOLD-006.","(none)","varcín-; śámbara-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","pūrvī́ḥ (purú-)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","áśman-","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","N","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
"PUR-P-027","02.019.06","Indra","","NOT PRODUCED. Geldner's group heading for this hymn names a deity rather than a poet: ""2. group: hymns to Indra"". Not evidence that the hymn is anonymous — the headings are an arrangement, and where Geldner arranged by something other than authorship he recorded no poet. HOLD-006.","kútsa-","kúyava-; śámbara-; śúṣṇa-","Grassmann's classification of the NAME, from his own gloss, not a reading of this passage's syntax. A name can occur in a passage without holding or attacking anything in it.","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","(none)","Presence of a lemma that CAN name a river, not a named river. síndhu- is glossed by Grassmann as 'Fluss, Strom; der Indus' — common noun and proper name at once — and Griffith and Geldner read it differently across these passages. See PUR4J-028.","NOT FILLED — no source","The pinned corpus carries no geographic content: info/rv_locations.tsv is a citation-format conversion table. This field needs a source this unit does not have, and it is bounded by the research hold at Version 12 line 1175 against identifying the forts with one archaeological culture.","A","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","2026-09-07","forts (proposed)"
