"att_id","target","classification","determinative_certainty","p_number","line_ref","raw_token","determinatives","line","cdli_period","cdli_provenience","cdli_collection","cdli_museum_no","cdli_material","cdli_excavation_no","cdli_primary_publication","source_id","retrieval_date"
"DRA-0017","CARNELIAN","STONE-DETERMINATIVE ({na4})","damaged #","P128656","4","{na4#}[gug","na4","[szunigin] 2(disz)# {na4#}[gug gid2-da]","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","Special Collections and Archives, John T. Richardson Library, DePaul University, Chicago, Illinois, USA","Souvay 67","clay","","SA 054","SRC-103; SRC-102","2026-09-08"
"DRA-0018","CARNELIAN","STONE-DETERMINATIVE ({na4})","damaged #","P128656","5","{na4#}[za-ellag2-gug]","na4","[szunigin] 2(disz)# {na4#}[za-ellag2-gug]","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","Special Collections and Archives, John T. Richardson Library, DePaul University, Chicago, Illinois, USA","Souvay 67","clay","","SA 054","SRC-103; SRC-102","2026-09-08"
"DRA-0019","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P131618","3","{na4}gug","na4","la2-a [x]-a-bi {na4}du8-szi-a se3-ga PI-bi {na4}gug","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Louvre Museum, Paris, France","AO 05529","clay","","TCL 02, 5529","SRC-103; SRC-102","2026-09-08"
"DRA-0020","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P134236","9","{na4}gug-ga","na4","3(u) udu {na4}gug-ga nu2","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, Holland","LB 2320","clay","","TLB 03, 095","SRC-103; SRC-102","2026-09-08"
"DRA-0021","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136662","1","{na4}gug","na4","1(gesz'u) 5(gesz2) 5(u) 5(disz) ellag2 {na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 04685","UET 3, 0341","SRC-103; SRC-102","2026-09-08"
"DRA-0022","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136662","4","{na4}gug","na4","[x] 5(u) 5(disz) ellag2 {na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 04685","UET 3, 0341","SRC-103; SRC-102","2026-09-08"
"DRA-0023","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136666","12","{na4}gug","na4","szunigin 2(u) 6(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 04603","UET 3, 0345","SRC-103; SRC-102","2026-09-08"
"DRA-0024","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136666","13","{na4}gug","na4","szunigin 6(disz) {na4}gug tu-dur","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 04603","UET 3, 0345","SRC-103; SRC-102","2026-09-08"
"DRA-0025","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136741","2","{na4}gug","na4","2(disz) gin2 {na4}gug za3 gaz-bi","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","UM 47-29-267","clay","U 04120","UET 3, 0419","SRC-103; SRC-102","2026-09-08"
"DRA-0026","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136780","3","{na4}gug","na4","1(u) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 04228","UET 3, 0458","SRC-103; SRC-102","2026-09-08"
"DRA-0027","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136816","2","{na4}gug","na4","1/2(disz) ma-na u2 {na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 04211","UET 3, 0494","SRC-103; SRC-102","2026-09-08"
"DRA-0028","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136837","3","{na4}gug","na4","1(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 04024","UET 3, 0515","SRC-103; SRC-102","2026-09-08"
"DRA-0029","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136840","1","{na4}gug","na4","7(disz) tu-dur {na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","UM 47-29-105","clay","U 04252","UET 3, 0518","SRC-103; SRC-102","2026-09-08"
"DRA-0030","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136842","1","{na4}gug","na4","5/6(disz) ma-na 6(disz) gin2 u2 {na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 04263","UET 3, 0520","SRC-103; SRC-102","2026-09-08"
"DRA-0031","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136865","1","{na4}gug!","na4","1(disz) gin2 2(u) sze {na4}gug!","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130232","clay","U 03987","UET 3, 0543","SRC-103; SRC-102","2026-09-08"
"DRA-0032","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136878","4","{na4}gug","na4","igi-3(disz)-gal2 {na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130235","clay","U 04061","UET 3, 0556","SRC-103; SRC-102","2026-09-08"
"DRA-0033","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136885","3'","{na4}gug","na4","1(disz) {na4}gug [...]","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","UM 47-29-283","clay","U 04106","UET 3, 0563","SRC-103; SRC-102","2026-09-08"
"DRA-0034","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136896","9","{na4}gug","na4","3(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 03916","UET 3, 0574","SRC-103; SRC-102","2026-09-08"
"DRA-0035","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136914","4","{na4}gug","na4","1(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","UM 47-29-286","clay","U 04895","UET 3, 0592","SRC-103; SRC-102","2026-09-08"
"DRA-0036","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136944","3","{na4}gug","na4","1(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130251","clay","U 04374","UET 3, 0622","SRC-103; SRC-102","2026-09-08"
"DRA-0037","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136959","8","{na4}gug","na4","2(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","UM 47-29-290","clay","U 03721","UET 3, 0637","SRC-103; SRC-102","2026-09-08"
"DRA-0038","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136962","2","{na4}gug","na4","1(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130254","clay","U 04074","UET 3, 0640","SRC-103; SRC-102","2026-09-08"
"DRA-0039","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136971","3","{na4}gug","na4","4(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 04010","UET 3, 0649","SRC-103; SRC-102","2026-09-08"
"DRA-0040","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136990","2","{na4}gug","na4","3(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","UM 47-29-293","clay","U 04129","UET 3, 0668","SRC-103; SRC-102","2026-09-08"
"DRA-0041","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P136991","4","{na4}gug!(GUL)","na4","4(disz) {na4}gug!(GUL) gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","UM 47-29-127","clay","U 04461","UET 3, 0669","SRC-103; SRC-102","2026-09-08"
"DRA-0042","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P137007","1","{u2}{na4}gug","u2|na4","5(disz) ma-na {u2}{na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq","IM —","clay","U 03886","UET 3, 0685","SRC-103; SRC-102","2026-09-08"
"DRA-0043","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P137011","2","{na4}gug","na4","5(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130266","clay","U 03795","UET 3, 0689","SRC-103; SRC-102","2026-09-08"
"DRA-0044","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P137536","14'","{na4}gug","na4","{na4}gug i3-[...]","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","UM 47-29-195","clay","U 04604","UET 3, 1211","SRC-103; SRC-102","2026-09-08"
"DRA-0045","CARNELIAN","STONE-DETERMINATIVE ({na4})","damaged #","P137823","1","{na4#}gug","na4","3(u) 7(disz) {na4#}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130460","clay","U 06719","UET 3, 1498","SRC-103; SRC-102","2026-09-08"
"DRA-0046","CARNELIAN","STONE-DETERMINATIVE ({na4})","damaged #","P137823","29","{na4#}gug","na4","2(disz) {na4#}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130460","clay","U 06719","UET 3, 1498","SRC-103; SRC-102","2026-09-08"
"DRA-0047","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P137823","31","{na4}gug","na4","7(disz) tu-dur {na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130460","clay","U 06719","UET 3, 1498","SRC-103; SRC-102","2026-09-08"
"DRA-0048","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P137823","1","{na4}gug#","na4","1(disz) kiszib3? [...] {na4}gug#","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130460","clay","U 06719","UET 3, 1498","SRC-103; SRC-102","2026-09-08"
"DRA-0049","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P137823","3","{na4}gug","na4","5(disz)#? gin2 1(u) 5(disz) sze {na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130460","clay","U 06719","UET 3, 1498","SRC-103; SRC-102","2026-09-08"
"DRA-0050","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P137823","20","u2-{na4}gug","na4","8(disz) ma-na 2(disz) gin2 u2-{na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","British Museum, London, UK","BM 130460","clay","U 06719","UET 3, 1498","SRC-103; SRC-102","2026-09-08"
"DRA-0051","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P138549","7'","{na4}gug","na4","2(u) 6(disz) {na4}gug gid2-da#","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq ?","IM — ?","clay","U 21376","UET 9, 0418","SRC-103; SRC-102","2026-09-08"
"DRA-0052","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P138549","8'","{na4}gug","na4","6(disz) {na4}gug tu-dur#","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq ?","IM — ?","clay","U 21376","UET 9, 0418","SRC-103; SRC-102","2026-09-08"
"DRA-0053","CARNELIAN","STONE-DETERMINATIVE ({na4})","broken []","P138549","9'","[{na4}]gug#","na4","n [{na4}]gug# [...]","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq ?","IM — ?","clay","U 21376","UET 9, 0418","SRC-103; SRC-102","2026-09-08"
"DRA-0054","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P138551","12'","{na4}gug","na4","2(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq ?","IM — ?","clay","U 05085","UET 9, 0420","SRC-103; SRC-102","2026-09-08"
"DRA-0055","CARNELIAN","STONE-DETERMINATIVE ({na4})","damaged #","P138571","1","{na4#}gug","na4","[...] x ellag2# {na4#}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq ?","IM — ?","clay","U 05278","UET 9, 0440","SRC-103; SRC-102","2026-09-08"
"DRA-0056","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P138571","2","{na4}gug","na4","[...] 1/3(disz)# ellag2 sig {na4}gug","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq ?","IM — ?","clay","U 05278","UET 9, 0440","SRC-103; SRC-102","2026-09-08"
"DRA-0057","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P138680","5","{na4}gug","na4","1(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq ?","IM — ?","clay","U 21012","UET 9, 0549","SRC-103; SRC-102","2026-09-08"
"DRA-0058","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P138742","2'","{na4}gug","na4","1(disz) {na4}gug [x]","Ur III (ca. 2100-2000 BC)","Ur (mod. Tell Muqayyar)","National Museum of Iraq, Baghdad, Iraq ?","IM — ?","clay","U 21032","UET 9, 0611","SRC-103; SRC-102","2026-09-08"
"DRA-0059","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P142360","6","{na4}gug","na4","4(u) 5(disz) {na4}gug gid2-da","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Yale Babylonian Collection, New Haven, Connecticut, USA","YBC 03671","clay","","YOS 04, 296","SRC-103; SRC-102","2026-09-08"
"DRA-0060","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P142360","7","{na4}gug","na4","4(gesz2) 5(u) 4(disz)? ellag2 {na4}gug","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Yale Babylonian Collection, New Haven, Connecticut, USA","YBC 03671","clay","","YOS 04, 296","SRC-103; SRC-102","2026-09-08"
"DRA-0061","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P142360","22","{na4}gug","na4","1(disz) ad-tab ku3-sig17 {na4}gug za-gin3 se3-ga","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Yale Babylonian Collection, New Haven, Connecticut, USA","YBC 03671","clay","","YOS 04, 296","SRC-103; SRC-102","2026-09-08"
"DRA-0062","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P142751","6","{na4}gug","na4","1(disz) {na4}gug gid2-da ka-ba ku3-babbar gar","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","Ashmolean Museum, Oxford, UK","Ashm 1911-0240","clay","","AAICAB 1/1, pl. 043-044, 1911-240","SRC-103; SRC-102","2026-09-08"
"DRA-0063","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P142751","13","{na4}gug","na4","3(gesz2) 3(u) 3(disz) {na4}gug szu-gur-ra","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","Ashmolean Museum, Oxford, UK","Ashm 1911-0240","clay","","AAICAB 1/1, pl. 043-044, 1911-240","SRC-103; SRC-102","2026-09-08"
"DRA-0064","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P142751","14","{na4}gug","na4","2(disz) {na4}gug zu2-lum","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","Ashmolean Museum, Oxford, UK","Ashm 1911-0240","clay","","AAICAB 1/1, pl. 043-044, 1911-240","SRC-103; SRC-102","2026-09-08"
"DRA-0065","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P142751","15","{na4}gug","na4","1(disz) {na4}gug sig","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","Ashmolean Museum, Oxford, UK","Ashm 1911-0240","clay","","AAICAB 1/1, pl. 043-044, 1911-240","SRC-103; SRC-102","2026-09-08"
"DRA-0066","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P142751","1","{na4}gug","na4","2(u) 5(disz) {na4}gug szu-gur-ra","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","Ashmolean Museum, Oxford, UK","Ashm 1911-0240","clay","","AAICAB 1/1, pl. 043-044, 1911-240","SRC-103; SRC-102","2026-09-08"
"DRA-0067","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P143844","2","{na4}gug","na4","{na4}gug za-gin3 4(disz)-sze3","Ur III (ca. 2100-2000 BC)","Umma (mod. Tell Jokha)","Yale Babylonian Collection, New Haven, Connecticut, USA","YBC 03260","clay","","SAT 2, 0644","SRC-103; SRC-102","2026-09-08"
"DRA-0068","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P144386","19","{na4}gug","na4","ezem {na4}gug alan","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Yale Babylonian Collection, New Haven, Connecticut, USA","YBC 01187","clay","","SAT 3, 1186","SRC-103; SRC-102","2026-09-08"
"DRA-0069","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P200026","3","{na4}gug#","na4","2(disz) s,e-eh-ru#-um# ku3-sig17 si-sa2 {na4}gug# za-[gin3 se3]-ga#?","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","Martin-Luther-Universität Halle-Wittenberg, Halle, Germany","Kurth 27","clay","","Fs Haas 286","SRC-103; SRC-102","2026-09-08"
"DRA-0070","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P203734","11","{na4}gug","na4","{na4}gug AN","Ur III (ca. 2100-2000 BC)","Girsu (mod. Tello)","British Museum, London, UK","BM 020027","clay","","unpublished unassigned ?","SRC-103; SRC-102","2026-09-08"
"DRA-0071","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P208191","2","{na4}gug#","na4","4(gesz2) la2 2(disz) {na4}gug#","Ur III (ca. 2100-2000 BC)","uncertain (mod. uncertain)","British Museum, London, UK","BM 027325","clay","","PPAC 5, 0708","SRC-103; SRC-102","2026-09-08"
"DRA-0072","CARNELIAN","STONE-DETERMINATIVE ({na4})","editorially supplied <> - not on the tablet","P214626","10'","1(asz@c)<{na4}>gug","na4","1(asz@c)<{na4}>gug","Old Akkadian (ca. 2340-2200 BC)","Girsu (mod. Tello)","Arkeoloji Müzeleri, Istanbul, Turkey","Ist L 05817","clay","","ITT 2, 05817","SRC-103; SRC-102","2026-09-08"
"DRA-0073","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P218229","5","{na4}gug-ga","na4","ezem {na4}gug-ga nu2-a","Ur III (ca. 2100-2000 BC)","Puzriš-Dagan (mod. Drehem)","National Museum of Ethnology, Osaka, Japan","NME H94664","clay","","SANTAG 7, 154","SRC-103; SRC-102","2026-09-08"
"DRA-0074","CARNELIAN","STONE-DETERMINATIVE ({na4})","clean","P227137","28","{na4}gug","na4","{na4}gug gi-rin2","Old Babylonian (ca. 1900-1600 BC)","Nippur (mod. Nuffar)","Arkeoloji Müzeleri, Istanbul, Turkey; University of Pennsylvania Museum of Archaeology and Anthropology, Philadelphia, Pennsylvania, USA","Ist Ni 04394 + N 3152 + N 3180 + N 4198 + N 4240 + N 4241 + N 5144 + N 6435 + N 6718 + UM 29-16-566 + UM 29-16-611","clay","","RIME 3/2.01.04.01, ex. 01 & RIME 3/2.01.04.08, ex. 01 & RIME 3/2.01.04.09, ex. 01","SRC-103; SRC-102","2026-09-08"
