96-page curatorial audit,,,,,,,,,,,,,,
"Each row contains a written assessment, publication decision, design assignment and required next action.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Slug,Title,H1 / central finding,Words,Type,Primary environment,Secondary environment,Written assessment,Source entries (est.),External links,Decision,Risk,Required action,MVP,Inbound links
collocations,"Word Company in the Rigveda: Gods, Enemies, Collocations",Words keep company. The company tells you what they are.,1360,relational-analysis,Living Signal Field,Reading Room,"Well suited to interactive comparison if the underlying corpus/data and categories are exposed. Its central public claim is “Words keep company. The company tells you what they are.” The page has 0 estimated source entries, 0 external links, 7 tables and 0 inline SVGs; source state: no detected source section",0,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,1
count-it,Counting Contempt for Outsiders in the Rigveda,How much of the Rigveda is contempt for outsiders?,3998,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “How much of the Rigveda is contempt for outsiders?” The page has 0 estimated source entries, 0 external links, 8 tables and 1 inline SVGs; source state: no detected source section",0,0,Split,Medium,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,No,54
coverage,Excavation Bias: Who Funds Digs and Why Keeladi Waits,Many gaps in this record follow the money and the politics of excavation.,1075,methods,Reading Room,Reading Room,"Belongs in the public evidence architecture and should disclose scope, selection, and limitations. Its central public claim is “Many gaps in this record follow the money and the politics of excavation.” The page has 3 estimated source entries, 0 external links, 3 tables and 0 inline SVGs; source state: limited bibliography",3,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,53
criminalised-today,Vedic Ritual That Modern Indian Law Would Criminalise,"Some of what the sacred texts prescribe, modern India makes a crime.",1547,present-life,Reconnection,Reading Room,"Connects historical interpretation to current law or practice; legal claims require date and jurisdiction checks. Its central public claim is “Some of what the sacred texts prescribe, modern India makes a crime.” The page has 11 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",11,0,Merge,Low,Merge into `criminalised`; preserve unique evidence and redirect this URL.,No,4
criminalised,What Would Be Illegal Now: Vedic Ritual vs Indian Statute,India has criminalised what the hymns prescribe.,938,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “India has criminalised what the hymns prescribe.” The page has 5 estimated source entries, 0 external links, 2 tables and 0 inline SVGs; source state: limited bibliography",5,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,1
custody,Manuscript Custody: Who Held the Texts and Who Was Kept Out,Every text was kept by someone with something at stake.,1375,collection-investigation,Extraction / Collection,Reading Room,"Supports the custody/extraction critique, but every institutional implication must be documented. Its central public claim is “Every text was kept by someone with something at stake.” The page has 7 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: limited bibliography",7,0,Keep,Medium,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",Yes,55
dravidian-sky,Dravidian Star Names and Indigenous South Indian Astronomy,"A complete sky vocabulary, a landscape time-system, and a hereditary non-Brahmin astronomer caste.",1610,cosmology,Nocturnal Veḷi,Reading Room,"Visually compelling but vulnerable to retrojection and priority claims; separate observation, naming, and later computation. Its central public claim is “A complete sky vocabulary, a landscape time-system, and a hereditary non-Brahmin astronomer caste.” The page has 6 estimated source entries, 0 external links, 3 tables and 0 inline SVGs; source state: limited bibliography",6,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,1
elamite,Elamite and Dravidian: The Contested Language Link,"The working language of the Persian empire, written for 2,300 years and still partly undeciphered.",1919,language,Nocturnal Veḷi,Reading Room,"Best framed around established correspondences, competing hypotheses, and clearly bounded unknowns. Its central public claim is “The working language of the Persian empire, written for 2,300 years and still partly undeciphered.” The page has 5 estimated source entries, 0 external links, 4 tables and 0 inline SVGs; source state: limited bibliography",5,0,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,1
endogamy-clock,Dating Caste Endogamy in the Genome,“When mixing stopped” means two completely different things in this dataset.,1044,chronology,Living Signal Field,Reading Room,"High-value analytical page if date ranges, samples, uncertainty, and alternative interpretations remain visible. Its central public claim is ““When mixing stopped” means two completely different things in this dataset.” The page has 3 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: limited bibliography",3,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,2
enter,"Enter Veli: Explore, Exhibits, Evidence, Learn","Evidence, and what it will not support.",1803,foyer,Tamil Retrofuture,Reading Room,"Carries the burden of orienting different audiences without becoming an index dump. Its central public claim is “Evidence, and what it will not support.” The page has 2 estimated source entries, 0 external links, 0 tables and 0 inline SVGs; source state: minimal source section",2,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",Yes,113
gotra,Gotra and Genetics: Lineage Exogamy in South Asian DNA,"The founder effects are at the jāti, not the gotra — and that is exactly what the two rules predict.",823,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The founder effects are at the jāti, not the gotra — and that is exactly what the two rules predict.” The page has 0 estimated source entries, 0 external links, 1 tables and 1 inline SVGs; source state: no detected source section",0,0,Revise,High,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,47
index,Veli: A Digital Museum of Ancient South Asia,,861,threshold,Nocturnal Veḷi,Reading Room,"Defines the conceptual entrance and should remain exceptionally restrained. Its central public claim is “Something was emptied out of this place. Here is what it held. A reproducible museum of ancient South Asia, from Meluhha to Keezhadi.” The page has 0 estimated source entries, 0 external links, 0 tables and 1 inline SVGs; source state: no detected source section",0,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",Yes,0
indology,Western Indology and Its Asymmetric Evidence Standards,"A discipline founded to run courts, which read one dead language and legislated for a subcontinent.",3953,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “A discipline founded to run courts, which read one dead language and legislated for a subcontinent.” The page has 16 estimated source entries, 0 external links, 4 tables and 2 inline SVGs; source state: substantial bibliography, mostly non-linked",16,0,Split,Low,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,No,47
isnad,Isnad and Chains of Transmission in Text Criticism,"A formal science of citing your sources, developed in Arabic.",1632,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “A formal science of citing your sources, developed in Arabic.” The page has 5 estimated source entries, 0 external links, 4 tables and 0 inline SVGs; source state: limited bibliography",5,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,1
jatization,Jatization: How Varna Hardened into Birth-Bound Caste,"A colour-word became a cage. Untouchability came last, and by design.",1307,social-history,Tamil Retrofuture,Reading Room,"High public value but high reputational risk when chronology, agency, or causation is stated categorically. Its central public claim is “A colour-word became a cage. Untouchability came last, and by design.” The page has 14 estimated source entries, 1 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",14,1,Keep,Medium,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,17
kali-yuga,"Kali Yuga 3102 BCE: A Date Calculated, Not Observed",The date that proves Indian antiquity was calculated in 499 CE with Greek mathematics.,1038,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The date that proves Indian antiquity was calculated in 499 CE with Greek mathematics.” The page has 1 estimated source entries, 0 external links, 2 tables and 0 inline SVGs; source state: minimal source section",1,0,Revise,High,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,1
keeladi,Keeladi: A Literate Tamil City from 6th Century BCE,Keeladi: a literate southern city — and an excavation the state could not leave alone.,1164,place,Living Tiṇai,Reading Room,"Strong museum material because place, excavation, politics, and present stakes can remain connected. Its central public claim is “Keeladi: a literate southern city — and an excavation the state could not leave alone.” The page has 14 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",14,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",Yes,8
kinship,Kinship Terms and What They Reveal About Ancient Society,"Cousin marriage, polyandry and matriliny in South Asia — and why the north–south story does not survive contact with Iran.",6069,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Cousin marriage, polyandry and matriliny in South Asia — and why the north–south story does not survive contact with Iran.” The page has 41 estimated source entries, 0 external links, 15 tables and 1 inline SVGs; source state: substantial bibliography, mostly non-linked",41,0,Split,Low,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,No,46
kural,Tirukkural: Tamil Ethics Without Caste or Ritual,"Thirteen hundred and thirty couplets on how to live, and the word for caste is not in any of them.",879,text,Tamil Retrofuture,Reading Room,"Strong anchor text if translations, editions, counts, and absences are reproducible. Its central public claim is “Thirteen hundred and thirty couplets on how to live, and the word for caste is not in any of them.” The page has 1 estimated source entries, 0 external links, 2 tables and 1 inline SVGs; source state: minimal source section",1,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",Yes,55
meluhha-trade,Meluhha Trade: The Indus Seen Through Mesopotamia,"Meluhha: the Indus world, written down by its trading partners.",1175,network,Living Signal Field,Reading Room,"Excellent atlas material if direction, date, and evidentiary basis are encoded separately. Its central public claim is “Meluhha: the Indus world, written down by its trading partners.” The page has 19 estimated source entries, 1 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",19,1,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,11
meluhha,Meluhha: What Mesopotamia Called the Indus,For five centuries Mesopotamian scribes wrote of a maritime country to the east — and kept a translator for its language.,1146,language,Nocturnal Veḷi,Reading Room,"Best framed around established correspondences, competing hypotheses, and clearly bounded unknowns. Its central public claim is “For five centuries Mesopotamian scribes wrote of a maritime country to the east — and kept a translator for its language.” The page has 3 estimated source entries, 0 external links, 3 tables and 1 inline SVGs; source state: limited bibliography",3,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,1
mitanni,Mitanni: Indo-Aryan Names in a Syrian Kingdom,"Mitra, Varuṇa, Indra and the Nāsatyas are invoked in a Hittite treaty in northern Syria.",859,network,Living Signal Field,Reading Room,"Excellent atlas material if direction, date, and evidentiary basis are encoded separately. Its central public claim is “Mitra, Varuṇa, Indra and the Nāsatyas are invoked in a Hittite treaty in northern Syria.” The page has 3 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: limited bibliography",3,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,46
mlecha,Mleccha: The Word for Those Who Spoke Wrongly,MLE C HA [sic],8,deep-history,Nocturnal Veḷi,Reading Room,"Should foreground uncertainty and avoid converting linguistic or archaeological possibility into ancestry. Its central public claim is “MLE C HA [sic]” The page has 12 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",12,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,1
music,Tamil Pan to Raga: Music Systems of Ancient South Asia,The Tamil harp is extinct in India and still played in Burma.,1099,culture,Tamil Retrofuture,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The Tamil harp is extinct in India and still played in Burma.” The page has 0 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: no detected source section",0,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,46
not-the-same-thing,Vedism Is Not Hinduism: Distinguishing the Traditions,The Buddha was not arguing with Hinduism. There was no such thing.,2108,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The Buddha was not arguing with Hinduism. There was no such thing.” The page has 3 estimated source entries, 0 external links, 4 tables and 0 inline SVGs; source state: limited bibliography",3,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,3
one-script-many-kingdoms,"Brahmi Crossed Borders: One Script, Many Kingdoms","One script, from Afghanistan to Tamil Nadu — across a line Aśoka called foreign.",1251,deep-history,Nocturnal Veḷi,Reading Room,"Should foreground uncertainty and avoid converting linguistic or archaeological possibility into ancestry. Its central public claim is “One script, from Afghanistan to Tamil Nadu — across a line Aśoka called foreign.” The page has 13 estimated source entries, 1 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",13,1,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,2
one-verse,The Four Varnas Appear Together in One Rigvedic Verse,The explicit fourfold varṇa scheme appears together in one Rigvedic verse.,1980,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The explicit fourfold varṇa scheme appears together in one Rigvedic verse.” The page has 2 estimated source entries, 0 external links, 2 tables and 0 inline SVGs; source state: minimal source section",2,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,54
origin-myths,Origin Myths Made to Order: Genealogies for Power,"Origin myths were made to order — divine ancestry, retrofitted for whoever needed legitimacy.",1191,deep-history,Nocturnal Veḷi,Reading Room,"Should foreground uncertainty and avoid converting linguistic or archaeological possibility into ancestry. Its central public claim is “Origin myths were made to order — divine ancestry, retrofitted for whoever needed legitimacy.” The page has 8 estimated source entries, 2 external links, 1 tables and 0 inline SVGs; source state: visible bibliography plus live links",8,2,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,7
paid-in-cattle,Paid in Cattle: What Vedic Poets Were Given for Hymns,Poets sold reputation for livestock and itemised the fee in the hymn.,1272,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Poets sold reputation for livestock and itemised the fee in the hymn.” The page has 0 estimated source entries, 0 external links, 5 tables and 0 inline SVGs; source state: no detected source section",0,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,1
panini,Panini's Grammar and the Sanskrit It Standardised,"Pāṇini, Tolkāppiyar, and everyone else who was analysing language.",3015,formal-system,Living Signal Field,Reading Room,"Strong interactive explainer; derivations and technical notation need specialist verification. Its central public claim is “Pāṇini, Tolkāppiyar, and everyone else who was analysing language.” The page has 20 estimated source entries, 0 external links, 7 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",20,0,Split,Low,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,No,1
sacred-ash,Sacred Ash: Neolithic Cattle Ritual in South India,The ash on the forehead is older than the god who wears it.,1132,practice,Living Tiṇai,Reading Room,"Use material, textual, archaeological, and living-practice evidence as distinct layers. Its central public claim is “The ash on the forehead is older than the god who wears it.” The page has 7 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: limited bibliography",7,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,3
siddha-and-ayurveda,Siddha and Ayurveda Compared on Their Own Terms,"Two medical traditions, compared on their own terms.",3507,comparative-essay,Living Tiṇai,Reading Room,"Useful synthesis if unlike evidence systems are not forced into a single verdict. Its central public claim is “Two medical traditions, compared on their own terms.” The page has 28 estimated source entries, 1 external links, 2 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",28,1,Split,Low,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,No,1
sky,Star Names and Sky Knowledge in Ancient South Asia,"Two skies, one calendar.",3781,cosmology,Nocturnal Veḷi,Reading Room,"Visually compelling but vulnerable to retrojection and priority claims; separate observation, naming, and later computation. Its central public claim is “Two skies, one calendar.” The page has 14 estimated source entries, 0 external links, 6 tables and 1 inline SVGs; source state: substantial bibliography, mostly non-linked",14,0,Split,Low,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,No,54
sound-changes,Sound Changes: Dravidian Phonemes Sanskrit Could Not Write,What the mouth does to a name.,1898,comparative-visual,Living Signal Field,Reading Room,"Should lead with the visual relationship and make the schematic/measured distinction explicit. Its central public claim is “What the mouth does to a name.” The page has 0 estimated source entries, 0 external links, 3 tables and 0 inline SVGs; source state: no detected source section",0,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",Yes,55
steppe,Steppe Ancestry in South Asia: What the DNA Shows,"The steppe evidence is a set of dated individuals, not a migration route.",741,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The steppe evidence is a set of dated individuals, not a migration route.” The page has 2 estimated source entries, 0 external links, 1 tables and 1 inline SVGs; source state: minimal source section",2,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",No,47
the-archive,"The Archive: What Survived, What Was Lost, and Why",Everything that survives — and how little of it has been opened.,2052,collection-investigation,Extraction / Collection,Reading Room,"Supports the custody/extraction critique, but every institutional implication must be documented. Its central public claim is “Everything that survives — and how little of it has been opened.” The page has 1 estimated source entries, 0 external links, 5 tables and 1 inline SVGs; source state: minimal source section",1,0,Revise,Medium,"Add claim-level citations, qualify scope and chronology, expose competing interpretations, and reduce unsupported certainty.",Yes,51
the-borrowed-ancestor,The Borrowed Ancestor: How Local Myths Get Absorbed,Their own heroes were merged into someone else's story.,1809,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Their own heroes were merged into someone else's story.” The page has 16 estimated source entries, 2 external links, 0 tables and 0 inline SVGs; source state: visible bibliography plus live links",16,2,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,14
the-computed-dawn,Aryabhata and the Kali Yuga Date That Was Calculated,"The moment the world ""aged into darkness"" was never observed. It was calculated backward.",1248,cosmology,Nocturnal Veḷi,Reading Room,"Visually compelling but vulnerable to retrojection and priority claims; separate observation, naming, and later computation. Its central public claim is “The moment the world ""aged into darkness"" was never observed. It was calculated backward.” The page has 16 estimated source entries, 3 external links, 1 tables and 0 inline SVGs; source state: visible bibliography plus live links",16,3,Merge,Medium,Merge into `kali-yuga`; preserve unique evidence and redirect this URL.,No,5
the-curve,The Caste Vocabulary Curve Across the Vedic Corpus,"Caste was built, and the build is visible in the vocabulary.",4126,relational-analysis,Living Signal Field,Reading Room,"Well suited to interactive comparison if the underlying corpus/data and categories are exposed. Its central public claim is “Caste was built, and the build is visible in the vocabulary.” The page has 8 estimated source entries, 0 external links, 8 tables and 6 inline SVGs; source state: substantial bibliography, mostly non-linked",8,0,Split,Low,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,No,54
the-deep-root,Elamo-Dravidian: Testing a Deep Language Connection,The deep root of Dravidian points west — and four sciences agree.,1233,deep-history,Nocturnal Veḷi,Reading Room,"Should foreground uncertainty and avoid converting linguistic or archaeological possibility into ancestry. Its central public claim is “The deep root of Dravidian points west — and four sciences agree.” The page has 10 estimated source entries, 0 external links, 2 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",10,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,9
the-eastern-tradition,Greater Magadha: Sramana Traditions Were Not Vedic Reform,The Buddha and Mahāvīra were not reforming Hinduism. They were speaking from a different world.,1232,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “The Buddha and Mahāvīra were not reforming Hinduism. They were speaking from a different world.” The page has 5 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: limited bibliography",5,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,19
the-edits,The Edits: Later Insertions in the Vedic Corpus,Sixteen places where the record was adjusted.,1262,institutional-critique,Extraction / Collection,Reading Room,"Potentially important critical interpretation; needs especially transparent sourcing and right-of-reply discipline. Its central public claim is “Sixteen places where the record was adjusted.” The page has 11 estimated source entries, 0 external links, 1 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",11,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,1
the-firms,The Ritual Economy: Immortality Bought and Sold,One party bought immortality. The other party got it.,2191,institutional-critique,Extraction / Collection,Reading Room,"Potentially important critical interpretation; needs especially transparent sourcing and right-of-reply discipline. Its central public claim is “One party bought immortality. The other party got it.” The page has 0 estimated source entries, 0 external links, 4 tables and 0 inline SVGs; source state: no detected source section",0,0,Hold,Critical,Withhold from MVP until load-bearing claims receive claim-level citations and specialist/editorial review.,No,54
the-forest,Forest Peoples in the Sanskrit Record,Āraṇya “the elsewhere”,1678,ecology,Living Tiṇai,Reading Room,"A natural Living Tiṇai page if communities and landscapes are not reduced to illustrations. Its central public claim is “Āraṇya “the elsewhere”” The page has 9 estimated source entries, 0 external links, 2 tables and 0 inline SVGs; source state: substantial bibliography, mostly non-linked",9,0,Keep,Low,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,2
the-forts,"The Dasa Forts: Indus Country, But Centuries Too Late","Ninety-nine forts, in Indus country, three centuries too late.",2748,research-essay,Reading Room,Reading Room,"Potential Reading Room material; its readiness depends on claim-level citations, not prose confidence. Its central public claim is “Ninety-nine forts, in Indus country, three centuries too late.” The page has 1 estimated source entries, 0 external links, 3 tables and 1 inline SVGs; source state: minimal source section",1,0,Split,Medium,Split the argument or interactive/data layer from the long-form interpretation; preserve one canonical overview.,No,3
the-gap,The Gap Between the Indus and the Vedic Texts,Greek writing survives for 250 years and produces no literature. Then it stops for four centuries.,1297,deep-history,Nocturnal Veḷi,Reading Room,"Should foreground uncertainty and avoid converting linguistic or archaeological possibility into ancestry. Its central public claim is “Greek writing survives for 250 years and produces no literature. Then it stops for four centuries.” The page has 7 estimated source entries, 0 external links, 3 tables and 0 inline SVGs; source state: limited bibliography",7,0,Keep,Medium,"Preserve the core argument; complete citation, image-rights, accessibility, and copy review before publication.",No,1
