Claim-and-source risk register,,,,,,,
Triage of load-bearing claims requiring claim-level verification; not a verdict on truth or falsity.,,,,,,,
,,,,,,,
Slug,Central claim,Risk,Risk type(s),Source state,Verification required,Publication gate,Owner/status
gotra,"The founder effects are at the jāti, not the gotra — and that is exactly what the two rules predict.",High,absolute/proof language; thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
index,"Something was emptied out of this place. Here is what it held. A reproducible museum of ancient South Asia, from Meluhha to Keezhadi.",Medium,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
kali-yuga,The date that proves Indian antiquity was calculated in 499 CE with Greek mathematics.,High,absolute/proof language; thin or undetected bibliography,minimal source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
kural,"Thirteen hundred and thirty couplets on how to live, and the word for caste is not in any of them.",Medium,thin or undetected bibliography,minimal source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
music,The Tamil harp is extinct in India and still played in Burma.,Medium,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
one-verse,The explicit fourfold varṇa scheme appears together in one Rigvedic verse.,Medium,thin or undetected bibliography,minimal source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
origin-myths,"Origin myths were made to order — divine ancestry, retrofitted for whoever needed legitimacy.",Critical,,visible bibliography plus live links,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
paid-in-cattle,Poets sold reputation for livestock and itemised the fee in the hymn.,Medium,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
sound-changes,What the mouth does to a name.,Medium,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
steppe,"The steppe evidence is a set of dated individuals, not a migration route.",Medium,thin or undetected bibliography,minimal source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
the-archive,Everything that survives — and how little of it has been opened.,Medium,thin or undetected bibliography,minimal source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
the-borrowed-ancestor,Their own heroes were merged into someone else's story.,Critical,,visible bibliography plus live links,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
the-firms,One party bought immortality. The other party got it.,Critical,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
the-forts,"Ninety-nine forts, in Indus country, three centuries too late.",Medium,thin or undetected bibliography,minimal source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
the-killed,"The named enemies hold forts, grain, wives and sons — and the hymns celebrate killing them for pay.",Critical,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
the-king-they-claimed,They built a party around their own forgotten king. Then others claimed him.,Critical,,limited bibliography,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
the-medicine-question,"Traditional medicine, taken seriously — which means taken critically.",Critical,,visible bibliography plus live links,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
the-names,Three of the named enemies have names Sanskrit cannot parse.,Medium,thin or undetected bibliography,minimal source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
the-narrowing,"Women's status did not fade with time. It was narrowed, on purpose, as land and priesthood hardened.",Critical,,"substantial bibliography, mostly non-linked",Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
the-nine-enemies,Nine men are named as enemies. Each death has a beneficiary.,Medium,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
the-renaming,Nothing was forbidden. Everything was renamed.,Medium,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
therigatha,Seventy-three poems by named women — and most people have never read one.,High,absolute/proof language; thin or undetected bibliography,minimal source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
they-already-knew,"They already knew. In 1873, they said it out loud.",Critical,,"substantial bibliography, mostly non-linked",Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
what-the-children-are-taught,A civilisation was renamed in a textbook for eleven-year-olds.,Medium,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
what-they-had,No word for the plough until the last layer.,Medium,thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
what-varna-meant,Varṇa means colour. It never means occupation.,High,absolute/proof language; thin or undetected bibliography,no detected source section,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Revise before release,Unassigned
who-had-it-first,Who had it first.,Critical,origin/priority/arrival claim,"substantial bibliography, mostly non-linked",Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
why-the-ranked-defend-the-ranking,Why do people at the bottom of a hierarchy defend it?,Critical,,visible bibliography plus live links,Verify the exact adjacent claim against the cited primary text/data and at least one relevant specialist synthesis; record disagreement and scope.,Hold,Unassigned
