"backlog_id","title","current_site_coverage","current_prompt_coverage","prior_research_available","research_required","product_spec_required","technical_dependency","institutional_dependency","existing_route","proposed_destination","release","status","reason","owner_decision","final_zip_location"
"BL-011","Indus language programme","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 26 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-017, last IH-301; 03-REGISTERS/domain-e-hypothesis-eligibility.csv — E-8 to E-11 gate Para-Munda, the unidentified prefixing language, Masica's Language X and unattributed residue","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
"BL-012","Indo-Iranian / Iranian chronology programme","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 1 row matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, IH-109","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
"BL-013","Proto-Dravidian phonology instrument","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/domain-e-hypothesis-eligibility.csv — E-2 gates Proto-Dravidian as a reconstruction, not an attested language; 03-REGISTERS/domain-e-retroflex-residue.csv — 253 Rigvedic lemmata classified by whether the regular retroflexion rules derive the marked segment — adjacent evidence, Indo-Aryan not Proto-Dravidian","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
"BL-014","Tamil textual corpus parity","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 15 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-030, last IH-324","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
"BL-015","Pāli / Prakrit / Jain corpus expansion","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 11 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-023, last IH-302","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
"BL-016","Aśokan inscription corpus","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 21 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-023, last IH-361","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
"BL-017","Chinese pilgrim corpus","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
"BL-018","Archaeology source programme","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 17 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-029, last IH-360","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
"BL-019","Genetics evidence standard","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 15 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-024, last IH-359","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: II. Research first","",""
"BL-020","Universal Evidence Object","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: III. Build next","",""
"BL-021","Claims become first-class objects","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: III. Build next","",""
"BL-022","Relationships become first-class objects","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: III. Build next","",""
"BL-023","Evidence roles","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: III. Build next","",""
"BL-024","Revision history","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: III. Build next","",""
"BL-025","Artifact Atlas v2","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/domain-e-hydronyms.csv — 469 Rigvedic river-name occurrences with stanza, pada and stratum — place-and-time rows of the kind an atlas consumes","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: IV. Three flagship experiences","",""
"BL-026","PROVE IT","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: IV. Three flagship experiences","",""
"BL-027","WATER","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: IV. Three flagship experiences","",""
"BL-028","Object-first routes","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: V. Public experience","",""
"BL-029","Layered depth","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: V. Public experience","",""
"BL-030","Time-Space Explorer","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: V. Public experience","",""
"BL-031","Primary-source viewer","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: V. Public experience","",""
"BL-032","Search becomes evidence search","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: V. Public experience","",""
"BL-033","First children’s vertical slice","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 5 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-011, last IH-267","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VI. Children and learning","",""
"BL-034","My Field Bag","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VI. Children and learning","",""
"BL-035","Child certainty vocabulary","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VI. Children and learning","",""
"BL-036","Children on the design team","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VI. Children and learning","",""
"BL-037","Classroom mode","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 5 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-011, last IH-267","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VI. Children and learning","",""
"BL-038","WATER","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VII. Living Worlds","",""
"BL-039","FOOD","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VII. Living Worlds","",""
"BL-040","LANGUAGE","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VII. Living Worlds","",""
"BL-041","About Veḷi","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VIII. Institutional credibility","",""
"BL-042","Scholarly governance","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 1 row matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, IH-050","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VIII. Institutional credibility","",""
"BL-043","Correction policy","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","NONE IN 03-REGISTERS/","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VIII. Institutional credibility","",""
"BL-044","Funding independence","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 4 rows matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, first IH-011, last IH-313","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VIII. Institutional credibility","",""
"BL-045","Community authority","NOT ESTABLISHED — 06-BRIEFS/SITE-INVENTORY.md, the instructed source, does not exist in this repository; coverage not inferred from any other artefact (06-BACKLOG/README.md)","TITLE ONLY — 06-BACKLOG/BACKLOG-v2-ITEMS.md. Full original item text outstanding. Expansion prose in 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md is INHERITED-UNVERIFIED and is not the original text","03-REGISTERS/inherited-claims.csv — 1 row matched on subject by 04-AUDITS/backlog-coverage-build.py, all INHERITED-UNVERIFIED, IH-081","","","","","NOT ESTABLISHED — no route inventory in this repository (06-BACKLOG/README.md)","","","","Original section: VIII. Institutional credibility","",""
