"field","zurich_lemma","grassmann_lemma","tokens","keyword","verdict","reason","gloss"
"MARK","nā́satya-","nā́satya-","101","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Du., Götternamen, Bezeichnung der beiden Aśvin; wohl Vriddhibildung zu *nas-atí-, von NAS"
"MARK","ásura-","ásura-","71","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","göttlich, mächtig; m. Gott, Herr, Bezeichnung einer Gruppe von Göttern, 'Asura'; in jüngeren Textschichten des RV (10)  zu widergöttlichen Dämonen abgewertet"
"MARK","paṇí-","paṇí-","50","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung eines den Göttern feindlichen Dämons, des Oberhauptes der götterfeindlichen Gruppe der paṇáyas"
"MARK","púraṃdhi-","púraṃdhi-","48","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","etwa: 'Segensfülle, Reichtum'; auch Personifikation der Segensfülle, Name einer Göttin; Bezeichnung einer fruchtbaren Frau"
"MARK","rákṣas-","rákṣas-","47","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Beschädigung; Bezeichnung nächtlicher Unholde"
"MARK","uśíj-","uśíj-","31","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Epitheton von Opferern; auch des Agni;
Bezeichnung von Angehörigen eines Clans bzw. einer bestimmten Klasse von Opferern; Titel?"
"MARK","párijman-","párijman-","28","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","wohl 'ringsherum seiend'; Bezeichnung von Göttern und göttlichen Elementen; in 1.112.4 nach Geldner ein Günstling der Aśvin"
"MARK","śūṣá-","śūṣá-","23","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","eine Bezeichnung für Kämpfer, Waffen, das Preislied, den Soma"
"MARK","keśín-","keśín-","21","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","langhaarig; auch Bezeichnung der Flammen, des Rosses, u.a."
"MARK","gandharvá-","gandharvá-","20","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung mythischer Wesen, in besonderer Beziehung zu Soma stehend"
"MARK","nidhí-","nidhí-","16","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","bezeichnet den Ort des Niederlegens (Aufbewahrens) oder das Niedergelegte (DHĀ?)"
"MARK","kakṣī́vant-","kakṣī́vant-","14","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","N. pr.; Name eines r̥ṣi
abgeleitet wohl von kákṣa- ('Körperteilbezeichnung' oder 'Gebüsch')"
"MARK","dhātár-","dhātár-","14","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Anstifter, Vollführer; Bezeichnung der Priester, die das Opfer anordnen, die Opfergabe darbringen; Schöpfer"
"MARK","atithigvá-","atithigvá-","13","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Personenname, etwa 'Gast-Rinder habend' (als Bezeichnung für jem., der mit seiner Wanderherde herumzieht?) oder 'Rinder für (seine) Gäste habend, aufwartend'?"
"MARK","dhiyā́vasu-","dhiyā́vasu-","11","zeichn","FALSE-POSITIVE","METALANGUAGE. The gloss is a starred paraphrase of the compound's structure, '*Gut habend das durch Gedanken gekennzeichnet ist', not a sense of the word.","an achtsamer Fürsorge reich
['*Gut habend das durch Gedanken gekennzeichnet ist'?]"
"MARK","auśijá-","auśijá-","10","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","zu uśíj- gehörig, von (den) uśíj- stammend; (Vriddhibildung von uśíj-, einer Bezeichnung von Angehörigen eines Clans bzw. einer bestimmten Klasse von Opferern)"
"MARK","prabhú-","prabhú-","9","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","'hervorragend, mächtig, ausgezeichnet' < *'vorne, voran seiend' (')"
"MARK","ghr̥tápr̥ṣṭha-","ghr̥tápr̥ṣṭha-","9","strich","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'bestrichen', smeared, contains strich.","dessen Rücken mit Fett, Ghee bestrichen ist (gesagt von Agni)"
"MARK","√śad-","√ śad-","9","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'sich auszeichnen' means to excel.","sich auszeichnen, hervorragen, triumphieren"
"MARK","náhus-","náhus-","9","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","náhuṣ(a)-: wohl Bezeichnung eines Stammes oder N. pr., Mannesname, wohl 'Name eines Spenders' (RV 01.122.8.10.11, 08.008.03)"
"MARK","paruṣá-","paruṣá-","9","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","eine Farbbezeichnung (von Rindern, Wolle), wohl: 'grau, graubraun, schmutzfarben, schmutzig, struppig'; in 6.56.3 paruṣé gávi vielleicht ""zerlegtes N. pr."" (Geldner)"
"MARK","ī́vant-","ī́vant-","8","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","so gross, so viel, so ausgezeichnet"
"MARK","víbhūti-","víbhūti-","7","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","ausgezeichnet, mächtig; reichlich, herrlich"
"MARK","tríkadruka-","tríkadruka-","7","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Plural, wohl: 'Bezeichnung bestimmter Soma-Gefässe', wohl in Zusammenhang mit kadrū́- zu betrachten
GM: drei Kadrugefässe, Zusammenstellung von drei kadrū-Gefässen zu einer Darbietung"
"MARK","dā́nu- 2","dā́nu- 2","7","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","bezeichnet den Regen, 'träufelnd, träufelnde Flüssigkeit'; 'Gabe' (Regen als Himmelsgabe)"
"MARK","āṅgirasá-","āṅgirasá-","7","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","von den aṅgiras stammend; m. Name bzw. Bezeichnung von Sängerfamilien"
"MARK","gātuvíttama-","gātuvíttama-","7","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","den Weg am besten findend, über den Weg ausgezeichnet Bescheid wissend, der beste Pfadfinder"
"MARK","urváśī-","urváśī-","6","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Name einer Apsaras bzw. Name oder Bezeichnung einiger göttlicher oder halbgöttlicher Wesen; Bed. unklar; 'weithin reichende Wünsche habend'?, 'Schafweibchen'?, 'weithin reichendes Geschoss habend'?"
"MARK","prajā́pati-","prajā́pati-","6","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Herr der Nachkommenschaft, der Zeugung; Herr der Geschöpfe; Bezeichnung eines Gottes, welcher der Zeugung vorsteht und Nachkommenschaft gibt"
"MARK","áṇvī-","áṇvī-","5","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung der Finger, die bei der Somabereitung tätig sind"
"MARK","suśrī́-","suśrī́-","5","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","schönen Glanz habend, glanzvoll, trefflich, vollkommen, ausgezeichnet"
"MARK","śyā́vī-","śyā́vī-","4","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","dunkelbraune Stute; Bezeichnung der dunklen Nacht"
"MARK","pótar-","pótar-","4","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung eines Opferpriesters"
"MARK","ánu-","ánu-","4","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","(meist Plur.) Bezeichnung eines Volkes (bzw. von dessen Angehörigen), zusammen mit anderen Völkern erwähnt"
"MARK","aśvyá-","aśvyá-","4","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Stammesname des Vaśa; eine andere Person bezeichnet wohl a° in RV 08.024.14)"
"MARK","br̥haddivā́-","br̥haddivá-","4","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","im hohen Himmel weilend, himmlisch; f. Bezeichnung einer auch als ""Mutter"" bezeichneten Göttin, welche besonbders neben íḍā, neben sárasvatī und rākā́ genannt wird"
"MARK","viśvā́vasu-","viśvā́vasu-","4","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","alles Gut besitzend; m. Beiname eines Gandharven bzw. Bezeichnung desselben"
"MARK","náhuṣa-","náhuṣa-","3","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","náhuṣ(a)-: wohl Bezeichnung eines Stammes oder N. pr., Mannesname"
"MARK","áśvabudhya-","áśvabudhya-","3","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","durch Rosse bemerkenswert oder ausgezeichnet"
"MARK","kā́rṣman-","kā́rṣman-","3","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Ziel des Wettrennens (wohl < 'das Ziel bezeichnende Furche' zu KARṢ)"
"MARK","adŕ̥ṣṭa-","adŕ̥ṣṭa-","3","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","ursprünglich 'nicht gesehen', daher Bezeichnung nicht gesehener giftiger Gewürme"
"MARK","anarváṇa-","anarváṇa-","3","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","unverletzlich, unüberwindlich, besonders m. Bezeichnung eines mit der Aditi zusammen genannten Gottes; Tichy: 'ohne Gegner, Konkurrenten'"
"MARK","sārameyá-","sārameyá-","3","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","N. pr., Nachkomme der sarámā; Bezeichnung von Hunden"
"MARK","kimīdín-","kimīdín-","3","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung einer Klasse von Unholden"
"MARK","mū́radeva-","mū́radeva-","3","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung gewisser zauberkundiger Unholde, wohl 'Wurzelanbeter' oder vielleicht 'Maulgötter'; 'deren Götter Toren sind' bleibt denkbar"
"MARK","vaiyaśvá-","vaiyaśvá-","3","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Nachkomme des viaśva (als solcher wird viśvamanas bezeichnet); Patronymische Vr̥ddhiableitung"
"MARK","aṃśumánt-","aṃśumánt-","3","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","aṃśú- habend, aṃśú-hältig, reich an Soma; f. Bezeichnung des Somastroms"
"MARK","kṣatraśrī́-","kṣatraśrī́-","2","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'sich auszeichnen' means to excel.","'die Herrschaft zur Vollendung bringend'; 'durch seine, in seiner Herrschaft s. auszeichnend'; 'dessen Vortrefflichkeit in seiner Herrschaft besteht'; oder f. 'die Vollkommenheit der Herrschaft'"
"MARK","dáśadyu-","dáśadyu-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung eines Kampfstiers; 'zehn Himmel habend'?; UR: '< den Himmel beissend'?"
"MARK","varā́hu-","varā́hu-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","wohl primär 'Eber'; AiGr.: Bezeichnung gewisser göttlicher Wesen"
"MARK","praśāstár-","praśāstár-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Anweiser (Bezeichnung eines Priesters, von Agni gebraucht)"
"MARK","nārṣadá-","nārṣadá-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","'zu nr̥ṣád- gehörig', Vriddhiableitung von nr̥ṣád-; vielleicht patronymisches N. pr. 'Sohn, Abkömmling von nr̥ṣád- aber möglicherweise auch Bezeichnung für das befestigte Anwesen, den Kuhpferch (?) o ä. des nr̥ṣád-"
"MARK","jaráṇā-","jaráṇā-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","(Bedeutung unklar)
GM: 'das Rauschen'
Geldner i 165: ''jaráṇa (zweifellos = jaraṇá) bezeichnet die gebrauchten alten Somagefässe, im Gegensatz zum neugeborenen Soma.''
Geldner i 198: ?"
"MARK","víbhūtadyumna-","víbhūtadyumna-","2","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","ausgezeichnete Macht, Kraft habend"
"MARK","rathaṃtará-","rathaṃtará-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung eines Sāman"
"MARK","kuṣumbhaká-","kuṣumbhaká-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung eines giftigen Insekts
(kuṣúmbha- Giftbläschen eines Insekts)"
"MARK","vā́jaśravas-","vā́jaśravas-","2","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","durch reiche Güter, Siegesrosse ausgezeichnet"
"MARK","víbhū-","víbhū-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung einer Götterklasse, vielleicht mit den R̥bhus identisch"
"MARK","vibhván-","vibhván-","2","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","weitreichend; GM auch noch: m. einer der drei r̥bhu; ausgezeichnet, herrlich erscheinend"
"MARK","citrárāti-","citrárāti-","2","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","ausgezeichnete bzw. glänzende Gaben habend"
"MARK","dīrgháprasadman-","dīrgháprasadman-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","weitreichenden Wohnsitz darbietend (substantivisch zur Bezeichnung des Erdkreises)"
"MARK","citrárādhas-","citrárādhas-","2","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","der ausgezeichnete Gaben schenkt (u.a. von Agni gesagt)"
"MARK","vibhū́vasu-","vibhū́vasu-","2","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'ausgezeichnet' means excellent and contains the substring zeichn.","dessen Gut ausgezeichnet ist"
"MARK","uttānápad-","uttānápad-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","mit ausgestreckten Beinen [zum Gebären] (Bezeichnung der Weltmutter)"
"MARK","durṇā́man-","durṇā́man-","2","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","eigentlich 'bösen Namen habend', daher Bezeichnung eines dämonischen Krankheitsgeistes"
"MARK","yajñaśrī́-","yajñaśrī́-","1","zeichn","FALSE-POSITIVE","GERMAN MORPHOLOGY. 'sich auszeichnen' means to excel.","'das Opfer vollkommen machend' oder 'im Opfer, durch das Opfer sich auszeichnend' oder 'die Vortrefflichkeit des Opfers/im Opfer habend' oder f. 'Glanz des Opfers' (?)"
"MARK","r̥jīṣá-","r̥jīṣá-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung des Indra, cf. r̥jīṣín-
als Farbwort vermutlich von r̥jyá- '(rötlich) glänzend, rasch'"
"MARK","dā́nu- 1","dā́nu- 2","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","bezeichnet den Regen, 'träufelnd, träufelnde Flüssigkeit'; 'Gabe' (Regen als Himmelsgabe)"
"MARK","piśá-","piśá-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","mag ein geflecktes Tier bezeichnen"
"MARK","añjasī́-","añjasī́-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","die Rasche; Bezeichnung eines Stroms, der in der Luft gedacht wird"
"MARK","ā́vayā(s)-","ā́vayā(s)-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","Bezeichnung eines Priesters; GM hat ā́vayāj- 'Bezeichnung eines Priesters, der mit den Opferanteilen zu tun hat'"
"MARK","vr̥janī́-","vr̥janī́-","1","bezeichn","FALSE-POSITIVE","METALANGUAGE. Grassmann's German 'Bezeichnung eines Volkes', 'the designation of a people', describes what the dictionary entry does, not what the Vedic word means.","unklar; GM: Bezeichnung der Kühe"
