route,recommended_route_action,what_it_does,programme_coverage,load_bearing_claims,known_inaccuracies,missing_evidence,research_dependencies,missing_visitor_action,recommended_visual_treatment,related_routes,recommended_release,release_role,inspection_basis,claim_audit_scope,source_url
jatization.html,KEEP AS CONTEXT,"Published caste law page; 1378 visible words; H1: A colour-word became a cage. Untouchability came last, and by design.",BL-1; BL-5; BL-6; BL-18; BL-26; BL-31; BL-52,"A colour-word became a cage. Untouchability came last, and by design. | The word for birth was rare, then everywhere. | Jātization: how varṇa froze. | The untouchable arrives last.",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Jatization: How Varna Hardened into Birth-Bound Caste into claim-to-record links; structural citation signals (11) are not verification.,03-REGISTERS/rigveda-varna.csv; rigveda-varna-occurrences.csv; CORRECTIONS-PENDING.md; 03-REGISTERS/inherited-claims.csv,Track one term or institution across dated records and identify where the archive cannot support continuity.,"Term-and-institution timeline with place/genre/date filters, counterexamples and archive gaps; avoid a single inevitable curve. For this route, centre the composition on “Jatization: How Varna Hardened into Birth-Bound Caste”.",birth-was-not-always-destiny.html; caste-enforcement-mechanism.html; caste-survives-conversion.html; caste-was-law.html; climbing-the-ladder.html; counted-as-nothing.html; non-brahmanical-legal-traditions.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 21 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/jatization.html
keeladi.html,CORRECT CLAIMS,Published indus archaeology page; 1305 visible words; H1: Keeladi: a literate southern city — and an excavation the state could not leave alone.,BL-11; BL-18; BL-25; BL-26; BL-27; BL-28; BL-30; BL-31; BL-66; BL-67,Keeladi: a literate southern city — and an excavation the state could not leave alone. | What came out of the ground. | The finding that mattered most: everyone could write. | Then the record itself became the story.,"The title asserts a literate Tamil city; marks/graffiti do not by themselves establish population-wide literacy, language or script identity.","Resolve the named correction before prominence; bind every changed claim to locator, evidence role, counter-evidence and revision.",06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,"Excavate context, date the layer and decide what the object can and cannot establish.","Excavation/context view with trench, layer, object, date range and alternative reading; movement maps separate material from people and language. For this route, centre the composition on “Keeladi: A Literate Tamil City from 6th Century BCE”.",before-the-indus.html; brahmi.html; excavation-bias-funding.html; indus-to-vedic-gap.html; material-culture-ancient-south-asia.html; meluhha-trade.html; one-script-many-kingdoms.html,RELEASE 1,flagship,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 17 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/keeladi.html
kinship-terms-south-asia.html,KEEP AS CONTEXT,"Published dravidian page; 6129 visible words; H1: Cousin marriage, polyandry and matriliny in South Asia — and why the north–south story does not survive contact with Iran.",BL-9; BL-10; BL-11; BL-13; BL-14; BL-18; BL-31; BL-40; BL-58; BL-69,"Cousin marriage, polyandry and matriliny in South Asia — and why the north–south story does not survive contact with Iran. | Xwēdōdah — the Iranian practice that breaks the framing | Close-kin marriage across the ancient world | Do the uniparental markers matter?",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Kinship Terms and What They Reveal About Ancient Society into claim-to-record links; structural citation signals (7) are not verification.,03-REGISTERS/domain-e-claims.csv; 03-REGISTERS/domain-e-measurements.csv; 03-REGISTERS/domain-m-brahui-position.csv; 04-AUDITS/domain-m-adversarial-review-2026-09-07.md; 05-HOLDS/HOLD-004-north-dravidian-comparative-evidence.md; open research PR #22,"Compare forms and choose which history each observation supports, complicates or cannot decide.","Side-by-side form/sound table with audio only where consented; map attestation, contact and proposed shift separately; no family-tree certainty from lexical counts. For this route, centre the composition on “Kinship Terms and What They Reveal About Ancient Society”.",dravidian-sounds-sanskrit-lacks.html; elamo-dravidian-hypothesis.html; the-deep-root.html; the-father-tongue.html; the-languages-we-lost.html; the-northwest-cousin.html; the-plateau.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 45 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/kinship-terms-south-asia.html
kural.html,KEEP AS CONTEXT,"Published tamil page; 952 visible words; H1: Thirteen hundred and thirty couplets on how to live, and the word for caste is not in any of them.",BL-14; BL-18; BL-31; BL-39; BL-40; BL-58; BL-61; BL-69,"Thirteen hundred and thirty couplets on how to live, and the word for caste is not in any of them. | Kuṟaḷ 972 | And 409, which goes further | What the text does have",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Tirukkural: Tamil Ethics Without Caste or Ritual into claim-to-record links; structural citation signals (5) are not verification.,06-BRIEFS/mvp-fifteen/10-kural.md; 06-BRIEFS/mvp-fifteen/05-tinai.md; 06-BRIEFS/mvp-fifteen/10-kural.md; 06-BRIEFS/mvp-fifteen/11-sound-changes.md; 02-SOURCES/access-ledger.csv; NONE LOCATED for an accepted Tamil-corpus parity set,"Move among text, commentary, material setting and living interpretation without collapsing them.","Text/object/audio encounter separating early textual meaning, commentary, later/living interpretation and MelaKeela’s contemporary use; no generic landscape decoration. For this route, centre the composition on “Tirukkural: Tamil Ethics Without Caste or Ritual”.",music.html; the-guilds-and-the-raid.html; the-lost-harp.html; tinai.html; where-music-begins.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 29 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/kural.html
manuscript-custody.html,KEEP AS CONTEXT,Published archive power page; 1383 visible words; H1: Every text was kept by someone with something at stake.,BL-6; BL-18; BL-26; BL-31; BL-42; BL-43; BL-45; BL-52; BL-55,Every text was kept by someone with something at stake. | The standing question: whose record is this? | The schism: what Yājñavalkya actually rejected | What happened to those who refused,No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Manuscript Custody: Who Held the Texts and Who Was Kept Out into claim-to-record links; structural citation signals (5) are not verification.,06-BRIEFS/mvp-fifteen/14-custody.md; 04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv; 04-AUDITS/BIAS-FAILURE-LOG.csv; 06-BRIEFS/mvp-fifteen/14-custody.md; 06-BRIEFS/mvp-fifteen/15-the-archive.md,"Trace a claim backward through author, archive, translation, funding and omission.","Source-genealogy network showing who recorded, preserved, translated, funded and excluded; motive appears only when documented. For this route, centre the composition on “Manuscript Custody: Who Held the Texts and Who Was Kept Out”.",authorship-attribution-ancient-texts.html; chains-of-transmission.html; foreign-accounts-ancient-india.html; forest-peoples-sanskrit-record.html; indology.html; naming-in-ancient-india.html; oral-traditions-unwritten.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 16 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/manuscript-custody.html
material-culture-ancient-south-asia.html,KEEP AS CONTEXT,Published indus archaeology page; 1437 visible words; H1: No word for the plough until the last layer.,BL-11; BL-18; BL-25; BL-26; BL-27; BL-28; BL-30; BL-31; BL-66; BL-67,No word for the plough until the last layer. | Settlement — the inversion | Agriculture — the decisive absence | Trade — almost nothing,No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on What They Had: Material Culture of Ancient South Asia into claim-to-record links; structural citation signals (2) are not verification.,06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,"Excavate context, date the layer and decide what the object can and cannot establish.","Excavation/context view with trench, layer, object, date range and alternative reading; movement maps separate material from people and language. For this route, centre the composition on “What They Had: Material Culture of Ancient South Asia”.",before-the-indus.html; brahmi.html; excavation-bias-funding.html; indus-to-vedic-gap.html; keeladi.html; meluhha-trade.html; one-script-many-kingdoms.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 45 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/material-culture-ancient-south-asia.html
meluhha-trade.html,KEEP AS CONTEXT,"Published indus archaeology page; 1684 visible words; H1: Meluhha: the Indus world, written down by its trading partners.",BL-11; BL-18; BL-25; BL-26; BL-27; BL-28; BL-30; BL-31; BL-66; BL-67,"Meluhha: the Indus world, written down by its trading partners. | The land the Sumerians called Meluhha. | The proof the Indus was there: its own seals turned up first. | The translator.",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Meluhha Trade: The Indus Seen Through Mesopotamia into claim-to-record links; structural citation signals (12) are not verification.,06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,"Excavate context, date the layer and decide what the object can and cannot establish.","Excavation/context view with trench, layer, object, date range and alternative reading; movement maps separate material from people and language. For this route, centre the composition on “Meluhha Trade: The Indus Seen Through Mesopotamia”.",before-the-indus.html; brahmi.html; excavation-bias-funding.html; indus-to-vedic-gap.html; keeladi.html; material-culture-ancient-south-asia.html; one-script-many-kingdoms.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 18 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/meluhha-trade.html
mitanni.html,DEEPEN,"Published rigveda page; 902 visible words; H1: Mitra, Varuṇa, Indra and the Nāsatyas are invoked in a Hittite treaty in northern Syria.",BL-1; BL-2; BL-5; BL-6; BL-12; BL-18; BL-31; BL-52,"Mitra, Varuṇa, Indra and the Nāsatyas are invoked in a Hittite treaty in northern Syria. | What the documents say | What this does to the chronology | The detail that connects to this platform's own data",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Mitanni: Indo-Aryan Names in a Syrian Kingdom into claim-to-record links; structural citation signals (3) are not verification.,03-REGISTERS/rigveda-pur-family.csv; 03-REGISTERS/rigveda-pur-passages.csv; 03-REGISTERS/rigveda-varna.csv; 03-REGISTERS/rigveda-varna-occurrences.csv; 04-AUDITS/rigveda-pur-family-method.md; 06-BRIEFS/pur-4j-corpus.md; open research PR #30,Test a public count by inspecting included and excluded occurrences in context.,"Searchable verse/source viewer with lemma, form, translation variants, passage context and counted/not-counted reason; never use book order as a date axis. For this route, centre the composition on “Mitanni: Indo-Aryan Names in a Syrian Kingdom”.",caste-vocabulary-curve.html; criminalised-today.html; dasa-forts-rigveda.html; four-varnas-one-verse.html; geography-in-vedic-texts.html; mlecha.html; paid-in-cattle.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 43 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/mitanni.html
mlecha.html,DEEPEN,Published rigveda page; 51 visible words; H1: NONE,BL-1; BL-2; BL-5; BL-6; BL-12; BL-18; BL-31; BL-52,Mleccha: The Word for Those Who Spoke Wrongly,No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Mleccha: The Word for Those Who Spoke Wrongly into claim-to-record links; structural citation signals (1) are not verification.,03-REGISTERS/rigveda-pur-family.csv; 03-REGISTERS/rigveda-pur-passages.csv; 03-REGISTERS/rigveda-varna.csv; 03-REGISTERS/rigveda-varna-occurrences.csv; 04-AUDITS/rigveda-pur-family-method.md; 06-BRIEFS/pur-4j-corpus.md; open research PR #30,Test a public count by inspecting included and excluded occurrences in context.,"Searchable verse/source viewer with lemma, form, translation variants, passage context and counted/not-counted reason; never use book order as a date axis. For this route, centre the composition on “Mleccha: The Word for Those Who Spoke Wrongly”.",caste-vocabulary-curve.html; criminalised-today.html; dasa-forts-rigveda.html; four-varnas-one-verse.html; geography-in-vedic-texts.html; mitanni.html; paid-in-cattle.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 14 links; scripts assets/js/mlecha.js; assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/mlecha.html
music.html,DEEPEN,Published tamil page; 1172 visible words; H1: The Tamil harp is extinct in India and still played in Burma.,BL-14; BL-18; BL-31; BL-39; BL-40; BL-58; BL-61; BL-69,The Tamil harp is extinct in India and still played in Burma. | The yāḻ | The saung-gauk | Paṇ and rāga,No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Tamil Pan to Raga: Music Systems of Ancient South Asia into claim-to-record links; structural citation signals (2) are not verification.,06-BRIEFS/mvp-fifteen/05-tinai.md; 06-BRIEFS/mvp-fifteen/10-kural.md; 06-BRIEFS/mvp-fifteen/11-sound-changes.md; 02-SOURCES/access-ledger.csv; NONE LOCATED for an accepted Tamil-corpus parity set,"Move among text, commentary, material setting and living interpretation without collapsing them.","Text/object/audio encounter separating early textual meaning, commentary, later/living interpretation and MelaKeela’s contemporary use; no generic landscape decoration. For this route, centre the composition on “Tamil Pan to Raga: Music Systems of Ancient South Asia”.",kural.html; the-guilds-and-the-raid.html; the-lost-harp.html; tinai.html; where-music-begins.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 43 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/music.html
naming-in-ancient-india.html,CORRECT CLAIMS,Published archive power page; 1396 visible words; H1: Three of the named enemies have names Sanskrit cannot parse.,BL-6; BL-18; BL-26; BL-31; BL-42; BL-43; BL-45; BL-52; BL-55,"Three of the named enemies have names Sanskrit cannot parse. | Group one — transparent Sanskrit, and mostly about drought and harvest | Group two — no Sanskrit etymology, and these are the ones with forts | And the name on the other side",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Names and Naming in the Ancient South Asian Record into claim-to-record links; structural citation signals (4) are not verification.,04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv; 04-AUDITS/BIAS-FAILURE-LOG.csv; 06-BRIEFS/mvp-fifteen/14-custody.md; 06-BRIEFS/mvp-fifteen/15-the-archive.md,"Trace a claim backward through author, archive, translation, funding and omission.","Source-genealogy network showing who recorded, preserved, translated, funded and excluded; motive appears only when documented. For this route, centre the composition on “Names and Naming in the Ancient South Asian Record”.",authorship-attribution-ancient-texts.html; chains-of-transmission.html; foreign-accounts-ancient-india.html; forest-peoples-sanskrit-record.html; indology.html; manuscript-custody.html; oral-traditions-unwritten.html,RELEASE 1,safety correction,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 44 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/naming-in-ancient-india.html
non-brahmanical-legal-traditions.html,KEEP AS CONTEXT,Published caste law page; 2883 visible words; H1: Dozens of legal systems were operating. One was in a single volume. That one became law.,BL-1; BL-5; BL-6; BL-18; BL-26; BL-31; BL-52,Dozens of legal systems were operating. One was in a single volume. That one became law. | The nine most documented | The fuller list | Thesawalamai — what happens when a customary system IS codified,No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Law Beyond the Dharmasastra: Other Legal Traditions into claim-to-record links; structural citation signals (6) are not verification.,06-BRIEFS/mvp-fifteen/13-the-other-laws.md; 03-REGISTERS/rigveda-varna.csv; rigveda-varna-occurrences.csv; CORRECTIONS-PENDING.md; 03-REGISTERS/inherited-claims.csv,Track one term or institution across dated records and identify where the archive cannot support continuity.,"Term-and-institution timeline with place/genre/date filters, counterexamples and archive gaps; avoid a single inevitable curve. For this route, centre the composition on “Law Beyond the Dharmasastra: Other Legal Traditions”.",birth-was-not-always-destiny.html; caste-enforcement-mechanism.html; caste-survives-conversion.html; caste-was-law.html; climbing-the-ladder.html; counted-as-nothing.html; jatization.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 46 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/non-brahmanical-legal-traditions.html
one-script-many-kingdoms.html,KEEP AS CONTEXT,"Published indus archaeology page; 1302 visible words; H1: One script, from Afghanistan to Tamil Nadu — across a line Aśoka called foreign.",BL-11; BL-18; BL-25; BL-26; BL-27; BL-28; BL-30; BL-31; BL-66; BL-67,"One script, from Afghanistan to Tamil Nadu — across a line Aśoka called foreign. | The reach. | The border the emperor drew himself. | And it may not have started in the north at all.",No specific factual error established here; later claim audit remains required.,"Convert the load-bearing propositions on Brahmi Crossed Borders: One Script, Many Kingdoms into claim-to-record links; structural citation signals (10) are not verification.",06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,"Excavate context, date the layer and decide what the object can and cannot establish.","Excavation/context view with trench, layer, object, date range and alternative reading; movement maps separate material from people and language. For this route, centre the composition on “Brahmi Crossed Borders: One Script, Many Kingdoms”.",before-the-indus.html; brahmi.html; excavation-bias-funding.html; indus-to-vedic-gap.html; keeladi.html; material-culture-ancient-south-asia.html; meluhha-trade.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 19 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/one-script-many-kingdoms.html
oral-traditions-unwritten.html,DEEPEN,Published archive power page; 1094 visible words; H1: Writing is not where things start. It is where claims start.,BL-6; BL-18; BL-26; BL-31; BL-42; BL-43; BL-45; BL-52; BL-55,"Writing is not where things start. It is where claims start. | The Piṅgala correction | What documentation actually selects for | The naming error, and the clearest case is a bird",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on The Unwritten: Oral Traditions That Left No Text into claim-to-record links; structural citation signals (2) are not verification.,04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv; 04-AUDITS/BIAS-FAILURE-LOG.csv; 06-BRIEFS/mvp-fifteen/14-custody.md; 06-BRIEFS/mvp-fifteen/15-the-archive.md,"Trace a claim backward through author, archive, translation, funding and omission.","Source-genealogy network showing who recorded, preserved, translated, funded and excluded; motive appears only when documented. For this route, centre the composition on “The Unwritten: Oral Traditions That Left No Text”.",authorship-attribution-ancient-texts.html; chains-of-transmission.html; foreign-accounts-ancient-india.html; forest-peoples-sanskrit-record.html; indology.html; manuscript-custody.html; naming-in-ancient-india.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 36 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/oral-traditions-unwritten.html
origin-myths.html,KEEP AS CONTEXT,"Published archive power page; 1277 visible words; H1: Origin myths were made to order — divine ancestry, retrofitted for whoever needed legitimacy.",BL-6; BL-18; BL-26; BL-31; BL-42; BL-43; BL-45; BL-52; BL-55,"Origin myths were made to order — divine ancestry, retrofitted for whoever needed legitimacy. | Caught in the act: demons re-fathered as kings. | The template: descent from Brahmā. | The pattern the platform already documents.",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Origin Myths Made to Order: Genealogies for Power into claim-to-record links; structural citation signals (7) are not verification.,04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv; 04-AUDITS/BIAS-FAILURE-LOG.csv; 06-BRIEFS/mvp-fifteen/14-custody.md; 06-BRIEFS/mvp-fifteen/15-the-archive.md,"Trace a claim backward through author, archive, translation, funding and omission.","Source-genealogy network showing who recorded, preserved, translated, funded and excluded; motive appears only when documented. For this route, centre the composition on “Origin Myths Made to Order: Genealogies for Power”.",authorship-attribution-ancient-texts.html; chains-of-transmission.html; foreign-accounts-ancient-india.html; forest-peoples-sanskrit-record.html; indology.html; manuscript-custody.html; naming-in-ancient-india.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 23 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/origin-myths.html
paid-in-cattle.html,DEEPEN,Published rigveda page; 1345 visible words; H1: Poets sold reputation for livestock and itemised the fee in the hymn.,BL-1; BL-2; BL-5; BL-6; BL-12; BL-18; BL-31; BL-52,"Poets sold reputation for livestock and itemised the fee in the hymn. | The same institution, family-wide | Which version paid off most | RV 10.107 — read it as what it is",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Paid in Cattle: What Vedic Poets Were Given for Hymns into claim-to-record links; structural citation signals (2) are not verification.,03-REGISTERS/rigveda-pur-family.csv; 03-REGISTERS/rigveda-pur-passages.csv; 03-REGISTERS/rigveda-varna.csv; 03-REGISTERS/rigveda-varna-occurrences.csv; 04-AUDITS/rigveda-pur-family-method.md; 06-BRIEFS/pur-4j-corpus.md; open research PR #30,Test a public count by inspecting included and excluded occurrences in context.,"Searchable verse/source viewer with lemma, form, translation variants, passage context and counted/not-counted reason; never use book order as a date axis. For this route, centre the composition on “Paid in Cattle: What Vedic Poets Were Given for Hymns”.",caste-vocabulary-curve.html; criminalised-today.html; dasa-forts-rigveda.html; four-varnas-one-verse.html; geography-in-vedic-texts.html; mitanni.html; mlecha.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 44 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/paid-in-cattle.html
panini.html,DEEPEN,"Published religion text page; 3088 visible words; H1: Pāṇini, Tolkāppiyar, and everyone else who was analysing language.",BL-6; BL-15; BL-16; BL-17; BL-18; BL-31; BL-52,"Pāṇini, Tolkāppiyar, and everyone else who was analysing language. | The object itself | What it actually does | Now everything else, by date",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Panini's Grammar and the Sanskrit It Standardised into claim-to-record links; structural citation signals (11) are not verification.,03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv; NONE LOCATED for accepted Pāli/Prakrit/Jain/Aśokan/Chinese-pilgrim corpus parity,"Compare who is speaking and whether the source is self-description, opponent report or later transmission.","Parallel source/voice viewer that distinguishes self-description, rival report, later commentary and modern reconstruction. For this route, centre the composition on “Panini's Grammar and the Sanskrit It Standardised”.",brahmavadini.html; bronkhorst.html; how-buddhism-left.html; the-broken-chain.html; the-computed-dawn.html; the-eastern-tradition.html; the-gods-people-had.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 46 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/panini.html
priority-claims-south-asia.html,KEEP AS CONTEXT,Published archive power page; 2181 visible words; H1: Who had it first.,BL-6; BL-18; BL-26; BL-31; BL-42; BL-43; BL-45; BL-52; BL-55,"Who had it first. | The test, run properly | The chronological constraint that settles the Indus question | What the Indus material actually shows",No specific factual error established here; later claim audit remains required.,Convert the load-bearing propositions on Who Had It First: Priority Claims in South Asian History into claim-to-record links; structural citation signals (4) are not verification.,04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv; 04-AUDITS/BIAS-FAILURE-LOG.csv; 06-BRIEFS/mvp-fifteen/14-custody.md; 06-BRIEFS/mvp-fifteen/15-the-archive.md,"Trace a claim backward through author, archive, translation, funding and omission.","Source-genealogy network showing who recorded, preserved, translated, funded and excluded; motive appears only when documented. For this route, centre the composition on “Who Had It First: Priority Claims in South Asian History”.",authorship-attribution-ancient-texts.html; chains-of-transmission.html; foreign-accounts-ancient-india.html; forest-peoples-sanskrit-record.html; indology.html; manuscript-custody.html; naming-in-ancient-india.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 47 links; scripts assets/js/mk-shell.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/priority-claims-south-asia.html
rakhigarhi.html,DEEPEN,"Published indus archaeology page; 1928 visible words; H1: Twelve Indus-associated genomes, and steppe ancestry in none of them. What was done to the first of them, in seven stages.",BL-11; BL-18; BL-25; BL-26; BL-27; BL-28; BL-30; BL-31; BL-66; BL-67,"Twelve Indus-associated genomes, and steppe ancestry in none of them. What was done to the first of them, in seven stages. | The finding. | The seven stages. | What is not publicly corroborated.",No specific factual error established here; later claim audit remains required.,"Convert the load-bearing propositions on Rakhigarhi: One Genome, Seven Stages, and What Was Said into claim-to-record links; structural citation signals (12) are not verification.",06-BRIEFS/mvp-fifteen/07-keeladi.md; 06-BRIEFS/mvp-fifteen/08-before-the-indus.md; 06-BRIEFS/mvp-fifteen/09-the-water-city.md; 03-REGISTERS/inherited-claims.csv; 02-SOURCES/access-ledger.csv,"Excavate context, date the layer and decide what the object can and cannot establish.","Excavation/context view with trench, layer, object, date range and alternative reading; movement maps separate material from people and language. For this route, centre the composition on “Rakhigarhi: One Genome, Seven Stages, and What Was Said”.",before-the-indus.html; brahmi.html; excavation-bias-funding.html; indus-to-vedic-gap.html; keeladi.html; material-culture-ancient-south-asia.html; meluhha-trade.html,RELEASE 2,retained context,"Direct structural inspection at prior root-page SHA e6b6b67…; current site delta adds only prototypes, so root body is unchanged. 26 links; scripts assets/js/mk-shell.js; assets/js/mk-exhibit.js; assets/js/mk-ai.js.",Deep claim audit completed for named risk/correction pages; otherwise coverage inspection only.,https://github.com/melakeela/site/blob/769a6f646de8f6cd5e9e76874bad5c0ab12a32cc/rakhigarhi.html
