queue_id,task,exact_input,exact_output,repository_destination,best_model_or_tool,author,reviewer,dependencies,stopping_condition,unlocks
Q19,Implement source viewer,Q05 accepted contract,Accessible viewer and tests,site assets/routes after Prompt 2 and implementation authorization,Claude Code,Claude Code,Codex/accessibility reviewer,"Q05,Q11",Ten fixtures pass keyboard/screen-reader tests,R1 enabler
Q20,Implement Atlas v2 slice,"Q03,Q04,Q12,Q19",Typed Atlas R1 build,site after authorization,Claude Code,Claude Code,Codex/domain reviewers,"Q03,Q04,Q12,Q19",Atlas acceptance tests pass,R1 flagship
Q21,Implement Keezhadi PROVE IT,"Q07,Q11,Q19",Adult/child investigation,site after authorization,Claude Code,Claude Code,Codex/archaeology/child reviewers,"Q07,Q11,Q19",Evidence and interaction tests pass,R1 flagship
Q22,Implement WATER,"Q09,Q11,Q19",Living World and accessible alternative,site after authorization,Claude Code,Claude Code,Codex/domain/accessibility reviewers,"Q09,Q11,Q19",WATER tests pass,R1 flagship
Q23,Implement Field Bag/classroom slice,Q17 and integrated Keezhadi,Local Field Bag/export,site after authorization,Claude Code,Claude Code,Codex/privacy/educator reviewers,"Q17,Q21",No account/tracking; export/reset pass,Audience proof
Q24,Correction propagation test,"Q12-Q15, built site/search/meta/data",Zero-critical stale-claim report,research audit,Automated scan + Claude Code,Claude Code,Codex,Q19-Q23,No superseded statement remains reachable,R1 safety
Q25,Child test 2 and educator pilot,Integrated Q21-Q23,Release usability report and fixes,research audit,Moderated tests,Codex,Safeguarding/educator reviewers,Q21-Q23,Predefined tests pass,R1 launch
Q26,Rights/accessibility/privacy/security gate,All R1 assets/interactions,Signed blocker matrix,research audit,Specialist audit,Codex,Independent specialists,Q20-Q25,No critical blocker,R1 launch
Q27,Release acceptance,R1 portfolio and evidence,Go/no-go record,research decision record,Codex synthesis,Codex,Owner + independent reviewer,Q24-Q26,Each role-specific test has evidence,Release 1
Q28,Parallel Domain M repair,"Merged adverse review, PR #22, DEDR lineages, community requirements",Accepted model/form dataset or maintained hold,research registers/briefs,Corpus scripts + Claude Code,Claude Code,Historical linguist/community reviewer,Q02,Six blockers closed or explicit hold,Future Brahui flagship; not R1 gate
Q29,Tiṇai primary-source and translation pass,"MVP 05-tinai, named editions, project conception",Text/translation/interpretation/living-use layered dossier,research registers/briefs,Source research + Codex,Codex,Tamil scholar/community reviewers,Q01,"Early text, commentary, scholarship, living and creative uses separated",R2 Tiṇai
Q30,Tamil/Dravidian corpus parity plan,"Access ledger, Q29 and R1 lessons",Corpus/translation/locator priority plan,research brief,Corpus tooling + Codex,Codex,Tamil/Dravidian scholars,"Q27,Q29",Representative sources and gaps named,R2 programmes
Q31,Sequence R2,"Experience map, Q28-Q30, R1 evidence/cost",Max-two-build dependency plan,research product brief,Codex,Codex,Owner/programme editor,Q27-Q30,Each item names evidence threshold and public unlock,Release 2
Q32,Post-release economics review,"Actual R1 hours, rights, testing, hosting and partner costs",Build/fix/walk scenario and working-capital plan,programme finance file outside code repos unless authorised,Operating model,Codex,Owner/finance reviewer,Q27,Costs and two-release runway quantified,Funding strategy
