"evidence_id","screen_id","what_is_shown","claim_ids","lowest_status","child_badge","badge_second_line","source_id","locator","display_text"
"EV-013","CP-3.1","The counter for forts that never resolves","(none)","n/a","WE DON'T KNOW","the poem doesn't say","","rv01-reconciliation.md section 2.3","specification wording"
"EV-014","CP-3.1","21 of 103 passages state a count; 82 state none","PUR4J-001","VERIFIED","FOUND","","SRC-069","rigveda-pur-counts.csv, 27 COUNTS-PUR rows over 21 stanzas","quoted"
"EV-015","CP-3.1","The four numbers: 100 in 9, 99 in 6, 7 in 4, 90 in 2","PUR4J-002; PUR4J-009","VERIFIED","FOUND","","SRC-069","rigveda-pur-counts.csv, count_of_forts, all 21 locators listed at PUR4J-002","quoted"
"EV-015a","CP-3.1","In two of the six ninety-nine passages the poem adds an ordinal 'the hundredth', so ninety-nine is one-short-of-a-hundred","PUR4J-008","VERIFIED","FOUND","","SRC-069; SRC-020; SRC-021; SRC-022; SRC-072; SRC-073; SRC-074","RV 4.26.3 pada c satatamam vesyam; RV 7.19.5 pada c nivesane satatama; verdict COUNTS-SERIES-COMPLETION in rigveda-pur-counts.csv","quoted"
"EV-016","CP-3.1","Ninety-nine is two words, nava plus navati-, never one numeral","PUR4J-004","VERIFIED","FOUND","","SRC-069; SRC-021","rigveda-pur-counts.csv expression column; six locators at PUR4J-004","quoted"
"EV-017","CP-3.1","The same two words count ninety-nine RIVERS at RV 10.104.8","PUR4J-006","VERIFIED","FOUND","","SRC-069; SRC-072; SRC-073; SRC-074","RV 10.104.8c navatim srotya nava ca sravantir; three translators unanimous","quoted; stanza text at PUR-P-101"
"EV-018","CP-3.1","WE WERE WRONG: 99 is not the commonest count; 100 is, 9 to 6","PUR4J-003","VERIFIED","WE WERE WRONG","","SRC-069","rigveda-pur-counts.csv; the-forts headline at 01-INHERITED/curatorial-audit-v1.1/page-audit.csv","quoted"
"EV-018a","CP-3.1","Balance card: all six ninety-nine passages present a fort as a real thing held and broken","PUR4J-026","PROVISIONAL","WE THINK","","SRC-069; SRC-020; SRC-022; SRC-072; SRC-073; SRC-074","cross-tabulation of rigveda-pur-typology.csv against rigveda-pur-counts.csv; 99: 6 of 6 TEXTUAL-STRONGHOLD","quoted"
"EV-019","CP-3.2","Three material words: metal 8, stone 1, unbaked 1; 10 of 103","PUR4J-012","VERIFIED","FOUND","","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","rigveda-pur-fields.csv, material column; ten locators at PUR4J-012","quoted"
"EV-020","CP-3.2","93 of 103 state no material - typed NOT PRODUCED","PUR4J-012","VERIFIED","WE DON'T KNOW","the poem doesn't say","SRC-069","PUR4J-012 notes","quoted"
"EV-021","CP-3.2","The ten material passages sorted by what the fort IS in the sentence - an object in a story, a thing asked for, a thing to be made, a god or a river. NOT by whose fort it is.","PUR4J-013","PROVISIONAL","WE THINK","","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","PUR4J-013 locator field; pur-translation-standard.md section 5","quoted; PUR4J-013's own alternative count shown on the card's reverse"
"EV-021a","CP-3.2","The stone fort and the unbaked fort, side by side, as two data points and not a pattern","PUR4J-014","PROVISIONAL","WE THINK","","SRC-069; SRC-020; SRC-022; SRC-026; SRC-070","RV 4.30.20 satam asmanmayinam puram indro vy asyat; RV 2.35.6 amasu pursu paro apramrsyam","quoted; PUR4J-014's own caution (n=1 on each side, no distribution follows) is on the card"
"EV-022","CP-3.2","Griffith 'iron' 8/8, Geldner 'ehern' 8/8, and Grassmann mixed - Erz once, Eisen once, ehern five times, and not rendered at all at RV 7.3.7","PUR4J-023","VERIFIED","FOUND","","SRC-069; SRC-072; SRC-073; SRC-074","eight locators at PUR4J-023; table at pur-translation-standard.md section 8.1","quoted"
"EV-023","CP-3.3","rigveda-pur-fields.csv proposed_geography: NOT FILLED - no source, on all 103 rows","PUR4J-018","VERIFIED","WE DON'T KNOW","the poem doesn't say","SRC-069","rigveda-pur-fields.csv, proposed_geography and geography_basis columns","quoted; the register file is shown as itself"
"EV-024","CP-3.3","The map that places no pin","(none)","n/a","WE DON'T KNOW","the poem doesn't say","","framework 10.4.4","specification wording"
"EV-025","CP-3.3","7 mountain lemmas, 6 sindhu- across 103 passages","PUR4J-017","VERIFIED","FOUND","","SRC-069","rigveda-pur-fields.csv, mountain and river_lemma_present columns","quoted"
"EV-026","CP-3.3","sindhu- is ambiguous; Griffith and Geldner read it differently","PUR4J-028","VERIFIED","FOUND","","SRC-069; SRC-026; SRC-072; SRC-073","PUR4J-028; river_lemma_note printed on every row of rigveda-pur-fields.csv","quoted"
"EV-027","CP-3.3","The refusal: we do not identify these with the Indus cities","(none - institutional statement)","n/a","","","","METHODOLOGY-CONSTITUTION.md section 4J; Version 12 line 1175","specification wording"
"EV-028","CP-3.4","Arnold's five period names, in order","PUR-011","VERIFIED","FOUND","","SRC-026","Arnold 1905 Appendix IV section 265, printed p. 269","quoted"
"EV-029","CP-3.4","The metre-type code Arnold assigned each pada of RV 4.30.20 (M M M) - the CODE, not a syllable scansion, which this repository does not hold","PUR-P-041","VERIFIED","FOUND","","SRC-023","rigveda-pur-passages.csv, arnold_metre_labels = 'M M M'. No register row defines the code vocabulary; extracting it is U-8","quoted"
"EV-030","CP-3.4","Our line is Strophic, stratum_certainty = certain","PUR-P-041; PUR-014; PUR-015","VERIFIED","FOUND","","SRC-023","rigveda-pur-passages.csv, arnold_stratum and stratum_certainty","quoted"
"EV-031","CP-3.4","The 1905 page itself","PUR-011; PUR-013","VERIFIED","FOUND","","SRC-026","archive.org item vedicmetreinitsh00arnouoft, scan OBJECT 289, printed p. 269","page image pulled at build; rights per U-7"
"EV-032","CP-3.4","Arnold called his own period names provisional","PUR-026","PROVISIONAL","WE THINK","","SRC-026","Arnold 1905 sections 60-61, recorded at PUR-026 notes","quoted"
"EV-033","CP-3.4","The strata instrument's result: family over-represented early, under-represented late","PUR-014; PUR-016; PUR-017; PUR-018","VERIFIED","FOUND","","SRC-019; SRC-022; SRC-023","chi-square 14.57 on 4 df at the hymn level, p = 0.0057","quoted"
"EV-034","CP-3.4","The book-order instrument could not resolve a difference this size: point estimate 6.98 against 6.07 per 10,000, same direction, chi-square 0.50 on 1 df, p = 0.48","PUR-020","VERIFIED","WE DON'T KNOW","we haven't looked yet","SRC-019; SRC-022","PUR-020; power limitation stated per BF-004's control; RA-002 is OPEN on the 'two instruments disagree' wording an earlier draft used","quoted"
"EV-035","CP-3.4","The entanglement: 61.3% of Popular material is in book 10","PUR-021","VERIFIED","FOUND","","SRC-019; SRC-022; SRC-023","cross-tabulation of book against stratum; DEP-004","quoted"
"EV-036","CP-3.4","No absolute date for the Rigvedic strata was obtainable from anything retrieved in the session that produced DE-M-027; and none appears anywhere in this repository's working tree","DE-M-027","VERIFIED","WE DON'T KNOW","we haven't looked yet","SRC-068; SRC-023; SRC-099","DE-M-027, quoted with its elision marked; DEP-001; repository-wide scan and its coverage boundary at SRC-099","quoted"
"EV-037","CP-3.4","Whether Arnold's periods are really older-and-newer","PUR-028","HYPOTHESIS","MAYBE","","","PUR-028; APA-E-006 in 04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv","quoted"
"EV-038","CP-3.5","The access ledger as a shelf, grouped by kind","(none - a fact about our record, checkable by the child)","VERIFIED","FOUND","","SRC-099","02-SOURCES/access-ledger.csv, 98 data rows SRC-001 to SRC-098 as at 2026-09-09, derived with csv.DictReader; no row of any archaeological category","read from the file at build, never hard-coded"
"EV-039","CP-3.5","The 'digging reports' shelf, empty","(none)","n/a","WE DON'T KNOW","we haven't looked yet","SRC-099","HOLD-008","read from the file at build"
"EV-040","CP-3.6","Grassmann's definition: wall of stones and clay, entrenchment, palisade","PUR4J-021","VERIFIED","FOUND","","SRC-069","info/matched_lemmata.json in the SRC-069 clone, gloss for lemma pur-. See RA-023 on the SRC-026 mislabel in the upstream registers","quoted"
"EV-041","CP-3.6","67.5% of the 83 simplex tokens are accusative and 3.6% locative - a measurement of case distribution, presented as one and not as a claim about which verbs act on the word","PUR4J-020","VERIFIED","FOUND","","SRC-069; SRC-022","rigveda-pur-family-occurrences.csv, morphology column","quoted"
"EV-042","CP-3.6","Three that break any single picture: a moving fort, a river, a god","PUR4J-I-03","PROVISIONAL","WE THINK","","SRC-069; SRC-020; SRC-022","PUR4J-I-03 evidence_for (4): carisnu- 'moving' at RV 8.1.28 and ama- 'raw' at RV 2.35.6; PUR4J-013 for RV 7.95.1 and RV 7.15.14","quoted"
"EV-043","CP-3.6","The English words translators used, with counts","PUR4J-022","VERIFIED","FOUND","","SRC-072; SRC-073; SRC-074; SRC-075; SRC-076","pur-translation-standard.md section 8 table; Griffith city x1 at RV 1.173.10","quoted; counts are surface-string matches, indicative not exact, and the card says so"
"EV-044","CP-3.6","The balance card: 48 of 103 present a fort as a real object in the story","PUR4J-I-03","PROVISIONAL","WE THINK","","SRC-069","PUR4J-I-03 evidence_against field","quoted"
"EV-044a","CP-3.6","Renou (forteresse 34, citadelle 22 over 58 passages) and Elizarenkova (krepost')","PUR4J-022","VERIFIED","FOUND","","SRC-075; SRC-076","pur-translation-standard.md section 8 table; DEP-023 on Elizarenkova","quoted; counts are surface-string matches, indicative not exact, and the card says so"
"EV-045","CP-3.7","That the poem names people on both sides","PUR4J-030","VERIFIED","FOUND","","SRC-069; SRC-026","rigveda-pur-fields.csv, patron_candidates and opponent_candidates; roles_basis on every row","quoted; read-only, no interaction"
"EV-046","CP-3.7","That the opponent side is sorted by Grassmann's category Daemon, chosen in the 1870s","PUR4J-030","VERIFIED","FOUND","","SRC-069","pur-translation-standard.md section 10, on Grassmann's category Daemon; logged as RA-012 in 04-AUDITS/REAUDIT-QUEUE.csv","quoted; read-only, no interaction"
"EV-047","CP-3.7","Who held the forts","PUR-027","HYPOTHESIS","WE DON'T KNOW","we haven't looked yet","","PUR-027, logged unbuilt: testing it requires reading each of the 106 passages for the grammatical role of pur-, which that unit did not do","quoted"
"EV-048","CP-5.1","Card 1: a pur is not one kind of thing","PUR4J-I-03","PROVISIONAL","WE THINK","","SRC-069","PUR4J-I-03 proposition and what_it_does_not_establish","quoted"
"EV-049","CP-5.1","Card 2: the counts are the poem's favourite numbers - PROVISIONAL and weakly held, with the test that came out against it and the museum's own logged error","PUR4J-I-01","PROVISIONAL","WE THINK","","SRC-069","PUR4J-I-01 evidence_against; BF-014 in 04-AUDITS/BIAS-FAILURE-LOG.csv","quoted"
"EV-049a","CP-5.1","The Sambara figure inside card 2: ninety-nine three times and a hundred twice","PUR4J-007","PROVISIONAL","WE THINK","","SRC-069","PUR4J-007; BF-014 in 04-AUDITS/BIAS-FAILURE-LOG.csv records that its first version was false in three of five parts","quoted; named because it is the most-corrected row in the register set and must not travel untraceably"
"EV-050","CP-5.1","Card 3: the fort-words are not a late addition (PUR-026) - shown with the second badge below for the assumption it stands on","PUR-026; PUR-028","HYPOTHESIS","WE THINK","","SRC-019; SRC-023; SRC-026","PUR-026; PUR-028","quoted; shows both badges, never the better one"
"EV-050a","CP-5.1","Card 3, second badge: whether Arnold's periods are really older-and-newer","PUR-028","HYPOTHESIS","MAYBE","","","PUR-028","quoted"
"EV-051","CP-5.3","Falsifier: a line stating an irregular count","PUR4J-I-01","PROVISIONAL","","","","PUR4J-I-01 falsifier field","quoted"
"EV-052","CP-5.3","Falsifier: somebody reads the digging reports","(none)","n/a","","","","HOLD-008; U-1","specification wording"
"EV-053","CP-5.3","Falsifier: a second stratification instrument that agrees","PUR-028","HYPOTHESIS","","","","PUR-026 notes; U-2","quoted"
"EV-054","CP-5.3","Falsifier: the ayas- crux settled","PUR4J-023","VERIFIED","","","","PUR4J-023 notes; pur-translation-standard.md section 8.1; U-4","quoted"
