"claim_id","register_file","screens","status","child_word","what_it_supplies","what_would_verify_it","notes"
"PUR-017","03-REGISTERS/rigveda-pur-family.csv","S-09","VERIFIED","FOUND","Popular: 3 observed against 14.8 expected. The single number the child reads off S-09.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR-018","03-REGISTERS/rigveda-pur-family.csv","S-09","VERIFIED","FOUND","chi-square 14.57 on 4 df, p=0.0057 at the hymn unit. Not shown to the child as a figure; it is why S-09 is shown at all.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","The hymn-level figure is the one the register says to quote. If a build shows the token-level figure instead it overstates."
"PUR-020","03-REGISTERS/rigveda-pur-family.csv","S-09","VERIFIED","FOUND","The second instrument returns a null: family books 2-7 against the rest, p=0.48. The 'we checked a second way and it did not agree' card.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR-021","03-REGISTERS/rigveda-pur-family.csv","S-09","VERIFIED","FOUND","61.3 percent of Popular tokens are in book 10. The 'the two tests are partly the same test' card.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","Required on S-09. Without it the two instruments read as independent, which is the error DEP-004 exists to stop."
"PUR-022","03-REGISTERS/rigveda-pur-family.csv","(no screen)","VERIFIED","FOUND","The collocation profile, including the named-entity lifts. Cited in this brief ONLY as the reason the COMPARE step is closed at the interface, and as the material the dasa/arya exclusion covers.","Not applicable - this row appears on no screen and supplies no child-facing evidence. Listed so the audit trail is complete.","Named-entity content. Under museum-framework section 10.4.7 this row may not enter any child-facing surface as an operable term. Gate G-02. The register itself declines to read it: 'Any reading of who held the forts is a separate claim and is not made here.'"
"PUR-023","03-REGISTERS/rigveda-pur-family.csv","(no screen)","VERIFIED","FOUND","The purandhi- exclusion and its sensitivity test: admitting the group raises the family from 106 tokens to 156. Cited in this brief only as a thing that would change every count in the investigation.","Already VERIFIED as an exclusion decision with its sensitivity test. Whether the exclusion is CORRECT is a separate open question held at 05-HOLDS/HOLD-001-purandhi-etymology.md.","If HOLD-001 resolves toward inclusion, every figure on S-04, S-07 and S-09 changes. Recorded in 01-investigation-spec.md section 5."
"PUR-026","03-REGISTERS/rigveda-pur-family.csv","S-09","PROVISIONAL","WE THINK","'Fort vocabulary is not a late accretion.' The only interpretive line on S-09.","A second stratification instrument independent of Arnold's metre, applied to the same corpus, returning the same direction. The book-order instrument returns a null (PUR-020) and is entangled with the strata at the late end (PUR-021), so it is not that instrument. Also requires retrieval of the post-1905 literature that contests Arnold; SRC-026 is Arnold himself and DEP-001 records the layer as single-sourced.","Capped at PROVISIONAL for as long as PUR-028 is a HYPOTHESIS, whatever else is retrieved."
"PUR-027","03-REGISTERS/rigveda-pur-family.csv","S-08; S-12","HYPOTHESIS","MAYBE","'The pur- is a fortification the composers attack rather than inhabit.' Shown to the child as a MAYBE beside the case counts.","A passage-by-passage reading of the grammatical role of pur- across all 106 tokens. PUR-027's note names this as the untested step. NOTE: PUR4J-020 has since measured the case distribution over all 83 simplex tokens, which is a substantial part of that step; whether it discharges the blocker is a re-audit question, raised as RA-002. It is NOT treated as discharged here and the row is quoted at HYPOTHESIS.","One of the two lowest-status rows the investigation rests on."
"PUR-028","03-REGISTERS/rigveda-pur-family.csv","S-09","HYPOTHESIS","MAYBE","'Arnold's five periods correspond to real chronological stages of composition.' The whole of S-09 stands on it, and the S-09 banner says so.","A stratification of the Rigveda by an instrument that is not Arnold's metre - a retrieved non-metrical periodisation, or an independent metrical one built without reference to Arnold - applied to the same corpus and agreeing with it. Plus retrieval of the literature contesting Arnold since 1905. Arnold himself calls the period names 'provisional' (1905 sections 60-61). Cannot be settled from the pinned corpus alone: strata.json IS Arnold (PUR-013), so no re-run of it can test it.","The lowest status in the investigation. Everything on S-09 is labelled MAYBE because of this row and nothing on S-09 may be labelled otherwise."
"PUR4J-001","03-REGISTERS/rigveda-pur-4j-claims.csv","S-04","VERIFIED","FOUND","21 of 103 passages state a count; 82 state none. The first thing the child counts.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR4J-002","03-REGISTERS/rigveda-pur-4j-claims.csv","S-04; S-11","VERIFIED","FOUND","100 in 9 passages, 99 in 6, seven in 4, ninety in 2. The tally board.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","Carries its own correction (RV 6.31.4 re-read from 'hundreds' to 'a hundred'), which is a WE GOT THIS WRONG card on S-12."
"PUR4J-003","03-REGISTERS/rigveda-pur-4j-claims.csv","S-04; S-11","VERIFIED","FOUND","99 is not the modal count; 100 is, by 9 to 6. The answer to the S-04 question.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR4J-004","03-REGISTERS/rigveda-pur-4j-claims.csv","S-05","VERIFIED","FOUND","99 is never a single numeral: nava + navati- in all six passages, with the six phrases quoted. The child's pattern-matching task.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR4J-005","03-REGISTERS/rigveda-pur-4j-claims.csv","S-05","VERIFIED","FOUND","navati- is a feminine singular collective - 'a ninety', like 'a dozen'.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR4J-006","03-REGISTERS/rigveda-pur-4j-claims.csv","S-06","VERIFIED","FOUND","The identical nava + navati- counts RIVERS at RV 10.104.8, in a stanza that also carries purbhid-. Three translators quoted verbatim. The hinge of the investigation.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","The one piece of evidence in the register an eight-year-old can verify unaided. If this row moved, the investigation would need rebuilding around a different centre."
"PUR4J-008","03-REGISTERS/rigveda-pur-4j-claims.csv","S-05","VERIFIED","FOUND","Twice, 99 is followed by an ordinal 'the hundredth' applied to a dwelling word, not the fort word.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR4J-009","03-REGISTERS/rigveda-pur-4j-claims.csv","S-04; S-12","VERIFIED","FOUND","Every cardinal count is one of seven, ninety, 99 or 100. No irregular figure. Also the falsifier the child is shown on S-12.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR4J-010","03-REGISTERS/rigveda-pur-4j-claims.csv","S-06; S-12","PROVISIONAL","WE THINK","The counts sort by narrative cycle: seven with Purukutsa and the Puru, 99 and 100 with Divodasa and Sambara. Shown ONLY as the reason the museum is not sure - never as a sortable set of names.","Cannot reach VERIFIED under the register's own rule: 04-AUDITS/rigveda-pur-4j-method.md section 7 holds that a VERIFIED row is a count, a form, a gloss or a printed rendering, and this row is a reading. An independent second coder would raise confidence in it; it would not raise its status. Saying so is the honest answer, not a missing retrieval.","Named-entity content. Under museum-framework section 10.4.7 this row may be READ on screen, in prose, and may never become a card, bucket, filter or drag target. Gate G-02."
"PUR4J-012","03-REGISTERS/rigveda-pur-4j-claims.csv","S-07; S-08; S-11","VERIFIED","FOUND","Materials: metal 8, stone 1, raw 1; 93 of 103 state none, typed NOT PRODUCED. The materials shelf and the stone fort at RV 4.30.20.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","The NOT PRODUCED typing is what makes S-07 a 'nobody wrote it down' screen rather than a 'we haven't looked' one."
"PUR4J-013","03-REGISTERS/rigveda-pur-4j-claims.csv","S-07; S-08","PROVISIONAL","WE THINK","Only one of the eight metal forts is a named adversary's and stormed. Five are protective or predicative - in two the fort IS a god or a river - and one is an instruction to priests to MAKE them. The card behind S-07's metal counter, and the evidence that argues with PUR-027 at S-08.","Cannot reach VERIFIED under the register's own rule: 04-AUDITS/rigveda-pur-4j-method.md section 7 holds that a VERIFIED row is a count, a form, a gloss or a printed rendering, and this row is a reading of eight passages. An independent second coder would raise confidence in it; it would not raise its status.","ADDED ON ADVERSARIAL REVIEW, which found it absent from the entire unit. Its omission was an asymmetric-scrutiny failure running both ways at once: it left PUR-027's 'attacked rather than inhabited' reading less challenged than the register leaves it, AND it withheld from S-07 the sharpest evidence in the corpus for the investigation's own question - a metal fort that is a river (RV 7.95.1) and one that is a god (RV 7.15.14). A poem can call a river a fort. A photograph cannot."
"PUR4J-014","03-REGISTERS/rigveda-pur-4j-claims.csv","S-07; S-08","PROVISIONAL","WE THINK","The one stone fort is an enemy's; the one unbaked fort is a refuge. The S-08 stone/raw comparison, shown with its own n=1 caution.","Nothing in this corpus can verify it: n=1 on each side, and the Rigveda contains no second stone fort and no second unbaked one. Only a corpus-external attestation would move it, and that would be a different claim about a different body of evidence. Cannot reach VERIFIED under the register's own rule: 04-AUDITS/rigveda-pur-4j-method.md section 7 holds that a VERIFIED row is a count, a form, a gloss or a printed rendering, and this row is a reading. An independent second coder would raise confidence in it; it would not raise its status. Saying so is the honest answer, not a missing retrieval.","Demoted from VERIFIED to PROVISIONAL on review. The child is shown the demotion reason in the child's words on S-08."
"PUR4J-015","03-REGISTERS/rigveda-pur-4j-claims.csv","S-10","VERIFIED","FOUND","The corpus may name exactly one fort, or none: Geldner reads narmini- as a name, Griffith as an adjective, Grassmann declines to choose.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","VERIFIED as a statement about what the three translators do. It is NOT verified that a fort is named; the row records the dispute rather than resolving it, and the child is shown the dispute."
"PUR4J-016","03-REGISTERS/rigveda-pur-4j-claims.csv","S-03","VERIFIED","FOUND","Geldner's headings name a poet for 55 of 103 passages and none for 48, of which 45 name a deity. Behind S-03 telling the child that some of their questions have no answer here.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","The 45 deity-headed cases are typed NOT PRODUCED by HOLD-006, not by this row. The other 3 are not typed. Load-bearing for the section 1.5 rule 3 absence-dominance derivation in 04-rules-and-gates.md section 3."
"PUR4J-018","03-REGISTERS/rigveda-pur-4j-claims.csv","S-03; S-10","VERIFIED","FOUND","The geography field cannot be filled from the pinned corpus, which carries no geographic content of any kind.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","This is the corpus-side half of the S-10 empty box. HOLD-007 is the repository-side half; the two are different absences and S-10 keeps them apart."
"PUR4J-020","03-REGISTERS/rigveda-pur-4j-claims.csv","S-03; S-08","VERIFIED","FOUND","67.5 percent of the 83 simplex tokens are accusative, 3.6 percent (3 tokens) locative. The 'thing knocked down vs place you are in' comparison.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR4J-021","03-REGISTERS/rigveda-pur-4j-claims.csv","S-02","VERIFIED","FOUND","Grassmann's gloss: 'Wall aus Steinen und Lehm, Verschanzung, Palisade'. Not a city, town or fortress. The dictionary card.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR4J-022","03-REGISTERS/rigveda-pur-4j-claims.csv","S-02","VERIFIED","FOUND","No translator renders pur- as a city except Griffith once in 103 passages, at purpati-. The word-choice menu the child picks from.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","Not five independent witnesses: DEP-021 and DEP-023 record Grassmann's translation as the same judgement as his glosses, and Elizarenkova as worked with Geldner in view. The menu must not present five translators as five checks. Gate G-06."
"PUR4J-023","03-REGISTERS/rigveda-pur-4j-claims.csv","S-07; S-11","VERIFIED","FOUND","Griffith renders ayasa- 'iron' 8/8; Geldner 'ehern' 8/8; neither argues it. An open crux with a named chronological consequence.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","VERIFIED as a fact about what the translators print. What the metal was is a WE DON'T KNOW and is shown to the child as one."
"PUR4J-024","03-REGISTERS/rigveda-pur-4j-claims.csv","S-10","PROVISIONAL","WE THINK","Three of section 4J's five types are not properties of a passage and cannot be assigned from the text. The reason S-10 cannot be turned into a matching exercise.","Partly a retrieval question - an archaeological and a geographic source (HOLD-007) would let the three types be argued for a given passage. But the row itself is a judgement about what a passage can carry. Cannot reach VERIFIED under the register's own rule: 04-AUDITS/rigveda-pur-4j-method.md section 7 holds that a VERIFIED row is a count, a form, a gloss or a printed rendering, and this row is a reading. An independent second coder would raise confidence in it; it would not raise its status. Saying so is the honest answer, not a missing retrieval.",""
"PUR4J-025","03-REGISTERS/rigveda-pur-4j-claims.csv","S-12","PROVISIONAL","WE THINK","48 textual stronghold / 47 poetic formula / 3 both / 5 unclassifiable. Behind the S-12 statement that half the corpus is not describing a fort at all.","Cannot reach VERIFIED under the register's own rule: 04-AUDITS/rigveda-pur-4j-method.md section 7 holds that a VERIFIED row is a count, a form, a gloss or a printed rendering, and this row is a reading. An independent second coder would raise confidence in it; it would not raise its status. Saying so is the honest answer, not a missing retrieval.","Nine rule outputs overridden by hand; type_before_override is carried on every row so the effect of the judgements is visible. The child is not shown this table; it is shown as one sentence."
"PUR4J-026","03-REGISTERS/rigveda-pur-4j-claims.csv","S-12","PROVISIONAL","WE THINK","All six 99 passages are textual strongholds: a formulaic COUNT does not make the PASSAGE formulaic. Stops S-06 collapsing into 'it is all just a saying'.","Cannot reach VERIFIED under the register's own rule: 04-AUDITS/rigveda-pur-4j-method.md section 7 holds that a VERIFIED row is a count, a form, a gloss or a printed rendering, and this row is a reading. An independent second coder would raise confidence in it; it would not raise its status. Saying so is the honest answer, not a missing retrieval.",""
"PUR4J-028","03-REGISTERS/rigveda-pur-4j-claims.csv","S-10","VERIFIED","FOUND","sindhu- is the only lemma in the 103 passages that can name a river, and is ambiguous between common noun and proper name; Griffith and Geldner read it differently. The 'one word that might be a river's name' card on S-10.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.","VERIFIED as a statement about the lemma inventory and about what the two translators print. It is NOT verified that any passage names a river. Shown to the child as WE DON'T KNOW - grown-ups disagree."
"PUR4J-029","03-REGISTERS/rigveda-pur-4j-claims.csv","S-12","VERIFIED","FOUND","Correcting the typology's largest error moved 11 of 103 passages and changed no headline finding. A WE GOT THIS WRONG card.","Already VERIFIED. Re-checking requires a fresh clone of the pinned corpus at commit d3eb8af (SRC-019/SRC-069/SRC-085); that clone is session-local and is not in this container, so any re-run starts with a re-clone.",""
"PUR4J-030","03-REGISTERS/rigveda-pur-4j-claims.csv","(no screen)","VERIFIED","FOUND","22 of 103 passages carry a patron-side name and 22 an opponent-side name. Cited in this brief ONLY as the two piles a forbidden COMPARE step would have used.","Not applicable - this row appears on no screen and supplies no child-facing evidence. Listed so the audit trail is complete.","Named-entity content, and the clearest single demonstration of why museum-framework section 10.4.7 binds here: the register already holds the buckets. Gate G-02 exists so the interface cannot reach them."
"PUR4J-I-01","03-REGISTERS/rigveda-pur-4j-interpretations.csv","S-06; S-12","PROVISIONAL","WE THINK","'The counts are formulaic quantities, not an enumeration.' The museum's own position, disclosed last on S-12.","Cannot reach VERIFIED under the register's own rule: 04-AUDITS/rigveda-pur-4j-method.md section 7 holds that a VERIFIED row is a count, a form, a gloss or a printed rendering, and this row is a reading. An independent second coder would raise confidence in it; it would not raise its status. Saying so is the honest answer, not a missing retrieval. Its stated falsifier is a passage giving an irregular count (23, 41); PUR4J-009 records that none exists, which supports the row without verifying it.","Held at PROVISIONAL deliberately because it is the CONVENIENT, deflationary answer. BF-014 logs a preferred-counter-narrative failure against its first version. The children's screens must not present it more confidently than the register does. Gate G-10."
"PUR4J-I-02","03-REGISTERS/rigveda-pur-4j-interpretations.csv","S-11; S-12","PROVISIONAL","WE THINK","'99's prominence is a fact about reception, not about the corpus.' Behind the S-11 statement that 99 is the famous number but not the poem's commonest.","Two things would move it, and they are different. (1) A retrieval establishing where MelaKeela's 99 came from - no source is recorded for the the-forts headline anywhere in this repository - and a check for a pre-Griffith English source carrying the number. That is specific, cheap and has not been attempted; it is NOT foreclosed by the method-section-7 cap and should not be read as foreclosed. (2) The cap itself: the step from the counts to 'this is a fact about reception' is a reading, so even a successful retrieval sharpens the row rather than promoting it. Both stated, because collapsing them into the cap alone reads as a reason not to look.","Carries a stale figure: its evidence_for reads '8 for one hundred' where PUR4J-002 and PUR4J-003 were corrected to 9. Logged as IC-P-002. The investigation quotes 9, from PUR4J-002."
"PUR4J-I-03","03-REGISTERS/rigveda-pur-4j-interpretations.csv","S-02; S-12","PROVISIONAL","WE THINK","'No single English word or archaeological referent can stand for pur-.' The reason S-02 makes the child pick a word instead of handing them one.","Cannot reach VERIFIED under the register's own rule: 04-AUDITS/rigveda-pur-4j-method.md section 7 holds that a VERIFIED row is a count, a form, a gloss or a printed rendering, and this row is a reading. An independent second coder would raise confidence in it; it would not raise its status. Saying so is the honest answer, not a missing retrieval.",""
"(vocabulary)","01-INHERITED/chatgpt-project-handoff.md L347; 06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md L254; museum-framework.md section 10.4.7","every screen","INHERITED-UNVERIFIED","(not a claim - the display vocabulary itself)","The four words FOUND / WE THINK / MAYBE / WE DON'T KNOW, the six-step backlog-33 flow, and section 10.4.7's three prohibitions. All INHERITED-UNVERIFIED as to wording.","Nothing verifies a display vocabulary, because it is not a claim about the past. What CAN be wrong is the assertion that mapping it onto the seven statuses loses nothing - and that assertion WAS wrong: WE GOT THIS WRONG is not a status, and three separate things map onto WE DON'T KNOW, so the mapping does not run backwards. Corrected in 01-investigation-spec.md section 0.1, which now states both losses. Section 10.4.7's prohibitions bind regardless of their status, because they are prohibitions on what the institution builds rather than claims about the past.","Listed because the README's 'lowest status' answer was incomplete without it. The lowest status among CLAIM rows is HYPOTHESIS; the lowest status of anything the investigation rests on is INHERITED-UNVERIFIED, and it is the vocabulary the whole design is written in. D-037 and RESEARCH-QUEUE WMP-9 carry the section 10.4.7 provenance question."
"HOLD-007","05-HOLDS/HOLD-007-ground-evidence-for-the-pur-corpus.md","S-10; S-11; S-13","HOLD","WE DON'T KNOW - we haven't looked yet","No archaeological, excavation, survey or geographic source exists in 02-SOURCES/access-ledger.csv. The empty box on S-10, and the thing the child leaves holding.","Retrieval of an excavation, survey or site report bearing on fortification, logged in the access ledger. The hold deliberately states NO region and NO period: nothing in this repository dates the Rigveda (a search of every rigveda-pur-*.csv for BCE, B.C. and millennium returns nothing) and PUR4J-018 records that the corpus carries no geography. An earlier draft of this cell read 'second-millennium-BCE fortification in the relevant region' - both halves unsourced, and a hold that names its own date range has performed the identification it exists to request. Bounding the question is part of the work the hold blocks, not a precondition this unit can supply. NOTE: closing the hold does not close the question - a wall and a poem are two claims, and joining them is a museum-framework section 4.4 bridge with its own mechanism and rivals.","NOT typed as an absence under constitution section 6. See 04-rules-and-gates.md section 5: an unrun retrieval is not a fact about the past, and typing it as one would be the exact error this investigation teaches against."
