"file_id","function","path","role","canonical_for_function","authority","responsible_writer","validated","id_prefix","evidence_gate_column","notes"
"CF-cc43590f","Research methodology","00-CONTROLLER/METHODOLOGY-CONSTITUTION.md","CANONICAL","","owner, committed unchanged","owner","NOT-VALIDATED","","","Its section 15 archive numbering (11- to 19-) does not survive as repository directories; reconciliation section 4."
"CF-0e034531","Rows not migrated","00-CONTROLLER/MIGRATION-HOLDS.csv","CANONICAL","","self","director session","GATED","MH-","","A row that cannot be migrated without changing its meaning is left unchanged and recorded here. Distinct from 05-HOLDS/, which holds claims blocked on source access."
"CF-be464fd4","Validation gate overrides","00-CONTROLLER/OVERRIDE-LOG.csv","CANONICAL","","AI-AGENT-ROSTER.md","whoever takes the override","GATED","OV-","","A push that fails validation requires a committed row here, with reason, actor, date, the exact failures waived, and an expiry."
"CF-516c3a30","Path crosswalk and move plan","00-CONTROLLER/PATH-MIGRATION.csv","CANONICAL","","REPOSITORY-MAP.md","04-AUDITS/build-path-migration.py","GATED","PM-","","Generated. Every current path, its destination, and the references that must move with it. Rows are never deleted: this is how an old-path reference resolves."
"CF-dc09b29b","Operating structure, lanes and gates","00-CONTROLLER/PROGRAMME.md","CANONICAL","","CLAUDE.md; constitution","director session","NOT-VALIDATED","","","Adds no rule of its own; every gate cites its source."
"CF-07bfc9b0","Folder authority matrix","00-CONTROLLER/REPOSITORY-MAP.md","CANONICAL","","self","director session","NOT-VALIDATED","","","Defines each canonical folder: authority, allowed contents, inputs, outputs, writer."
"CF-783e1b53","Inherited standing method rules","00-CONTROLLER/RESEARCH-CONSTITUTION.md","INHERITED","00-CONTROLLER/METHODOLOGY-CONSTITUTION.md","reconciliation C-8","not written here","NOT-VALIDATED","","","Verbatim copy of the handoff section 11. Nothing cites it as governing. Keeps the inherited D-NN spelling by design."
"CF-172b6c09","Status dimension definitions","00-CONTROLLER/STATUS-DIMENSIONS.md","CANONICAL","","CLAUDE.md status vocabulary","director session","NOT-VALIDATED","","","The enumerations validate-registers.py enforces. evidence_status is the single evidence gate."
"CF-c10e06e1","Prior-thread material","01-INHERITED/chatgpt-project-handoff.md","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-0b89cda3","Prior-thread material","01-INHERITED/claude-project-handoff.md","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-52dfdfea","Prior-thread material","01-INHERITED/curatorial-audit-v1.1/SCHEMA.md","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-66bb4c87","Prior-thread material","01-INHERITED/curatorial-audit-v1.1/asset-register.csv","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-abf7767d","Prior-thread material","01-INHERITED/curatorial-audit-v1.1/claim-risk.csv","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-a32e0e0a","Prior-thread material","01-INHERITED/curatorial-audit-v1.1/environment-map.csv","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-b59a001e","Prior-thread material","01-INHERITED/curatorial-audit-v1.1/melakeela-curatorial-audit-v1.1.xlsx","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-2b234ddc","Prior-thread material","01-INHERITED/curatorial-audit-v1.1/method-limits.csv","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-6bf63593","Prior-thread material","01-INHERITED/curatorial-audit-v1.1/mvp.csv","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-f4fe7e3b","Prior-thread material","01-INHERITED/curatorial-audit-v1.1/overlap-tensions.csv","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-cc21e49c","Prior-thread material","01-INHERITED/curatorial-audit-v1.1/page-audit.csv","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-4d289b44","Prior-thread material","01-INHERITED/curatorial-audit-v1.1/summary.csv","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-928ee9d7","Prior-thread material","01-INHERITED/site-review/MELAKEELASITEREVIEWRUNNINGLIST.md","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-41feb797","Site review running list","01-INHERITED/site-review/MELAKEELASITEREVIEWRUNNINGLIST2.md","SUPERSEDED","01-INHERITED/site-review/MELAKEELASITEREVIEWRUNNINGLIST.md","RUNNING-LIST-RECONCILIATION.md","not written here","NOT-VALIDATED","","","Version 10. The confusingly named file without the 2 is version 12 and supersedes it."
"CF-f82015ad","Prior-thread material","01-INHERITED/site-review/RUNNING-LIST-RECONCILIATION.md","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","IH-","","No evidentiary standing. Never rewritten, never cited as evidence."
"CF-6cb5c5ee","Source retrieval and access events","02-SOURCES/access-ledger.csv","CANONICAL","","CLAUDE.md","retriever","GATED","SRC-","","access_status remains overloaded: it mixes record standing, retrieval events and supersession prose. superseded_by was added; the re-typing is an owner decision. CR-004."
"CF-9b929526","Source dependency","02-SOURCES/dependency.csv","CANONICAL","","CLAUDE.md; reconciliation C-3 recommends CSV over the constitution's JSON","source-genealogist","GATED","DEP-","","D-013 open. SOURCE-DEPENDENCY.json is not created; if a JSON consumer appears it is generated from this file, never hand-maintained beside it."
"CF-639a83c1","Retrieval manifests and notes","02-SOURCES/domain-e-manifest-2026-09-07.md","CANONICAL","","CLAUDE.md","retriever","NOT-VALIDATED","","","Corpus manifests cite external and temporary paths, which are not repository links."
"CF-6a73bcd6","Retrieval manifests and notes","02-SOURCES/dravlex-glottolog-manifest-2026-09-07.md","CANONICAL","","CLAUDE.md","retriever","NOT-VALIDATED","","","Corpus manifests cite external and temporary paths, which are not repository links."
"CF-95fc06f2","Retrieval manifests and notes","02-SOURCES/retrieval-notes-2026-09-06.md","CANONICAL","","CLAUDE.md","retriever","NOT-VALIDATED","","","Corpus manifests cite external and temporary paths, which are not repository links."
"CF-17481aa8","Retrieval manifests and notes","02-SOURCES/vedaweb-manifest-2026-09-07.md","CANONICAL","","CLAUDE.md","retriever","NOT-VALIDATED","","","Corpus manifests cite external and temporary paths, which are not repository links."
"CF-da7e9dee","Cross-domain bridge tests","03-REGISTERS/CROSS-DOMAIN-BRIDGES.csv","CANONICAL","","constitution step 10","director session","REPORTED","BR-E-","","Its verdict column is free prose in eight distinct forms. Not migrated to an enum: doing so would restate research findings. MH-001."
"CF-8ace62d9","Hypothesis eligibility (mandated name)","03-REGISTERS/HYPOTHESIS-ELIGIBILITY.csv","PENDING-RECONCILIATION","","constitution section 9; D-036 / D-039 both open","chronology-gate","GATED","HYP-E-","evidence_status","Two live eligibility registers, not mapped row for row. Neither is canonical until the owner answers. CR-006."
"CF-6e93f446","Claim-to-source relation","03-REGISTERS/claim-sources.csv","CANONICAL","","self","04-AUDITS/build-claim-sources.py","GATED","CS-","","Generated. Authoritative for which sources a claim rests on and which of them are one independent observation. The inline source_id cell is a mirror the validator forces to agree."
"CF-4acc1fe7","CDIAL attribution statistics","03-REGISTERS/domain-e-cdial-attribution-stats.csv","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","key/value summary table; no identifier or source column."
"CF-81df4284","CDIAL loan candidates","03-REGISTERS/domain-e-cdial-loan-candidates.csv","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","GATED","DE-CAND-","","Data table."
"CF-f667ec72","Domain E claims","03-REGISTERS/domain-e-claims.csv","CANONICAL","","CLAUDE.md register format","director session","GATED","DME-","evidence_status",""
"CF-0d9b0a53","Domain E draft public copy","03-REGISTERS/domain-e-draft-copy.md","CANONICAL","","constitution step 14","museum-translator","NOT-VALIDATED","","","Draft only. Nothing here is published copy."
"CF-28c63190","Evidence mass by distinction","03-REGISTERS/domain-e-evidence-mass.csv","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","GATED","EM-","","Data table."
"CF-9808fd06","Dravidian geographic measures","03-REGISTERS/domain-e-geography.csv","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","GATED","GEO-","","Data table with no source column; its sources are recorded in the method note. GATED so that its GEO- identifiers are checked for uniqueness and prefix: domain-e-measurements.csv cites GEO-MU-04 as a locator, and an identifier used as a locator must come from a register that is itself governed."
"CF-af6857f1","Rigvedic hydronym occurrences","03-REGISTERS/domain-e-hydronyms.csv","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","GATED","HYD-","","Data table. Rows are evidence for claims stated elsewhere, not claims."
"CF-713d60e1","Hypothesis eligibility (domain E)","03-REGISTERS/domain-e-hypothesis-eligibility.csv","PENDING-RECONCILIATION","","constitution section 9; D-036 / D-039 both open","chronology-gate","GATED","E-","evidence_status","See CR-006. Both registers now carry an authored gate_verdict, which makes them comparable without merging them; nothing parses either vocabulary, because inference was tried in three forms and each moved a hypothesis across the gate by wording."
"CF-d714477a","Domain E interpretations","03-REGISTERS/domain-e-interpretations.csv","CANONICAL","","PROGRAMME.md step 7","director session","GATED","DE-I-","evidence_status","Kept separate from measurements so an interpretation cannot inherit a measurement's standing."
"CF-aa315005","Domain E measurements","03-REGISTERS/domain-e-measurements.csv","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","GATED","DE-M-","evidence_status",""
"CF-5ca4aa27","Retroflex residue lemmas","03-REGISTERS/domain-e-retroflex-residue.csv","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","GATED","RES-","","Data table."
"CF-ce8e186a","Domain M claims","03-REGISTERS/domain-m-brahui-position.csv","CANONICAL","","CLAUDE.md register format","director session","GATED","DMB-","evidence_status","Carries the repository's one SUPERSEDED claim row, retained under the correction-history rule."
"CF-6b53886f","Inherited claim inventory","03-REGISTERS/inherited-claims.csv","CANONICAL","","CLAUDE.md inheritance rule","04-AUDITS/inherited-claims-extraction.py","GATED","IH-","evidence_status","Generated. Every row is INHERITED-UNVERIFIED by construction and the generator asserts it."
"CF-4e5715dd","pur-family occurrences","03-REGISTERS/rigveda-pur-family-occurrences.csv","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","GATED","PUR-OCC-","","Data table."
"CF-ad0d49dc","Rigvedic pur-family claims","03-REGISTERS/rigveda-pur-family.csv","CANONICAL","","CLAUDE.md register format","director session","GATED","PUR-","evidence_status",""
"CF-f8410ee2","Archive and power audit","04-AUDITS/ARCHIVE-AND-POWER-AUDIT.csv","CANONICAL","","constitution step 6 and section 4.V","historiography-auditor","GATED","APA-E-","",""
"CF-c1b75266","Method failure log","04-AUDITS/BIAS-FAILURE-LOG.csv","CANONICAL","","constitution section 9","adversarial-reviewer","GATED","BF-","",""
"CF-527998de","Contradictions in the evidence","04-AUDITS/INTERNAL-CONTRADICTIONS.csv","CANONICAL","","constitution section 9","adversarial-reviewer","GATED","IC-E-","","Evidence contradictions only. Control-plane contradictions go to 00-CONTROLLER/CONTRADICTION-REGISTER.csv."
"CF-98106b38","Migration record","04-AUDITS/MIGRATION-REPORT-2026-09-07.md","CANONICAL","","self","director session","NOT-VALIDATED","","","What the 2026-09-07 status and claim/source migration changed, and how each change was checked. Dated because it describes one migration, not present state."
"CF-70cb57b4","Work requiring re-audit","04-AUDITS/REAUDIT-QUEUE.csv","CANONICAL","","constitution section 9","adversarial-reviewer","GATED","RA-","","status and priority carried composite values; decomposed in this pass into blocked_by and priority_reason."
"CF-2ae43f95","Current validator findings","04-AUDITS/VALIDATION-REPORT.md","CANONICAL","","04-AUDITS/validate-registers.py","the validator","NOT-VALIDATED","","","Generated by --report. Supersedes the hand-written VALIDATOR-FINDINGS-2026-09-07.md, which went stale and was then read as current (CR-012)."
"CF-e9aaa8f7","Validator findings","04-AUDITS/VALIDATOR-FINDINGS-2026-09-07.md","HISTORICAL","04-AUDITS/VALIDATION-REPORT.md","self","not rewritten","NOT-VALIDATED","","","Reports 43 failures against an earlier tree; the tree had 53 before this pass. Superseded by the current run. CR-012."
"CF-b51fdf15","Backlog coverage generator","04-AUDITS/backlog-coverage-build.py","CANONICAL","","06-BACKLOG/README.md","director session","NOT-VALIDATED","","",""
"CF-0806a644","Measurement scripts","04-AUDITS/brahui-loo-geography.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-fe432de3","Canonical file register generator","04-AUDITS/build-canonical-files.py","CANONICAL","","self","director session","NOT-VALIDATED","","",""
"CF-0bfb9853","Claim/source join generator","04-AUDITS/build-claim-sources.py","CANONICAL","","self","director session","NOT-VALIDATED","","",""
"CF-a3752385","Path migration generator","04-AUDITS/build-path-migration.py","CANONICAL","","self","director session","NOT-VALIDATED","","",""
"CF-50c04a01","CSV dialect preservation","04-AUDITS/csvdialect.py","CANONICAL","","self","director session","NOT-VALIDATED","","","Reads and rewrites registers without reformatting them."
"CF-d34de401","Measurement scripts","04-AUDITS/domain-e-cdial-attributions.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-fafbecfa","Measurement output","04-AUDITS/domain-e-dedr-digitisation-check.csv","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Script output, not a register. Listed by name: a `04-AUDITS/*.csv` catch-all used to map any new CSV dropped here to NOT-VALIDATED, which excused a register from validation by filename."
"CF-371873ce","Measurement scripts","04-AUDITS/domain-e-dedr-digitisation-check.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-22f11519","Measurement scripts","04-AUDITS/domain-e-evidence-mass.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-714438ce","Measurement scripts","04-AUDITS/domain-e-geography.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-18354b1f","Method notes","04-AUDITS/domain-e-method-comparative.md","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproducibility notes for the measurement scripts."
"CF-4b27163c","Method notes","04-AUDITS/domain-e-method.md","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproducibility notes for the measurement scripts."
"CF-51eac8fb","Method notes","04-AUDITS/domain-m-method.md","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproducibility notes for the measurement scripts."
"CF-a81f0675","Eligibility gate vocabulary","04-AUDITS/gatevocab.py","CANONICAL","","00-CONTROLLER/STATUS-DIMENSIONS.md","director session","NOT-VALIDATED","","","The prose-to-gate_verdict parse, shared by the migration that wrote the column and the validator that checks it still agrees with its prose. One copy, so the two cannot drift."
"CF-30ed7c44","Identifier audit","04-AUDITS/identifier-normalisation-brief.md","HISTORICAL","00-CONTROLLER/CANONICAL-FILES.csv","self","not rewritten","NOT-VALIDATED","","","A dated snapshot. Its present-state inventory is superseded: four registers it lists as absent now exist, HOLD- runs to 005, and BL- is zero-padded. Keep as an audit record, not as present state. CR-011."
"CF-6d1b36bc","Source independence computation","04-AUDITS/independence.py","CANONICAL","","CLAUDE.md source independence constraint","director session","NOT-VALIDATED","","","Union-find over 02-SOURCES/dependency.csv, shared by the join generator and the validator. The validator re-derives independence_group rather than trusting the generated column, which review showed was hand-editable."
"CF-831df012","Inherited claim generator","04-AUDITS/inherited-claims-extraction.py","CANONICAL","","CLAUDE.md inheritance rule","director session","NOT-VALIDATED","","",""
"CF-b1b07d32","Status split migration","04-AUDITS/migrate-status-dimensions.py","HISTORICAL","","self","director session","NOT-VALIDATED","","","One-shot, idempotent, committed so the migration is reproducible and reviewable. Not re-run in normal work."
"CF-821b9b16","Measurement scripts","04-AUDITS/north-dravidian-cognate-sharing.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-4277f795","Method notes","04-AUDITS/rigveda-pur-family-method.md","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproducibility notes for the measurement scripts."
"CF-104b7277","Measurement scripts","04-AUDITS/rv-hydronym-census.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-b7bfa79f","Measurement scripts","04-AUDITS/rv-pur-family-search.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-5801226c","Measurement scripts","04-AUDITS/rv-retroflex-aggregate.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-e2effc5e","Measurement scripts","04-AUDITS/rv-retroflex-classify.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-8d18f87b","Measurement scripts","04-AUDITS/rv-token-extract.py","CANONICAL","","PROGRAMME.md step 4","corpus-analyst","NOT-VALIDATED","","","Reproduce a measurement from a pinned corpus."
"CF-3bebf9bd","Push gate test suite","04-AUDITS/test-push-gate.py","CANONICAL","","self","director session","NOT-VALIDATED","","","Proves the pre-push hook denies what its header claims. Every spelling found past the parser by adversarial review is kept as a regression case."
"CF-868ae913","Validator defect suite","04-AUDITS/test-validate-registers.py","CANONICAL","","self","director session","NOT-VALIDATED","","","Injects defects into a throwaway clone and asserts the validator rejects each. A validator that has never been watched to fail proves nothing."
"CF-bfd4b34c","Mechanical validation","04-AUDITS/validate-registers.py","CANONICAL","","CLAUDE.md; PROGRAMME.md gates","director session","NOT-VALIDATED","","","The gate. Weakening it to pass rows is not an available move."
"CF-bba67421","Claims blocked on source access","05-HOLDS/HOLD-001-purandhi-etymology.md","CANONICAL","","CLAUDE.md","retriever","GATED","HOLD-","","One file per hold. Runs to HOLD-005."
"CF-d17acd8c","Claims blocked on source access","05-HOLDS/HOLD-002-dedr-unreachable.md","CANONICAL","","CLAUDE.md","retriever","GATED","HOLD-","","One file per hold. Runs to HOLD-005."
"CF-2e9312d3","Claims blocked on source access","05-HOLDS/HOLD-003-para-munda-primary-statement.md","CANONICAL","","CLAUDE.md","retriever","GATED","HOLD-","","One file per hold. Runs to HOLD-005."
"CF-b12716f1","Claims blocked on source access","05-HOLDS/HOLD-004-north-dravidian-comparative-evidence.md","CANONICAL","","CLAUDE.md","retriever","GATED","HOLD-","","One file per hold. Runs to HOLD-005."
"CF-2f6147bf","Claims blocked on source access","05-HOLDS/HOLD-005-substrate-literature.md","CANONICAL","","CLAUDE.md","retriever","GATED","HOLD-","","One file per hold. Runs to HOLD-005."
"CF-97b7569a","Backlog coverage","06-BACKLOG/BACKLOG-COVERAGE.csv","CANONICAL","","constitution section 10","04-AUDITS/backlog-coverage-build.py","REPORTED","BL-|PROG-","","Generated. All 95 current_site_coverage and existing_route cells read NOT ESTABLISHED because the inventory was sought at a path in this repository; it exists in melakeela/site. CR-001."
"CF-12b9f3ab","Recovered backlog titles","06-BACKLOG/BACKLOG-v2-ITEMS.md","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","","","Titles only. A title is not a specification."
"CF-9f0dbcae","Backlog expansion prompt","06-BACKLOG/EXPANSION-PROMPT-2026-09-07.md","INHERITED","","CLAUDE.md inheritance rule","not written here","NOT-VALIDATED","","","Model-written prose from the same recovery. Not the original backlog text."
"CF-37ed8c0c","Backlog directory guide","06-BACKLOG/README.md","CANONICAL","","self","director session","NOT-VALIDATED","","",""
"CF-d4b7b94e","Research briefs","06-BRIEFS/rv01-reconciliation.md","CANONICAL","","constitution step 14","museum-translator","NOT-VALIDATED","","","Shares stage number 06 with 06-BACKLOG. A real namespace defect; the repair is that numbering leaves folder names, not that a number is invented. CR-007."
"CF-464e1b9e","Decision identifier aliases","09-DECISIONS/DECISION-ID-MAP.csv","CANONICAL","","09-DECISIONS/README.md","director session","GATED","","","Rows are never removed. Declares no id_prefix and is exempt from cross-register identifier uniqueness by design: it exists to hold D- identifiers issued elsewhere, so its old_id column repeating them is the point."
"CF-4244dd81","Owner decisions","09-DECISIONS/OWNER-DECISIONS.csv","CANONICAL","","CLAUDE.md one identifier namespace","director session","GATED","D-","","Authoritative for the D- namespace and for each decision's status."
"CF-c4b8d5f7","Decisions directory guide","09-DECISIONS/README.md","CANONICAL","","self","director session","NOT-VALIDATED","","","Its three-value status list is corrected in this pass; the register carries four."
"CF-f03d4093","Product and museum specification","13-PRODUCT-ARCHITECTURE/museum-framework.md","PENDING-RECONCILIATION","","D-012 open","director session","NOT-VALIDATED","","","Its folder number carries the constitution's archive expansion scheme into the repository, which reconciliation section 4 rules does not survive. Whether specifications belong here at all is D-012. Its posture counts derive from a 96-page snapshot. CR-008."
"CF-a54ff182","Operating controller (Codex reviewer)","AGENTS.md","CANONICAL","","mirrors CLAUDE.md","director session","NOT-VALIDATED","","","Advisory unless Codex is the actor."
"CF-7e2ca241","AI agent roster and gate description","AI-AGENT-ROSTER.md","CANONICAL","","PROGRAMME.md","director session","NOT-VALIDATED","","","Renamed from README-TEAM.md. These are Claude subagents, not a human research team."
"CF-6ebdb617","Operating controller (Claude Code)","CLAUDE.md","CANONICAL","","self; subordinate to CONTROLLER-RECONCILIATION.md","director session","NOT-VALIDATED","","","Tool-specific. The audit's recommendation that it become a thin adapter over a tool-neutral governance document is not taken here; see CONTRADICTION-REGISTER.csv CR-014."
"CF-c1caa2db","Prose case for blocking owner decisions","DECISIONS-NEEDED.md","CANONICAL","","09-DECISIONS/README.md","director session","GATED","","","Authoritative for the argument, never for identifiers or status; OWNER-DECISIONS.csv governs both. Allocates no D- number of its own."
"CF-b3356305","Orientation","README.md","CANONICAL","","self","director session","NOT-VALIDATED","","","Orientation only. Never an authority for status, counts or layout."
"CF-d57fe1f9","Active research order","RESEARCH-QUEUE.md","CANONICAL","","CLAUDE.md; D-008 open","director session","NOT-VALIDATED","R-","","Append-only. Some completion counts were stale and are corrected in this pass."
